대청방면,수서방면,대청방면,수서방면
평일,평일,주말,주말
05:24첫,05:55첫,05:27첫,05:55첫
수서구파발,압구정오금,수서대화,압구정오금
05:32첫,,5:36,
수서대화,,오금대화,
5:39,,5:42,
오금대화,,수서구파발,
5:46,,5:49,
오금대화,,오금대화,
5:51,,5:55,
수서구파발,,수서구파발,
5:57,,6:01,6:13
오금대화,,오금대화,독립문오금
6:05,6:13,6:07,6:26
수서구파발,독립문오금,수서구파발,구파발오금
6:09,6:26,6:13,6:34
오금대화,구파발오금,오금대화,구파발오금
6:13,6:34,6:19,6:42
수서구파발,구파발오금,수서구파발,구파발오금
6:18,6:44,6:26,6:49
오금대화,대화오금,오금대화,구파발오금
6:23,6:52,6:31,6:58
수서구파발,구파발오금,수서구파발,대화오금
6:28,6:59,6:38,
수서대화,대화오금,오금대화,
6:33,,6:44,
오금대화,,오금대화,
6:38,,6:50,
수서구파발,,오금구파발,
6:43,,6:56,
오금대화,,오금대화,
6:48,,7:02,7:04
수서대화,,오금구파발,구파발오금
6:53,,7:08,7:13
오금대화,,오금대화,대화오금
6:57,,7:14,7:19
수서대화,,오금구파발,구파발오금
7:01,7:05,7:20,7:25
오금대화,구파발오금,오금대화,대화오금
7:05,7:12,7:26,7:30
수서구파발,대화오금,오금구파발,구파발오금
7:09,7:18,7:31,7:38
오금대화,대화오금,오금대화,대화오금
7:14,7:24,7:36,7:43
오금구파발,구파발오금,오금대화,구파발오금
7:18,7:30,7:42,7:49
오금대화,대화오금,오금대화,대화오금
7:22,7:36,7:48,7:54
수서구파발,대화오금,오금구파발,구파발오금
7:26,7:41,7:54,
오금대화,구파발오금,오금대화,
7:31,7:47,8:00,8:01
오금대화,대화오금,오금구파발,대화오금
7:35,7:53,8:06,8:06
오금대화,구파발오금,오금대화,구파발오금
7:39,7:57,8:12,8:12
오금구파발,대화오금,오금구파발,대화오금
7:42,,8:18,8:19
오금대화,,오금대화,구파발오금
7:46,,8:26,8:25
수서구파발,,오금구파발,대화오금
7:50,,8:32,8:31
오금대화,,오금대화,구파발오금
7:54,,8:38,8:38
오금구파발,,오금구파발,대화오금
7:57,,8:44,8:45
오금대화,,오금대화,대화오금
8:01,8:02,8:50,8:52
수서구파발,구파발오금,오금구파발,구파발오금
8:04,8:06,8:56,8:59
오금구파발,대화오금,오금대화,대화오금
8:08,8:10,9:02,9:05
오금대화,구파발오금,오금구파발,구파발오금
8:11,8:14,9:08,9:12
오금구파발,대화오금,수서대화,대화오금
8:15,8:17,9:14,9:18
수서대화,구파발오금,오금구파발,구파발오금
8:19,8:23,9:20,9:24
오금구파발,대화수서,오금대화,대화오금
8:23,8:27,9:26,9:30
오금대화,구파발오금,오금대화,대화오금
8:27,8:31,9:32,9:36
오금대화,대화오금,오금대화,구파발오금
8:31,8:34,9:38,9:42
오금구파발,대화수서,오금구파발,대화오금
8:35,8:38,9:44,9:48
오금대화,구파발오금,오금대화,대화오금
8:39,8:42,9:50,9:54
오금구파발,대화오금,오금대화,대화오금
8:44,8:46,9:56,
오금대화,구파발오금,오금구파발,
8:51,8:49,10:02,10:00
오금구파발,대화수서,오금대화,대화오금
8:56,8:54,10:08,10:04
오금대화,구파발오금,오금대화,구파발오금
,8:58,10:14,10:11
,대화오금,오금구파발,대화오금
9:01,9:01,10:20,10:17
오금대화,구파발오금,오금대화,구파발오금
9:06,9:04,10:26,10:24
오금대화,대화오금,오금구파발,대화오금
9:11,9:08,10:32,10:29
오금구파발,구파발수서,오금대화,구파발오금
9:17,9:12,10:38,10:36
오금대화,대화오금,오금구파발,대화오금
9:22,9:16,10:44,10:42
오금대화,구파발수서,오금대화,대화오금
9:25,9:20,10:50,10:47
오금구파발,대화오금,오금대화,구파발오금
9:29,9:24,10:56,10:54
오금대화,대화오금,오금대화,대화오금
9:36,9:27,11:02,11:00
오금대화,대화오금,오금구파발,대화오금
9:42,9:30,11:08,11:05
오금구파발,구파발오금,오금대화,구파발오금
9:47,9:34,11:14,11:12
오금대화,대화오금,오금구파발,대화오금
9:51,9:38,11:20,11:17
오금구파발,대화오금,오금대화,구파발오금
9:56,9:42,11:26,11:24
오금구파발,구파발오금,오금구파발,대화오금
,9:46,11:32,11:30
,대화오금,오금대화,대화오금
,9:50,11:38,11:37
,구파발수서,오금구파발,대화오금
,9:54,11:44,11:43
,대화오금,오금대화,구파발오금
,9:58,11:50,11:50
,구파발수서,오금구파발,대화오금
10:01,10:02,11:56,11:57
오금대화,대화오금,오금대화,구파발오금
10:06,10:05,12:02,12:04
오금대화,구파발수서,오금구파발,대화오금
10:12,10:10,12:08,12:11
오금구파발,대화오금,오금대화,대화오금
10:18,10:14,12:14,12:18
오금대화,구파발오금,오금구파발,대화오금
10:24,10:20,12:20,12:24
오금구파발,대화오금,수서대화,대화오금
10:30,10:25,12:26,12:30
오금대화,구파발수서,오금구파발,구파발오금
10:36,10:30,12:32,12:36
오금대화,대화오금,오금대화,대화오금
10:43,10:35,12:38,12:42
오금대화,대화오금,오금구파발,구파발오금
10:50,10:41,12:44,12:48
오금구파발,대화오금,오금대화,대화오금
10:57,10:46,12:50,12:54
오금대화,대화오금,오금구파발,구파발오금
,10:52,12:56,
,구파발수서,오금대화,
,10:58,13:02,13:00
,대화오금,오금구파발,대화오금
11:04,11:04,13:08,13:06
오금구파발,대화오금,오금대화,구파발오금
11:11,11:11,13:14,13:12
오금대화,대화오금,오금구파발,대화오금
11:17,11:18,13:20,13:18
오금대화,구파발오금,오금대화,구파발오금
11:24,11:25,13:26,13:24
오금대화,대화수서,오금구파발,대화오금
11:31,11:33,13:32,13:30
오금구파발,대화오금,오금대화,구파발오금
11:39,11:42,13:38,13:36
오금대화,대화오금,오금구파발,대화오금
11:46,11:49,13:44,13:41
오금대화,대화오금,오금대화,구파발오금
11:56,11:55,13:50,13:47
오금대화,구파발오금,오금구파발,대화오금
12:06,12:01,13:56,13:52
오금대화,대화수서,오금대화,구파발오금
12:15,12:08,,13:57
오금대화,대화오금,,대화오금
12:24,12:13,14:02,14:02
오금대화,구파발오금,오금구파발,대화오금
12:32,12:20,14:07,14:07
오금대화,대화오금,오금대화,구파발오금
12:40,12:26,14:13,14:13
오금구파발,구파발오금,오금구파발,대화오금
12:48,12:33,14:18,14:18
오금대화,대화오금,오금대화,구파발오금
12:55,12:39,14:23,14:24
오금대화,대화오금,오금대화,대화오금
,12:46,14:28,14:30
,대화오금,오금구파발,구파발오금
,12:52,14:33,14:36
,구파발오금,오금대화,대화오금
,12:58,14:39,14:42
,대화오금,오금구파발,구파발오금
13:01,13:05,14:44,14:48
오금대화,대화오금,오금대화,대화오금
13:08,13:12,14:50,14:54
오금구파발,구파발오금,오금구파발,구파발오금
13:14,13:19,14:56,
오금대화,대화오금,오금대화,
13:21,13:26,15:02,15:00
오금대화,대화오금,오금구파발,대화오금
13:27,13:33,15:08,15:06
오금구파발,구파발오금,오금대화,구파발오금
13:34,13:40,15:14,15:12
오금대화,대화오금,오금구파발,대화오금
13:40,13:47,15:20,15:18
오금구파발,대화오금,오금대화,구파발오금
13:47,13:56,15:26,15:24
오금대화,대화오금,오금구파발,대화오금
13:53,,15:32,15:30
오금대화,,오금대화,구파발오금
14:01,14:05,15:38,15:36
오금대화,대화오금,오금구파발,대화오금
14:08,14:15,15:44,15:42
오금구파발,대화오금,오금대화,구파발오금
14:16,14:24,15:50,15:48
오금대화,대화오금,오금구파발,대화오금
14:25,14:32,15:56,15:54
오금대화,대화오금,오금대화,구파발오금
14:34,14:40,16:02,16:00
오금대화,대화오금,오금구파발,대화오금
14:43,14:48,16:08,16:06
오금대화,구파발오금,오금대화,구파발오금
14:52,14:55,16:14,16:12
오금대화,대화오금,오금구파발,대화오금
15:00,15:03,16:20,16:18
오금대화,대화오금,오금대화,구파발오금
15:08,15:09,16:26,16:24
오금대화,구파발오금,오금구파발,대화오금
15:16,15:15,16:32,16:30
오금대화,대화오금,오금대화,구파발오금
15:23,15:22,16:38,16:36
오금구파발,대화오금,오금대화,대화오금
15:30,15:28,16:44,16:42
오금대화,구파발오금,오금대화,구파발오금
15:36,15:34,16:50,16:48
오금대화,대화오금,오금구파발,대화오금
15:42,15:41,16:56,16:54
오금대화,대화오금,오금대화,구파발오금
15:48,15:48,17:02,17:00
오금구파발,구파발오금,오금구파발,대화오금
15:54,15:54,17:08,17:06
오금대화,대화오금,오금대화,구파발오금
16:00,16:02,17:14,17:12
오금구파발,대화수서,오금구파발,대화오금
16:06,16:08,17:20,17:18
오금대화,구파발오금,오금대화,구파발오금
16:12,16:15,17:26,17:24
오금대화,대화오금,오금대화,대화오금
16:18,16:23,17:32,17:30
오금대화,대화오금,오금구파발,구파발오금
16:26,16:31,17:39,17:36
수서대화,대화오금,오금대화,대화수서
16:34,16:41,17:46,17:42
오금대화,대화오금,오금구파발,구파발오금
16:42,16:51,17:53,17:48
오금대화,대화오금,오금대화,대화오금
16:50,,,17:54
오금대화,,,구파발오금
16:54,,18:00,18:00
수서구파발,,오금대화,대화오금
16:59,,18:07,18:06
오금대화,,오금구파발,구파발오금
17:06,17:00,18:14,18:12
오금구파발,대화오금,오금대화,대화오금
17:12,17:08,18:20,18:18
오금대화,대화오금,오금구파발,구파발오금
17:18,17:16,18:26,18:24
오금구파발,대화오금,오금대화,대화오금
17:23,17:24,18:32,18:30
수서대화,구파발오금,오금구파발,구파발오금
17:28,17:32,18:38,18:37
오금구파발,대화오금,오금대화,대화오금
17:32,17:37,18:44,18:42
오금대화,구파발오금,오금구파발,구파발오금
17:37,17:43,18:50,18:49
수서구파발,대화오금,오금대화,대화오금
17:41,17:48,18:56,18:55
오금대화,구파발오금,오금구파발,구파발오금
17:47,17:52,19:02,19:01
수서구파발,대화오금,오금대화,대화오금
17:51,17:57,19:08,19:07
오금대화,대화오금,오금대화,구파발오금
17:56,,19:14,19:13
오금대화,,오금대화,대화오금
18:00,18:01,19:20,19:19
오금구파발,구파발오금,오금구파발,대화오금
18:05,18:05,19:26,19:25
오금대화,대화오금,오금대화,대화오금
18:09,18:09,19:32,19:31
오금구파발,구파발오금,오금구파발,대화오금
18:14,18:13,19:38,19:36
오금대화,대화오금,오금대화,구파발오금
18:18,18:17,19:44,19:43
오금구파발,구파발오금,오금구파발,대화오금
18:22,18:21,19:51,19:48
수서대화,대화오금,오금대화,구파발수서
18:26,18:25,19:58,19:55
오금구파발,구파발오금,오금대화,대화오금
18:30,18:31,20:06,20:01
오금대화,대화오금,오금대화,구파발오금
18:34,18:38,20:14,20:07
오금구파발,대화오금,오금대화,대화오금
18:39,18:43,20:22,20:12
오금대화,대화오금,오금대화,구파발오금
18:44,18:47,20:29,20:19
오금구파발,구파발오금,오금대화,대화오금
18:49,18:53,20:36,20:24
오금대화,대화오금,오금구파발,구파발오금
18:54,18:56,20:42,20:31
오금구파발,구파발수서,오금대화,대화오금
18:59,,20:48,20:36
오금대화,,오금대화,구파발오금
19:04,19:00,20:55,20:43
오금구파발,대화오금,오금대화,대화수서
19:09,19:05,,20:48
오금대화,구파발오금,,구파발오금
19:14,19:09,,20:55
오금대화,대화오금,,대화수서
19:20,19:13,21:02,21:00
오금대화,구파발수서,오금구파발,구파발오금
19:25,19:17,21:09,21:07
오금구파발,대화오금,오금대화,대화오금
19:30,19:21,21:16,21:13
오금대화,구파발수서,오금구파발,대화오금
19:35,19:25,21:23,21:19
오금구파발,대화오금,오금대화,대화오금
19:41,19:28,21:30,21:24
오금대화,구파발오금,오금구파발,구파발오금
19:47,19:33,21:37,21:31
오금대화,대화오금,오금대화,대화오금
19:52,19:37,21:44,21:36
오금구파발,구파발오금,오금대화,구파발수서
19:58,19:41,21:52,21:43
오금대화,대화수서,오금구파발,대화오금
,19:46,,21:48
,구파발오금,,구파발오금
,19:50,,21:55
,대화오금,,대화오금
,19:55,22:00,22:00
,대화오금,오금대화,대화오금
20:03,20:00,22:08,22:07
오금구파발,구파발오금,오금구파발,대화수서
20:09,20:05,22:15,22:15
오금대화,대화오금,오금대화,대화오금
20:14,20:10,22:23,22:23
오금구파발,구파발오금,오금구파발,대화오금
20:19,20:15,22:32막,22:31
오금대화,대화수서,오금대화,대화오금
20:24,20:20,22:41,22:38
오금구파발,대화오금,오금구파발,구파발오금
20:29,20:25,22:50,22:47
오금대화,구파발오금,오금구파발,대화수서
20:34,20:30,22:59,22:55
오금구파발,대화오금,오금구파발,대화오금
20:40,20:35,23:08막,23:02
오금대화,구파발수서,오금구파발,구파발오금
20:46,20:40,23:20막,23:10
오금대화,대화오금,오금독립문,대화수서
20:52,20:45,23:35막,23:17
오금대화,구파발오금,오금압구정,구파발오금
20:58,20:50,,23:25
오금구파발,대화오금,,대화수서
,20:55,,23:32
,구파발오금,,대화오금
,20:59,,23:39
,대화오금,,구파발수서
21:03,21:05,,23:45
오금대화,대화오금,,대화오금
21:09,21:10,,23:53막
오금대화,구파발오금,,대화오금
21:14,21:15,,00:02막
오금구파발,대화오금,,대화수서
21:19,21:21,,
오금대화,대화오금,,
21:25,21:27,,
오금구파발,구파발수서,,
21:30,21:32,,
오금대화,대화오금,,
21:37,21:37,,
오금구파발,구파발오금,,
21:44,21:42,,
오금대화,대화수서,,
21:51,21:49,,
오금대화,대화오금,,
21:57,21:56,,
