이촌방면,총신대입구(이수)방면,이촌방면,총신대입구(이수)방면
평일,평일,주말,주말
05:37첫,-,05:37첫,-
남태령진접,-,남태령진접,-
5:48,-,5:50,-
산본당고개,-,사당진접,-
5:57,-,6:01,06:02첫
사당당고개,-,산본당고개,한성대입구오이도
6:05,06:01첫,6:10,6:13
안산당고개,한성대입구오이도,사당진접,노원사당
6:13,6:13,6:18,6:18
사당당고개,노원오이도,안산당고개,당고개오이도
6:20,6:18,6:25,6:24
오이도당고개,당고개사당,안산당고개,당고개사당
6:28,6:24,6:31,6:30
오이도당고개,당고개오이도,사당진접,당고개오이도
6:35,6:28,6:37,6:36
사당진접,진접사당,오이도당고개,진접사당
6:39,6:33,6:43,6:42
오이도당고개,당고개오이도,사당진접,당고개오이도
6:43,6:39,6:49,6:48
사당진접,당고개사당,오이도당고개,진접사당
6:46,6:44,6:55,6:54
오이도당고개,당고개오이도,사당당고개,당고개안산
6:51,6:49,7:01,7:00
오이도당고개,진접사당,오이도당고개,진접사당
6:55,6:53,7:07,7:06
사당진접,당고개오이도,사당진접,당고개오이도
-,6:57,7:13,7:12
-,창동사당,오이도당고개,당고개사당
7:00,7:01,7:19,7:18
오이도당고개,당고개오이도,사당진접,당고개오이도
7:04,7:05,7:25,7:24
사당진접,진접사당,오이도당고개,진접사당
7:09,7:09,7:31,7:30
오이도당고개,당고개오이도,사당당고개,당고개오이도
7:13,7:12,7:37,7:36
사당진접,창동사당,오이도당고개,당고개사당
7:17,7:17,7:43,7:42
오이도당고개,당고개안산,사당진접,당고개오이도
7:21,7:21,7:49,7:48
사당진접,진접사당,오이도당고개,당고개오이도
7:24,7:25,7:55,7:54
오이도당고개,당고개오이도,사당당고개,진접사당
7:30,7:29,8:01,8:00
안산당고개,창동사당,오이도당고개,당고개오이도
7:34,7:32,8:06,8:06
사당진접,당고개오이도,안산당고개,당고개안산
7:36,7:35,8:13,8:12
오이도당고개,진접사당,오이도당고개,진접사당
7:40,7:38,8:19,8:17
사당당고개,당고개안산,사당진접,당고개오이도
07:43급첫,7:42,8:25,8:24
오이도당고개,당고개사당,오이도당고개,당고개오이도
7:46,7:45,8:31,8:30
사당진접,당고개오이도,오이도당고개,진접사당
7:49,7:50,8:37,8:36
안산당고개,당고개오이도,사당당고개,당고개오이도
7:52,7:53,8:43,8:42
사당당고개,진접사당,오이도당고개,당고개사당
7:55,7:56,8:49,8:48
오이도당고개,당고개오이도,사당당고개,당고개오이도
7:58,-,8:55,8:54
사당진접,-,오이도당고개,진접사당
08:01급,8:00,9:01,9:00
오이도당고개,당고개사당,사당당고개,당고개오이도
8:06,8:03,9:07,9:06
오이도당고개,당고개오이도,오이도당고개,진접사당
8:09,8:06,9:12,9:12
사당진접,창동사당,사당진접,당고개오이도
8:11,8:09,9:17,9:18
