충무로방면,회현방면,충무로방면,회현방면
평일,평일,주말,주말
05:36첫,05:45첫,05:37첫,05:47첫
서울역진접,한성대입구오이도,서울역당고개,한성대입구오이도
5:52,5:58,05:52첫,5:58
남태령진접,노원오이도,남태령진접,노원사당
6:03,6:03,6:05,6:03
산본당고개,당고개사당,사당진접,당고개오이도
6:12,6:09,6:16,6:09
사당당고개,당고개오이도,산본당고개,당고개사당
6:20,6:13,6:25,6:15
안산당고개,진접사당,사당진접,당고개오이도
6:28,6:18,6:33,6:21
사당당고개,당고개오이도,안산당고개,진접사당
6:35,6:24,6:40,6:27
오이도당고개,당고개사당,안산당고개,당고개오이도
6:43,6:29,6:46,6:33
오이도당고개,당고개오이도,사당진접,진접사당
6:50,6:34,6:52,6:39
사당진접,진접사당,오이도당고개,당고개안산
6:54,6:38,6:58,6:45
오이도당고개,당고개오이도,사당진접,진접사당
6:58,6:42,,6:51
사당진접,창동사당,,당고개오이도
,6:46,,6:57
,당고개오이도,,당고개사당
,6:50,7:04,7:03
,진접사당,오이도당고개,당고개오이도
,6:54,7:10,7:09
,당고개오이도,사당당고개,진접사당
,6:57,7:16,7:15
,창동사당,오이도당고개,당고개오이도
7:01,7:02,7:22,7:21
오이도당고개,당고개안산,사당진접,당고개사당
7:06,7:06,7:28,7:27
오이도당고개,진접사당,오이도당고개,당고개오이도
7:10,7:10,7:34,7:33
사당진접,당고개오이도,사당진접,당고개오이도
7:15,7:14,7:40,7:39
오이도당고개,창동사당,오이도당고개,진접사당
7:19,7:17,7:46,7:45
사당진접,당고개오이도,사당당고개,당고개오이도
7:24,7:20,7:52,7:51
오이도당고개,진접사당,오이도당고개,당고개안산
7:28,7:23,7:58,7:57
사당진접,당고개안산,사당진접,진접사당
7:32,7:27,8:04,8:02
오이도당고개,당고개사당,오이도당고개,당고개오이도
7:36,7:30,8:10,8:09
사당진접,당고개오이도,사당당고개,당고개오이도
7:39,7:35,8:16,8:15
오이도당고개,당고개오이도,오이도당고개,진접사당
7:45,7:38,8:21,8:21
안산당고개,진접사당,안산당고개,당고개오이도
7:49,7:41,8:28,8:27
사당진접,당고개오이도,오이도당고개,당고개사당
7:51,7:45,8:34,8:33
오이도당고개,당고개사당,사당진접,당고개오이도
7:55,7:48,8:40,8:39
사당당고개,당고개오이도,오이도당고개,진접사당
07:58급첫,7:51,8:46,8:45
오이도당고개,창동사당,오이도당고개,당고개오이도
,7:54,8:52,8:51
,당고개안산,사당당고개,진접사당
,7:58,8:58,8:57
,진접사당,오이도당고개,당고개오이도
8:01,8:01,9:04,9:03
사당진접,당고개오이도,사당당고개,당고개사당
8:04,8:05,9:10,9:09
안산당고개,당고개오이도,오이도당고개,당고개오이도
8:07,8:08,9:16,9:15
사당당고개,진접사당,사당당고개,진접사당
8:10,8:11,9:22,9:21
오이도당고개,당고개안산,오이도당고개,당고개오이도
8:13,8:15,9:27,9:27
사당진접,진접사당,사당진접,진접사당
08:16급,8:18,9:32,9:33
오이도당고개,당고개오이도,안산당고개,당고개오이도
8:21,8:21,9:37,9:39
오이도당고개,창동사당,오이도당고개,당고개사당
8:24,8:23,9:42,9:45
사당진접,당고개오이도,사당당고개,당고개오이도
8:26,8:26,9:47,9:51
안산당고개,진접사당,오이도당고개,진접사당
8:30,8:29,9:53,9:57
사당당고개,창동오이도,사당당고개,당고개안산
8:33,8:31,9:58,
오이도당고개,당고개안산,오이도당고개,
8:37,8:36,10:04,10:03
사당진접,진접사당,사당진접,당고개오이도
8:40,8:41,10:10,10:09
오이도당고개,당고개오이도,오이도당고개,진접사당
8:43,8:45,10:16,10:15
사당진접,진접사당,사당진접,당고개오이도
8:46,8:48,10:22,10:21
오이도당고개,당고개오이도,오이도당고개,진접사당
8:50,8:53,10:28,10:27
오이도당고개,진접사당,사당당고개,당고개오이도
8:56,8:55,10:34,10:33
오이도당고개,당고개오이도,오이도당고개,진접사당
8:59,,10:40,10:39
사당진접,,사당진접,당고개오이도
9:02,9:01,10:46,10:45
오이도당고개,당고개오이도,오이도당고개,당고개사당
9:05,9:05,10:51,10:51
사당당고개,진접사당,오이도당고개,당고개오이도
09:08급,9:08,10:57,10:57
오이도당고개,당고개안산,사당진접,진접사당
9:10,9:13,11:03,11:03
사당당고개,당고개오이도,오이도당고개,당고개오이도
9:13,9:17,11:09,11:09
오이도당고개,진접사당,사당당고개,당고개사당
9:16,9:20,11:15,11:15
사당진접,당고개오이도,오이도당고개,당고개오이도
09:19급막,9:23,11:21,11:21
오이도당고개,진접사당,사당당고개,진접사당
9:23,9:26,11:27,11:27
사당당고개,당고개안산,오이도당고개,당고개오이도
9:25,9:32,11:32,11:33
오이도당고개,당고개오이도,사당진접,진접사당
9:33,9:37,11:36,11:39
오이도당고개,진접사당,오이도당고개,당고개오이도
9:37,9:42,11:43,11:45
사당진접,당고개오이도,오이도당고개,당고개사당
9:41,9:47,11:47,11:51
안산당고개,진접사당,사당진접,당고개오이도
9:48,9:52,11:52,11:57
오이도당고개,당고개오이도,오이도당고개,진접사당
9:51,9:57,11:57,
사당진접,진접사당,사당당고개,
9:56,,12:02,12:03
안산당고개,,오이도당고개,당고개오이도
10:00,10:02,12:07,12:08
사당당고개,당고개오이도,오이도당고개,당고개오이도
10:04,10:06,12:12,12:12
오이도당고개,당고개안산,사당당고개,진접사당
10:08,10:11,12:17,12:16
사당진접,진접사당,오이도당고개,당고개안산
10:14,10:15,12:22,12:20
오이도당고개,당고개오이도,사당진접,당고개사당
10:19,10:19,12:27,12:24
사당당고개,당고개사당,오이도당고개,당고개오이도
10:24,10:23,12:32,12:28
오이도당고개,진접사당,오이도당고개,진접사당
10:29,10:25,12:37,12:33
사당진접,당고개오이도,사당진접,당고개오이도
10:34,10:30,12:42,12:38
오이도당고개,진접사당,오이도당고개,당고개사당
10:39,10:35,12:47,12:43
사당진접,당고개오이도,사당당고개,당고개오이도
10:44,10:41,12:50,12:48
오이도당고개,당고개사당,안산당고개,진접사당
10:49,10:46,12:57,12:53
사당당고개,당고개오이도,오이도당고개,당고개오이도
10:54,10:53,,12:58
오이도당고개,진접사당,,당고개안산
,10:57,13:01,13:03
,당고개오이도,사당진접,진접사당
11:00,11:03,13:05,13:08
사당당고개,진접사당,안산당고개,당고개오이도
11:04,11:08,13:09,13:12
오이도당고개,당고개오이도,사당당고개,당고개사당
11:09,11:14,13:13,13:16
사당당고개,당고개사당,오이도당고개,당고개오이도
11:13,11:19,13:17,13:20
오이도당고개,당고개오이도,사당진접,진접사당
11:16,11:24,13:22,13:24
사당진접,진접사당,오이도당고개,당고개오이도
11:20,11:30,13:27,13:28
사당당고개,당고개오이도,사당당고개,당고개사당
11:24,11:36,13:32,13:33
오이도당고개,진접사당,오이도당고개,당고개오이도
11:29,11:41,13:37,13:38
사당진접,당고개오이도,사당진접,진접사당
11:35,11:48,13:42,13:43
오이도당고개,당고개오이도,오이도당고개,당고개오이도
11:41,11:54,13:47,13:48
사당진접,진접사당,오이도당고개,당고개오이도
11:44,,13:52,13:53
오이도당고개,,사당진접,진접사당
11:47,,13:57,13:58
오이도당고개,,오이도당고개,당고개오이도
11:52,,14:01,14:03
사당진접,,사당당고개,당고개사당
11:57,,14:05,14:08
오이도당고개,,안산당고개,당고개안산
12:03,12:00,14:09,14:13
사당진접,당고개오이도,사당진접,당고개오이도
12:11,12:06,14:13,14:17
오이도당고개,당고개사당,오이도당고개,진접사당
12:16,12:12,14:17,14:21
사당진접,당고개오이도,사당당고개,당고개안산
12:21,12:18,14:22,14:25
오이도당고개,진접사당,오이도당고개,당고개사당
12:25,12:24,14:27,14:29
사당진접,당고개안산,사당진접,당고개오이도
12:31,12:28,14:32,14:33
오이도당고개,진접사당,오이도당고개,진접사당
12:38,12:31,14:37,14:38
안산당고개,당고개오이도,오이도당고개,당고개오이도
12:43,12:37,14:42,14:43
사당진접,당고개사당,사당진접,당고개사당
12:49,12:42,14:47,14:48
오이도당고개,당고개오이도,오이도당고개,당고개오이도
12:54,12:48,14:52,14:53
사당진접,진접사당,사당당고개,진접사당
12:59,12:53,14:57,14:58
오이도당고개,당고개오이도,오이도당고개,당고개안산
13:07,13:04,15:02,15:03
오이도당고개,당고개오이도,오이도당고개,당고개오이도
13:12,13:09,15:06,15:08
사당진접,진접사당,사당진접,진접사당
13:17,13:15,15:10,15:13
오이도당고개,당고개오이도,안산당고개,당고개오이도
13:22,13:20,15:14,15:17
사당진접,진접사당,사당당고개,당고개사당
13:28,13:26,15:18,15:21
오이도당고개,당고개오이도,오이도당고개,당고개오이도
13:34,13:32,15:22,15:25
사당당고개,진접사당,사당진접,진접사당
13:42,13:37,15:27,15:29
오이도당고개,당고개오이도,오이도당고개,당고개안산
13:47,13:42,15:32,15:33
사당진접,진접사당,사당당고개,당고개사당
13:53,13:47,15:37,15:38
오이도당고개,당고개오이도,오이도당고개,당고개오이도
13:58,13:55,15:42,15:43
사당당고개,당고개오이도,사당진접,진접사당
14:02,14:01,15:47,15:48
오이도당고개,진접사당,오이도당고개,당고개오이도
14:06,14:06,15:52,15:53
사당진접,당고개오이도,안산당고개,당고개안산
14:12,14:11,15:57,15:58
오이도당고개,진접사당,사당진접,진접사당
14:18,14:16,16:02,16:03
사당진접,당고개오이도,오이도당고개,당고개오이도
14:24,14:21,16:06,16:08
오이도당고개,진접사당,사당당고개,당고개사당
14:31,14:24,16:10,16:13
사당진접,당고개오이도,오이도당고개,당고개안산
14:36,14:29,16:14,16:18
오이도당고개,진접사당,사당진접,당고개오이도
14:42,14:34,16:18,16:22
오이도당고개,당고개오이도,오이도당고개,진접사당
14:48,14:40,16:22,16:26
사당진접,진접사당,사당당고개,당고개안산
14:54,14:45,16:27,16:30
오이도당고개,당고개오이도,오이도당고개,당고개사당
,14:53,16:32,16:34
,당고개사당,사당진접,당고개오이도
,14:59,16:36,16:38
,당고개오이도,오이도당고개,진접사당
15:00,15:05,16:43,16:43
사당진접,진접사당,오이도당고개,당고개오이도
15:06,15:10,16:47,16:48
오이도당고개,당고개오이도,사당당고개,당고개사당
15:10,15:15,16:52,16:53
안산당고개,당고개사당,오이도당고개,당고개오이도
15:16,15:19,16:57,16:58
사당진접,당고개오이도,사당진접,진접사당
15:21,15:25,17:02,17:03
오이도당고개,진접사당,안산당고개,당고개오이도
15:26,15:30,17:07,17:08
사당당고개,당고개오이도,오이도당고개,당고개오이도
15:31,15:36,17:11,17:13
오이도당고개,진접사당,사당당고개,진접사당
15:38,15:41,17:16,17:18
사당진접,당고개오이도,오이도당고개,당고개오이도
15:45,15:49,17:19,17:23
오이도당고개,진접사당,사당진접,당고개사당
15:50,15:53,17:23,17:28
사당진접,당고개오이도,안산당고개,당고개오이도
15:56,15:59,17:27,17:33
오이도당고개,당고개오이도,사당당고개,당고개오이도
16:00,16:06,17:32,17:38
사당당고개,진접사당,오이도당고개,진접사당
16:04,16:12,17:37,17:43
오이도당고개,당고개오이도,사당진접,당고개오이도
16:07,16:18,17:42,17:48
사당진접,진접사당,오이도당고개,진접사당
16:10,16:23,17:47,17:53
안산당고개,당고개오이도,사당진접,당고개오이도
16:14,16:28,17:50,17:58
사당당고개,당고개오이도,안산당고개,당고개오이도
16:18,16:34,17:57,
오이도당고개,진접사당,오이도당고개,
16:24,16:38,18:02,18:03
사당진접,당고개오이도,사당진접,진접사당
16:30,16:43,18:07,18:09
오이도당고개,당고개사당,안산당고개,당고개오이도
16:36,16:48,18:12,18:15
사당진접,당고개오이도,오이도당고개,당고개사당
16:41,16:55,18:17,18:21
오이도당고개,진접사당,사당진접,당고개오이도
16:47,,18:23,18:27
오이도당고개,,오이도당고개,진접사당
16:53,,18:29,18:33
사당진접,,사당당고개,당고개오이도
16:59,,18:34,18:40
오이도당고개,,오이도당고개,당고개오이도
17:06,17:02,18:39,18:45
사당진접,당고개오이도,사당진접,진접사당
17:10,17:07,18:44,18:51
오이도당고개,진접사당,오이도당고개,당고개오이도
17:17,17:12,18:49,18:57
오이도당고개,당고개오이도,안산당고개,당고개사당
17:21,17:16,18:54,
사당진접,당고개사당,사당진접,
17:26,17:20,18:59,
오이도당고개,당고개오이도,오이도당고개,
17:31,17:24,19:05,19:02
사당진접,진접사당,사당당고개,당고개오이도
17:37,17:27,19:11,19:07
오이도당고개,당고개오이도,오이도당고개,진접사당
17:42,17:31,19:17,19:12
사당진접,당고개사당,사당진접,당고개오이도
17:46,17:34,19:23,19:17
안산당고개,당고개오이도,안산당고개,당고개오이도
17:51,17:38,19:29,19:22
오이도당고개,진접사당,오이도당고개,진접사당
17:56,17:42,19:35,19:27
사당진접,창동오이도,사당진접,당고개오이도
,17:45,19:41,19:33
,당고개사당,오이도당고개,진접사당
,17:49,19:47,19:39
,당고개오이도,사당당고개,당고개오이도
,17:52,19:53,19:45
,진접사당,오이도당고개,당고개사당
,17:56,19:59,19:51
,당고개오이도,사당진접,당고개오이도
18:00,18:00,,19:56
오이도당고개,당고개사당,,진접사당
18:04,18:03,20:05,20:01
사당당고개,당고개오이도,오이도당고개,당고개오이도
18:07,18:07,20:11,20:06
안산당고개,창동사당,사당당고개,당고개안산
18:11,18:10,20:17,20:11
사당진접,당고개오이도,오이도당고개,진접사당
18:15,18:13,20:23,20:16
오이도당고개,진접사당,사당진접,당고개오이도
18:19,18:16,20:29,20:21
사당당고개,당고개오이도,오이도당고개,당고개사당
18:22,18:20,20:35,20:26
안산당고개,당고개사당,사당당고개,당고개오이도
18:26,18:26,20:41,20:31
사당진접,당고개오이도,오이도당고개,당고개오이도
18:30,18:29,20:47,20:36
오이도당고개,진접사당,사당진접,진접사당
18:33,18:32,20:53,20:41
사당당고개,당고개오이도,오이도당고개,당고개오이도
18:37,18:35,20:59,20:46
오이도당고개,당고개사당,사당진접,당고개오이도
18:40,18:38,,20:51
사당진접,당고개오이도,,진접사당
18:43,18:42,,20:57
안산당고개,진접사당,,당고개오이도
18:47,18:45,21:04,21:03
사당당고개,당고개안산,오이도당고개,진접사당
18:51,18:49,21:12,21:09
오이도당고개,진접사당,오이도당고개,당고개오이도
18:55,18:52급첫,21:17,21:15
사당진접,당고개오이도,사당진접,당고개사당
18:58,18:56,21:23,21:21
오이도당고개,당고개사당,오이도당고개,당고개오이도
19:01,19:00,21:29,21:27
사당당고개,창동오이도,사당당고개,진접사당
19:05,19:03,21:35,21:33
오이도당고개,진접사당,오이도당고개,당고개오이도
19:09,19:06,21:41,21:39
사당진접,당고개오이도,사당진접,당고개사당
19:13,19:10,21:47,21:45
오이도당고개,당고개안산,오이도당고개,당고개오이도
19:17,19:14,21:53,21:51
사당당고개,진접사당,사당당고개,진접사당
19:19,19:17,21:59,21:57
오이도당고개,당고개오이도,오이도당고개,당고개오이도
19:24,19:21,22:05,22:03
사당진접,당고개사당,사당진접,당고개사당
19:27,19:24,22:11,22:09
오이도당고개,당고개오이도,오이도당고개,당고개오이도
19:30,19:28,22:17,22:15
사당당고개,진접사당,사당당고개,진접사당
19:33,19:31,22:23,22:19
오이도당고개,당고개오이도,오이도당고개,당고개안산
19:37,19:35,22:29,22:26
사당진접,당고개사당,사당진접,당고개오이도
19:41,19:39,22:35,22:33
오이도당고개,당고개오이도,오이도당고개,진접사당
19:44,19:43,22:41,22:42막
사당당고개,진접사당,사당당고개,당고개오이도
19:47,19:47,22:47,22:48
오이도당고개,당고개오이도,오이도당고개,진접사당
19:51,19:51,22:55,22:55
사당진접,당고개사당,사당진접,당고개안산
19:55,19:55,23:03,23:08
오이도당고개,당고개오이도,오이도당고개,당고개사당
,19:59,23:11막,23:18막
,진접사당,사당진접,당고개안산
20:00,20:03급,23:19,23:29
사당당고개,당고개오이도,오이도당고개,진접사당
20:03,20:06,23:27막,23:40막
오이도당고개,당고개사당,사당당고개,당고개산본
20:07,20:10,23:35막,23:57막
사당진접,진접사당,오이도노원,진접서울역
20:12,20:14,23:51막,
오이도당고개,당고개오이도,오이도한성대입구,
20:16,20:18,,
사당당고개,당고개사당,,
20:19,20:21,,
오이도당고개,당고개오이도,,
20:23,20:25,,
사당진접,진접사당,,
20:28,20:30,,
오이도당고개,당고개오이도,,
20:32,20:37,,
사당당고개,당고개오이도,,
20:35,20:40,,
오이도당고개,진접사당,,
20:39,20:43,,
사당진접,당고개안산,,
20:44,20:47,,
오이도당고개,당고개사당,,
20:48,20:50급막,,
사당당고개,당고개오이도,,
20:53,20:55,,
오이도당고개,진접사당,,
20:57,20:58,,
사당진접,당고개오이도,,
21:00,21:03,,
안산당고개,당고개사당,,
21:05,21:07,,
사당당고개,당고개오이도,,
21:10,21:12,,
오이도당고개,진접사당,,
21:13,21:17,,
사당진접,당고개오이도,,
21:16,21:22,,
오이도당고개,당고개안산,,
21:21,21:25,,
사당당고개,진접사당,,
21:26,21:29,,
오이도당고개,창동오이도,,
21:31,21:36,,
사당진접,당고개오이도,,
21:35,21:40,,
안산당고개,진접사당,,
21:39,21:45,,
오이도당고개,당고개안산,,
21:42,21:52,,
사당당고개,당고개오이도,,
21:45,21:58,,
안산당고개,진접사당,,
21:47,,,
사당진접,,,
21:50,,,
오이도당고개,,,
21:55,,,
사당당고개,,,
22:03,22:05,,
오이도당고개,당고개오이도,,
22:07,22:10,,
사당진접,진접사당,,
22:13,22:14,,
사당당고개,당고개안산,,
22:17,22:22,,
오이도당고개,당고개오이도,,
22:25,22:26,,
오이도당고개,진접사당,,
22:32,22:33,,
사당진접,당고개오이도,,
22:40,22:40,,
오이도당고개,진접사당,,
22:47,22:45,,
사당당고개,당고개오이도,,
22:54,22:53,,
오이도당고개,당고개안산,,
,22:58,,
,진접사당,,
23:01,23:09막,,
사당진접,당고개오이도,,
23:08,23:18,,
오이도당고개,진접사당,,
23:14,23:24막,,
사당진접,당고개안산,,
23:20,23:31,,
오이도당고개,진접사당,,
23:27,23:38,,
사당진접,당고개사당,,
23:35,23:48막,,
오이도당고개,당고개금정,,
23:48,,,
오이도당고개,,,
23:55,,,
사당진접,,,
0:01,0:01,,
오이도당고개,진접사당,,
00:09막,0:20,,
사당진접,진접사당,,
0:18,00:42막,,
오이도당고개,진접사당,,
00:32막,00:57막,,
사당당고개,진접서울역,,
00:51막,,,
오이도한성대입구,,,
