총신대입구(이수)방면,남태령방면,총신대입구(이수)방면,남태령방면
평일,평일,주말,주말
05:32첫,05:50첫,05:32첫,05:50첫
남태령진접,사당오이도,남태령진접,사당오이도
5:43,-,5:45,-
산본당고개,-,사당진접,-
5:52,-,5:56,-
사당당고개,-,산본당고개,-
6:00,6:06,6:05,6:07
안산당고개,한성대입구오이도,사당진접,한성대입구오이도
6:08,6:18,6:13,6:23
사당당고개,노원오이도,안산당고개,당고개오이도
6:15,6:29,6:20,6:35
오이도당고개,당고개오이도,안산당고개,당고개오이도
6:23,6:38,6:26,6:47
오이도당고개,당고개오이도,사당진접,당고개오이도
6:30,6:49,6:32,6:59
사당진접,당고개오이도,오이도당고개,당고개안산
6:34,6:58,6:38,-
오이도당고개,당고개오이도,사당진접,-
6:38,-,6:44,-
사당진접,-,오이도당고개,-
6:41,-,6:50,-
오이도당고개,-,사당당고개,-
6:46,-,6:56,-
오이도당고개,-,오이도당고개,-
6:50,-,7:02,7:11
사당진접,-,사당진접,당고개오이도
6:55,-,7:08,7:23
오이도당고개,-,오이도당고개,당고개오이도
6:59,-,7:14,7:35
사당진접,-,사당진접,당고개오이도
7:04,7:06,7:20,7:47
오이도당고개,당고개오이도,오이도당고개,당고개오이도
7:08,7:14,7:26,7:53
사당진접,당고개오이도,사당당고개,당고개오이도
7:12,7:22,7:32,-
오이도당고개,당고개안산,오이도당고개,-
7:16,7:30,7:38,-
사당진접,당고개오이도,사당진접,-
7:19,7:37,7:44,-
오이도당고개,당고개오이도,오이도당고개,-
7:25,7:43,7:50,-
안산당고개,당고개안산,사당당고개,-
7:29,7:50,7:56,-
사당진접,당고개오이도,오이도당고개,-
7:31,7:55,8:01,8:05
오이도당고개,당고개오이도,안산당고개,당고개오이도
7:35,-,8:08,8:11
사당당고개,-,오이도당고개,당고개안산
07:38급첫,-,8:14,8:22
오이도당고개,-,사당진접,당고개오이도
7:41,-,8:20,8:29
사당진접,-,오이도당고개,당고개오이도
7:44,-,8:26,8:41
안산당고개,-,오이도당고개,당고개오이도
7:47,-,8:32,8:53
사당당고개,-,사당당고개,당고개오이도
7:50,-,8:38,-
오이도당고개,-,오이도당고개,-
7:53,-,8:44,-
사당진접,-,사당당고개,-
07:56급,-,8:50,-
오이도당고개,-,오이도당고개,-
8:01,8:01,8:56,-
오이도당고개,당고개오이도,사당당고개,-
8:04,8:08,9:02,9:05
사당진접,당고개오이도,오이도당고개,당고개오이도
8:06,8:14,9:07,9:17
안산당고개,당고개안산,사당진접,당고개오이도
8:10,8:21,9:12,9:29
사당당고개,당고개오이도,안산당고개,당고개오이도
8:13,8:25,9:17,9:41
오이도당고개,당고개오이도,오이도당고개,당고개오이도
8:17,8:31,9:22,9:53
사당진접,당고개안산,사당당고개,당고개오이도
8:20,8:38,9:27,-
오이도당고개,당고개오이도,오이도당고개,-
8:23,8:43,9:33,-
사당진접,당고개오이도,사당당고개,-
8:26,8:49,9:38,-
오이도당고개,창동오이도,오이도당고개,-
8:30,8:51,9:44,-
오이도당고개,당고개안산,사당진접,-
8:36,-,9:50,-
오이도당고개,-,오이도당고개,-
8:39,-,9:56,-
사당진접,-,사당진접,-
8:42,-,10:02,10:05
오이도당고개,-,오이도당고개,당고개오이도
8:45,-,10:08,10:17
사당당고개,-,사당당고개,당고개안산
08:48급,-,10:14,10:23
오이도당고개,-,오이도당고개,당고개오이도
8:50,-,10:20,10:35
사당당고개,-,사당진접,당고개오이도
8:53,-,10:26,10:47
오이도당고개,-,오이도당고개,당고개오이도
8:56,-,10:31,10:59
사당진접,-,오이도당고개,당고개오이도
08:59급막,-,10:37,-
오이도당고개,-,사당진접,-
9:03,9:01,10:43,-
사당당고개,당고개오이도,오이도당고개,-
9:05,9:08,10:49,-
오이도당고개,당고개오이도,사당당고개,-
9:13,9:15,10:55,-
오이도당고개,당고개오이도,오이도당고개,-
9:17,9:21,11:01,11:11
사당진접,당고개오이도,사당당고개,당고개오이도
9:21,9:28,11:07,11:23
안산당고개,당고개안산,오이도당고개,당고개오이도
9:28,9:33,11:12,11:35
오이도당고개,당고개오이도,사당진접,당고개오이도
9:31,9:40,11:16,11:47
사당진접,당고개오이도,오이도당고개,당고개오이도
9:36,9:46,11:23,11:59
안산당고개,당고개안산,오이도당고개,당고개오이도
9:40,9:52,11:27,-
사당당고개,당고개오이도,사당진접,-
9:44,-,11:32,-
오이도당고개,-,오이도당고개,-
9:48,-,11:37,-
사당진접,-,사당당고개,-
9:54,-,11:42,-
오이도당고개,-,오이도당고개,-
