숙대입구방면,신용산방면,숙대입구방면,신용산방면
평일,평일,주말,주말
05:45첫,05:53첫,05:45첫,05:54첫
남태령진접,한성대입구오이도,남태령진접,한성대입구오이도
5:56,-,5:57,-
산본당고개,-,사당진접,-
6:04,6:06,6:09,6:06
사당당고개,노원오이도,산본당고개,노원사당
6:13,6:11,6:17,6:11
안산당고개,당고개사당,사당진접,당고개오이도
6:20,6:17,6:25,6:17
사당당고개,당고개오이도,안산당고개,당고개사당
6:27,6:20,6:32,6:23
오이도당고개,진접사당,안산당고개,당고개오이도
6:35,6:26,6:38,6:29
오이도당고개,당고개오이도,사당진접,진접사당
6:42,6:31,6:44,6:35
사당진접,당고개사당,오이도당고개,당고개오이도
6:46,6:37,6:50,6:41
오이도당고개,당고개오이도,사당진접,진접사당
6:51,6:41,6:56,6:47
사당진접,진접사당,오이도당고개,당고개안산
6:53,6:46,-,6:53
오이도당고개,당고개오이도,-,진접사당
6:58,6:50,-,6:59
오이도당고개,창동사당,-,당고개오이도
-,6:54,7:02,7:05
-,당고개오이도,사당당고개,당고개사당
-,6:58,7:08,7:11
-,진접사당,오이도당고개,당고개오이도
7:03,7:02,7:14,7:17
사당진접,당고개오이도,사당진접,진접사당
7:07,7:05,7:20,7:23
오이도당고개,창동사당,오이도당고개,당고개오이도
7:12,7:10,7:26,7:29
사당진접,당고개안산,사당진접,당고개사당
7:16,7:14,7:32,7:35
오이도당고개,진접사당,오이도당고개,당고개오이도
7:20,7:18,7:38,7:41
사당진접,당고개오이도,사당당고개,당고개오이도
7:24,7:21,7:44,7:47
오이도당고개,창동사당,오이도당고개,진접사당
7:28,7:25,7:50,7:53
사당진접,당고개오이도,사당진접,당고개오이도
7:32,7:28,7:56,7:59
오이도당고개,진접사당,오이도당고개,당고개안산
7:38,7:31,8:02,8:05
안산당고개,당고개안산,사당당고개,진접사당
7:41,7:35,8:08,8:10
사당진접,당고개사당,오이도당고개,당고개오이도
7:44,7:38,8:14,8:17
오이도당고개,당고개오이도,안산당고개,당고개오이도
7:47,7:43,8:20,8:23
사당당고개,당고개오이도,오이도당고개,진접사당
07:50급첫,7:46,8:26,8:29
오이도당고개,진접사당,사당진접,당고개오이도
7:54,7:49,8:32,8:35
사당진접,당고개오이도,오이도당고개,당고개사당
7:57,7:53,8:38,8:41
안산당고개,당고개사당,오이도당고개,당고개오이도
7:59,7:56,8:44,8:47
사당당고개,당고개오이도,사당당고개,진접사당
-,7:59,8:50,8:53
-,창동사당,오이도당고개,당고개오이도
8:02,8:02,8:56,8:59
오이도당고개,당고개안산,사당당고개,진접사당
8:05,8:06,9:02,9:05
사당진접,진접사당,오이도당고개,당고개오이도
08:08급,8:09,9:08,9:11
오이도당고개,당고개오이도,사당당고개,당고개사당
8:13,8:13,9:14,9:17
오이도당고개,당고개오이도,오이도당고개,당고개오이도
8:16,8:16,9:19,9:23
사당진접,진접사당,사당진접,진접사당
8:19,8:19,9:24,9:29
안산당고개,당고개안산,안산당고개,당고개오이도
8:22,8:22,9:29,9:35
사당당고개,진접사당,오이도당고개,진접사당
8:25,8:26,9:34,9:41
오이도당고개,당고개오이도,사당당고개,당고개오이도
8:29,8:28,9:39,9:47
사당진접,창동사당,오이도당고개,당고개사당
8:33,8:31,9:45,9:53
오이도당고개,당고개오이도,사당당고개,당고개오이도
8:35,8:34,9:50,9:59
사당진접,진접사당,오이도당고개,진접사당
8:38,8:36,9:56,-
오이도당고개,창동오이도,사당진접,-
8:42,8:39,10:02,10:05
오이도당고개,당고개안산,오이도당고개,당고개안산
