회현방면,숙대입구방면,회현방면,숙대입구방면
평일,평일,주말,주말
05:33첫,05:49첫,05:34첫,05:50첫
서울역진접,한성대입구오이도,서울역당고개,한성대입구오이도
5:49,,05:49첫,
남태령진접,,남태령진접,
6:00,6:02,6:01,6:02
산본당고개,노원오이도,사당진접,노원사당
6:08,6:07,6:13,6:07
사당당고개,당고개사당,산본당고개,당고개오이도
6:17,6:13,6:21,6:13
안산당고개,당고개오이도,사당진접,당고개사당
6:24,6:16,6:29,6:19
사당당고개,진접사당,안산당고개,당고개오이도
6:31,6:22,6:36,6:25
오이도당고개,당고개오이도,안산당고개,진접사당
6:39,6:27,6:42,6:31
오이도당고개,당고개사당,사당진접,당고개오이도
6:46,6:33,6:48,6:37
사당진접,당고개오이도,오이도당고개,진접사당
6:50,6:37,6:54,6:43
오이도당고개,진접사당,사당진접,당고개안산
6:55,6:42,,6:49
사당진접,당고개오이도,,진접사당
6:57,6:46,,6:55
오이도당고개,창동사당,,당고개오이도
,6:50,7:00,7:01
,당고개오이도,오이도당고개,당고개사당
,6:54,7:06,7:07
,진접사당,사당당고개,당고개오이도
,6:58,7:12,7:13
,당고개오이도,오이도당고개,진접사당
7:02,7:01,7:18,7:19
오이도당고개,창동사당,사당진접,당고개오이도
7:07,7:06,7:24,7:25
사당진접,당고개안산,오이도당고개,당고개사당
7:11,7:10,7:30,7:31
오이도당고개,진접사당,사당진접,당고개오이도
7:16,7:14,7:36,7:37
사당진접,당고개오이도,오이도당고개,당고개오이도
7:20,7:17,7:42,7:43
오이도당고개,창동사당,사당당고개,진접사당
7:24,7:21,7:48,7:49
사당진접,당고개오이도,오이도당고개,당고개오이도
7:28,7:24,7:54,7:55
오이도당고개,진접사당,사당진접,당고개안산
7:32,7:27,8:00,8:01
사당진접,당고개안산,오이도당고개,진접사당
7:36,7:31,8:06,8:06
오이도당고개,당고개사당,사당당고개,당고개오이도
7:42,7:34,8:12,8:13
안산당고개,당고개오이도,오이도당고개,당고개오이도
7:45,7:39,8:18,8:19
사당진접,당고개오이도,안산당고개,진접사당
7:48,7:42,8:24,8:25
오이도당고개,진접사당,오이도당고개,당고개오이도
7:51,7:45,8:30,8:31
사당당고개,당고개오이도,사당진접,당고개사당
07:54급첫,7:49,8:36,8:37
오이도당고개,당고개사당,오이도당고개,당고개오이도
7:58,7:52,8:42,8:43
사당진접,당고개오이도,오이도당고개,진접사당
,7:55,8:48,8:49
,창동사당,사당당고개,당고개오이도
,7:58,8:54,8:55
,당고개안산,오이도당고개,진접사당
8:01,8:02,9:00,9:01
안산당고개,진접사당,사당당고개,당고개오이도
8:03,8:05,9:06,9:07
사당당고개,당고개오이도,오이도당고개,당고개사당
8:06,8:09,9:12,9:13
오이도당고개,당고개오이도,사당당고개,당고개오이도
8:09,8:12,9:18,9:19
사당진접,진접사당,오이도당고개,진접사당
08:12급,8:15,9:23,9:25
오이도당고개,당고개안산,사당진접,당고개오이도
8:17,8:18,9:28,9:31
오이도당고개,진접사당,안산당고개,진접사당
8:20,8:22,9:33,9:37
사당진접,당고개오이도,오이도당고개,당고개오이도
8:23,8:24,9:38,9:43
안산당고개,창동사당,사당당고개,당고개사당
8:26,8:27,9:43,9:49
사당당고개,당고개오이도,오이도당고개,당고개오이도
8:29,8:30,9:49,9:55
오이도당고개,진접사당,사당당고개,진접사당
8:33,8:32,9:54,
사당진접,창동오이도,오이도당고개,
8:37,8:35,10:00,10:01
오이도당고개,당고개안산,사당진접,당고개안산
8:39,8:40,10:06,10:07
사당진접,진접사당,오이도당고개,당고개오이도
8:42,8:45,10:12,10:13
오이도당고개,당고개오이도,사당진접,진접사당
8:46,8:49,10:18,10:19
오이도당고개,진접사당,오이도당고개,당고개오이도
8:52,8:52,10:24,10:25
오이도당고개,당고개오이도,사당당고개,진접사당
8:55,8:56,10:30,10:31
사당진접,진접사당,오이도당고개,당고개오이도
8:58,8:59,10:36,10:37
오이도당고개,당고개오이도,사당진접,진접사당
9:01,9:05,10:42,10:43
사당당고개,당고개오이도,오이도당고개,당고개오이도
09:04급,9:09,10:47,10:49
오이도당고개,진접사당,오이도당고개,당고개사당
9:07,9:12,10:53,10:55
사당당고개,당고개안산,사당진접,당고개오이도
9:10,9:16,10:59,
오이도당고개,당고개오이도,오이도당고개,
9:12,9:21,11:05,11:01
사당진접,진접사당,사당당고개,진접사당
09:16급막,9:24,11:11,11:07
오이도당고개,당고개오이도,오이도당고개,당고개오이도
9:19,9:27,11:17,11:13
사당당고개,진접사당,사당당고개,당고개사당
9:22,9:30,11:23,11:19
오이도당고개,당고개안산,오이도당고개,당고개오이도
9:29,9:35,11:28,11:25
오이도당고개,당고개오이도,사당진접,진접사당
9:33,9:40,11:32,11:31
사당진접,진접사당,오이도당고개,당고개오이도
9:37,9:46,11:39,11:37
안산당고개,당고개오이도,오이도당고개,진접사당
9:44,9:51,11:43,11:43
오이도당고개,진접사당,사당진접,당고개오이도
9:48,9:56,11:48,11:49
사당진접,당고개오이도,오이도당고개,당고개사당
9:53,,11:53,11:55
안산당고개,,사당당고개,당고개오이도
9:56,,11:58,
사당당고개,,오이도당고개,
10:00,10:01,12:03,12:01
오이도당고개,진접사당,오이도당고개,진접사당
10:04,10:06,12:08,12:07
사당진접,당고개오이도,사당당고개,당고개오이도
10:10,10:10,12:13,12:12
오이도당고개,당고개안산,오이도당고개,당고개오이도
10:15,10:15,12:18,12:16
사당당고개,진접사당,사당진접,진접사당
10:20,10:19,12:23,12:20
오이도당고개,당고개오이도,오이도당고개,당고개안산
10:25,10:23,12:28,12:24
사당진접,당고개사당,오이도당고개,당고개사당
10:30,10:26,12:33,12:28
오이도당고개,진접사당,사당진접,당고개오이도
10:35,10:29,12:38,12:32
사당진접,당고개오이도,오이도당고개,진접사당
10:40,10:34,12:43,12:37
오이도당고개,진접사당,사당당고개,당고개오이도
10:45,10:39,12:47,12:42
사당당고개,당고개오이도,안산당고개,당고개사당
10:50,10:44,12:53,12:47
오이도당고개,당고개사당,오이도당고개,당고개오이도
10:56,10:50,12:57,12:52
사당당고개,당고개오이도,사당진접,진접사당
,10:57,,12:57
,진접사당,,당고개오이도
11:00,11:01,13:01,13:02
오이도당고개,당고개오이도,안산당고개,당고개안산
11:05,11:07,13:05,13:07
사당당고개,진접사당,사당당고개,진접사당
11:09,11:12,13:09,13:12
오이도당고개,당고개오이도,오이도당고개,당고개오이도
11:13,11:17,13:13,13:16
사당진접,당고개사당,사당진접,당고개사당
11:16,11:23,13:18,13:20
사당당고개,당고개오이도,오이도당고개,당고개오이도
11:20,11:28,13:23,13:24
오이도당고개,진접사당,사당당고개,진접사당
11:26,11:34,13:28,13:28
사당진접,당고개오이도,오이도당고개,당고개오이도
11:32,11:39,13:33,13:32
오이도당고개,진접사당,사당진접,당고개사당
11:37,11:45,13:38,13:37
사당진접,당고개오이도,오이도당고개,당고개오이도
11:40,11:52,13:43,13:42
오이도당고개,당고개오이도,오이도당고개,진접사당
11:43,11:58,13:48,13:47
오이도당고개,진접사당,사당진접,당고개오이도
11:48,,13:53,13:52
사당진접,,오이도당고개,당고개오이도
11:53,,13:57,13:57
오이도당고개,,사당당고개,진접사당
12:00,12:04,14:01,14:02
