삼각지방면,이촌방면,삼각지방면,이촌방면
평일,평일,주말,주말
05:43첫,05:55첫,05:43첫,05:56첫
남태령진접,한성대입구오이도,남태령진접,한성대입구오이도
5:54,,5:56,
산본당고개,,사당진접,
6:03,6:07,6:07,6:07
사당당고개,노원오이도,산본당고개,노원사당
6:11,6:12,6:16,6:12
안산당고개,당고개사당,사당진접,당고개오이도
6:19,6:18,6:24,6:18
사당당고개,당고개오이도,안산당고개,당고개사당
6:26,6:22,6:31,6:24
오이도당고개,진접사당,안산당고개,당고개오이도
6:34,6:27,6:37,6:30
오이도당고개,당고개오이도,사당진접,진접사당
6:41,6:33,6:43,6:36
사당진접,당고개사당,오이도당고개,당고개오이도
6:45,6:38,6:49,6:42
오이도당고개,당고개오이도,사당진접,진접사당
6:49,6:43,6:55,6:48
사당진접,진접사당,오이도당고개,당고개안산
6:52,6:47,,6:54
오이도당고개,당고개오이도,,진접사당
6:57,6:51,7:01,7:00
오이도당고개,창동사당,사당당고개,당고개오이도
,6:55,7:07,7:06
,당고개오이도,오이도당고개,당고개사당
,6:59,7:13,7:12
,진접사당,사당진접,당고개오이도
7:01,7:03,7:19,7:18
사당진접,당고개오이도,오이도당고개,진접사당
7:06,7:06,7:25,7:24
오이도당고개,창동사당,사당진접,당고개오이도
7:10,7:11,7:31,7:30
사당진접,당고개안산,오이도당고개,당고개사당
7:15,7:15,7:37,7:36
오이도당고개,진접사당,사당당고개,당고개오이도
7:19,7:19,7:43,7:42
사당진접,당고개오이도,오이도당고개,당고개오이도
7:23,7:23,7:49,7:48
오이도당고개,창동사당,사당진접,진접사당
7:27,7:26,7:55,7:54
사당진접,당고개오이도,오이도당고개,당고개오이도
7:30,7:29,8:01,8:00
오이도당고개,진접사당,사당당고개,당고개안산
7:36,7:32,8:07,8:06
안산당고개,당고개안산,오이도당고개,진접사당
7:40,7:36,8:12,8:11
사당진접,당고개사당,안산당고개,당고개오이도
7:42,7:39,8:19,8:18
오이도당고개,당고개오이도,오이도당고개,당고개오이도
7:46,7:44,8:25,8:24
사당당고개,당고개오이도,사당진접,진접사당
07:49급첫,7:47,8:31,8:30
오이도당고개,진접사당,오이도당고개,당고개오이도
7:52,7:50,8:37,8:36
사당진접,당고개오이도,오이도당고개,당고개사당
7:55,7:54,8:43,8:42
안산당고개,당고개사당,사당당고개,당고개오이도
7:58,7:57,8:49,8:48
사당당고개,당고개오이도,오이도당고개,진접사당
8:01,8:00,8:55,8:54
오이도당고개,창동사당,사당당고개,당고개오이도
8:04,8:03,9:01,9:00
사당진접,당고개안산,오이도당고개,진접사당
08:07급,8:07,9:07,9:06
오이도당고개,진접사당,사당당고개,당고개오이도
8:12,8:10,9:13,9:12
오이도당고개,당고개오이도,오이도당고개,당고개사당
8:15,8:14,9:18,9:18
사당진접,당고개오이도,사당진접,당고개오이도
8:17,8:17,9:23,9:24
안산당고개,진접사당,안산당고개,진접사당
8:21,8:20,9:28,9:30
사당당고개,당고개안산,오이도당고개,당고개오이도
8:24,8:24,9:33,9:36
오이도당고개,진접사당,사당당고개,진접사당
8:28,8:27,9:38,9:42
사당진접,당고개오이도,오이도당고개,당고개오이도
8:31,8:30,9:44,9:48
오이도당고개,창동사당,사당당고개,당고개사당
8:34,8:32,9:49,9:54
사당진접,당고개오이도,오이도당고개,당고개오이도
8:37,8:35,9:55,
오이도당고개,진접사당,사당진접,
8:41,8:38,10:01,10:00
오이도당고개,창동오이도,오이도당고개,진접사당
8:47,8:40,10:07,10:06
오이도당고개,당고개안산,사당진접,당고개안산
8:50,8:45,10:13,10:12
사당진접,진접사당,오이도당고개,당고개오이도
8:53,8:50,10:19,10:18
오이도당고개,당고개오이도,사당당고개,진접사당
8:56,8:54,10:25,10:24
사당당고개,진접사당,오이도당고개,당고개오이도
08:59급,8:57,10:31,10:30
오이도당고개,당고개오이도,사당진접,진접사당
9:01,9:02,10:37,10:36
사당당고개,진접사당,오이도당고개,당고개오이도
9:04,9:04,10:42,10:42
오이도당고개,당고개오이도,오이도당고개,진접사당
9:07,9:10,10:48,10:48
사당진접,당고개오이도,사당진접,당고개오이도
09:10급막,9:14,10:54,10:54
오이도당고개,진접사당,오이도당고개,당고개사당
9:14,9:17,11:00,11:00
사당당고개,당고개안산,사당당고개,당고개오이도
9:16,9:22,11:06,11:06
오이도당고개,당고개오이도,오이도당고개,진접사당
9:24,9:26,11:12,11:12
오이도당고개,진접사당,사당당고개,당고개오이도
9:28,9:29,11:18,11:18
사당진접,당고개오이도,오이도당고개,당고개사당
9:32,9:32,11:23,11:24
안산당고개,진접사당,사당진접,당고개오이도
9:39,9:35,11:27,11:30
오이도당고개,당고개안산,오이도당고개,진접사당
9:42,9:41,11:34,11:36
사당진접,당고개오이도,오이도당고개,당고개오이도
9:47,9:46,11:38,11:42
안산당고개,진접사당,사당진접,진접사당
9:51,9:51,11:43,11:48
사당당고개,당고개오이도,오이도당고개,당고개오이도
9:55,9:56,11:48,11:54
오이도당고개,진접사당,사당당고개,당고개사당
9:59,,11:53,
사당진접,,오이도당고개,
10:05,10:01,11:58,
오이도당고개,당고개오이도,오이도당고개,
10:10,10:06,12:03,12:00
사당당고개,진접사당,사당당고개,당고개오이도
10:15,10:11,12:08,12:06
오이도당고개,당고개오이도,오이도당고개,진접사당
10:20,10:15,12:13,12:12
사당진접,당고개안산,사당진접,당고개오이도
10:25,10:20,12:18,12:17
오이도당고개,진접사당,오이도당고개,당고개오이도
10:30,10:24,12:23,12:21
사당진접,당고개오이도,오이도당고개,진접사당
10:35,10:28,12:28,12:25
오이도당고개,당고개사당,사당진접,당고개안산
10:40,10:32,12:33,12:29
사당당고개,진접사당,오이도당고개,당고개사당
10:45,10:34,12:38,12:33
오이도당고개,당고개오이도,사당당고개,당고개오이도
10:51,10:39,12:41,12:37
사당당고개,진접사당,안산당고개,진접사당
10:55,10:44,12:48,12:42
오이도당고개,당고개오이도,오이도당고개,당고개오이도
,10:50,12:52,12:47
,당고개사당,사당진접,당고개사당
,10:55,12:56,12:52
,당고개오이도,안산당고개,당고개오이도
11:00,11:02,,12:57
사당당고개,진접사당,,진접사당
11:04,11:06,13:00,13:02
오이도당고개,당고개오이도,사당당고개,당고개오이도
11:07,11:12,13:04,13:07
사당진접,진접사당,오이도당고개,당고개안산
11:11,11:17,13:08,13:12
사당당고개,당고개오이도,사당진접,진접사당
11:15,11:23,13:13,13:17
오이도당고개,당고개사당,오이도당고개,당고개오이도
11:20,11:28,13:18,13:21
사당진접,당고개오이도,사당당고개,당고개사당
11:26,11:33,13:23,13:25
오이도당고개,진접사당,오이도당고개,당고개오이도
11:32,11:39,13:28,13:29
사당진접,당고개오이도,사당진접,진접사당
11:35,11:45,13:33,13:33
오이도당고개,진접사당,오이도당고개,당고개오이도
11:38,11:50,13:38,13:37
오이도당고개,당고개오이도,오이도당고개,당고개사당
11:43,11:57,13:43,13:42
사당진접,당고개오이도,사당진접,당고개오이도
11:48,,13:48,13:47
오이도당고개,,오이도당고개,진접사당
11:54,,13:52,13:52
사당진접,,사당당고개,당고개오이도
12:02,12:03,13:56,13:57
오이도당고개,진접사당,안산당고개,당고개오이도
