동작방면,사당방면,동작방면,사당방면
평일,평일,주말,주말
05:34첫,-,05:34첫,-
남태령진접,-,남태령진접,-
5:45,-,5:47,-
산본당고개,-,사당진접,-
5:54,-,5:58,-
사당당고개,-,산본당고개,-
6:02,06:04첫,6:07,06:05첫
안산당고개,한성대입구오이도,사당진접,한성대입구오이도
6:10,6:16,6:15,6:16
사당당고개,노원오이도,안산당고개,노원사당
6:17,6:21,6:22,6:21
오이도당고개,당고개사당,안산당고개,당고개오이도
6:25,6:27,6:28,6:27
오이도당고개,당고개오이도,사당진접,당고개사당
6:32,6:31,6:34,6:33
사당진접,진접사당,오이도당고개,당고개오이도
6:36,6:36,6:40,6:39
오이도당고개,당고개오이도,사당진접,진접사당
6:40,6:42,6:46,6:45
사당진접,당고개사당,오이도당고개,당고개오이도
6:43,6:47,6:52,6:51
오이도당고개,당고개오이도,사당당고개,진접사당
6:48,6:52,6:58,6:57
오이도당고개,진접사당,오이도당고개,당고개안산
6:52,6:56,7:04,7:03
사당진접,당고개오이도,사당진접,진접사당
6:57,-,7:10,7:09
오이도당고개,-,오이도당고개,당고개오이도
7:01,7:00,7:16,7:15
사당진접,창동사당,사당진접,당고개사당
7:06,7:04,7:22,7:21
오이도당고개,당고개오이도,오이도당고개,당고개오이도
7:10,7:08,7:28,7:27
사당진접,진접사당,사당당고개,진접사당
7:14,7:12,7:34,7:33
오이도당고개,당고개오이도,오이도당고개,당고개오이도
7:18,7:15,7:40,7:39
사당진접,창동사당,사당진접,당고개사당
7:21,7:20,7:46,7:45
오이도당고개,당고개안산,오이도당고개,당고개오이도
7:27,7:24,7:52,7:51
안산당고개,진접사당,사당당고개,당고개오이도
7:31,7:28,7:58,7:57
사당진접,당고개오이도,오이도당고개,진접사당
7:33,7:32,8:03,8:03
오이도당고개,창동사당,안산당고개,당고개오이도
7:37,7:35,8:10,8:09
사당당고개,당고개오이도,오이도당고개,당고개안산
07:40급첫,7:38,8:16,8:15
오이도당고개,진접사당,사당진접,진접사당
7:43,7:41,8:22,8:20
사당진접,당고개안산,오이도당고개,당고개오이도
7:46,7:45,8:28,8:27
안산당고개,당고개사당,오이도당고개,당고개오이도
7:49,7:48,8:34,8:33
사당당고개,당고개오이도,사당당고개,진접사당
7:52,7:53,8:40,8:39
오이도당고개,당고개오이도,오이도당고개,당고개오이도
7:55,7:56,8:46,8:45
사당진접,진접사당,사당당고개,당고개사당
07:58급,7:59,8:52,8:51
오이도당고개,당고개오이도,오이도당고개,당고개오이도
8:03,8:03,8:58,8:57
오이도당고개,당고개사당,사당당고개,진접사당
8:06,8:06,9:04,9:03
사당진접,당고개오이도,오이도당고개,당고개오이도
8:08,8:09,9:09,9:09
안산당고개,창동사당,사당진접,진접사당
8:12,8:12,9:14,9:15
사당당고개,당고개안산,안산당고개,당고개오이도
8:15,8:16,9:19,9:21
오이도당고개,진접사당,오이도당고개,당고개사당
8:19,8:19,9:24,9:27
사당진접,당고개오이도,사당당고개,당고개오이도
8:22,8:23,9:29,9:33
오이도당고개,당고개오이도,오이도당고개,진접사당
8:25,8:26,9:35,9:39
사당진접,진접사당,사당당고개,당고개오이도
8:28,8:29,9:40,9:45
오이도당고개,당고개안산,오이도당고개,진접사당
8:32,8:33,9:46,9:51
오이도당고개,진접사당,사당진접,당고개오이도
8:38,8:36,9:52,9:57
오이도당고개,당고개오이도,오이도당고개,당고개사당
8:41,8:39,9:58,-
사당진접,창동사당,사당진접,-
8:44,8:41,10:04,10:03
오이도당고개,당고개오이도,오이도당고개,당고개오이도
8:47,8:44,10:10,10:09
사당당고개,진접사당,사당당고개,진접사당
08:50급,8:47,10:16,10:15
오이도당고개,창동오이도,오이도당고개,당고개안산
8:52,8:49,10:22,10:21
사당당고개,당고개안산,사당진접,당고개오이도
8:55,8:54,10:28,10:27
오이도당고개,진접사당,오이도당고개,진접사당
8:58,8:59,10:33,10:33
사당진접,당고개오이도,오이도당고개,당고개오이도
09:01급막,9:03,10:39,10:39
오이도당고개,진접사당,사당진접,진접사당
9:05,9:06,10:45,10:45
사당당고개,당고개오이도,오이도당고개,당고개오이도
9:07,9:11,10:51,10:51
오이도당고개,진접사당,사당당고개,진접사당
9:15,9:13,10:57,10:57
오이도당고개,당고개오이도,오이도당고개,당고개오이도
9:19,9:19,11:03,11:03
사당진접,당고개오이도,사당당고개,당고개사당
9:23,9:23,11:09,11:09
안산당고개,진접사당,오이도당고개,당고개오이도
9:30,9:26,11:14,11:15
오이도당고개,당고개안산,사당진접,진접사당
9:33,9:31,11:18,11:21
사당진접,당고개오이도,오이도당고개,당고개오이도
9:38,9:35,11:25,11:27
안산당고개,진접사당,오이도당고개,당고개사당
9:42,9:38,11:29,11:33
사당당고개,당고개오이도,사당진접,당고개오이도
9:46,9:41,11:34,11:39
오이도당고개,진접사당,오이도당고개,진접사당
9:50,9:44,11:39,11:45
사당진접,당고개안산,사당당고개,당고개오이도
9:56,9:50,11:44,11:51
오이도당고개,당고개오이도,오이도당고개,진접사당
-,9:55,11:49,11:57
-,진접사당,오이도당고개,당고개오이도
10:01,10:00,11:54,-
사당당고개,당고개오이도,사당당고개,-
10:06,10:05,11:59,-
오이도당고개,진접사당,오이도당고개,-
10:11,10:10,12:04,12:03
사당진접,당고개오이도,사당진접,당고개사당
10:16,10:15,12:09,12:09
오이도당고개,진접사당,오이도당고개,당고개오이도
