동대문역사문화공원방면,명동방면,동대문역사문화공원방면,명동방면
평일,평일,주말,주말
05:38첫,05:44첫,05:39첫,05:45첫
서울역진접,한성대입구오이도,서울역당고개,한성대입구오이도
5:54,5:57,05:54첫,5:57
남태령진접,노원오이도,남태령진접,노원사당
6:05,6:02,6:06,6:02
산본당고개,당고개사당,사당진접,당고개오이도
6:13,6:08,6:18,6:08
사당당고개,당고개오이도,산본당고개,당고개사당
6:22,6:11,6:26,6:14
안산당고개,진접사당,사당진접,당고개오이도
6:29,6:17,6:34,6:20
사당당고개,당고개오이도,안산당고개,진접사당
6:36,6:22,6:41,6:26
오이도당고개,당고개사당,안산당고개,당고개오이도
6:44,6:28,6:47,6:32
오이도당고개,당고개오이도,사당진접,진접사당
6:51,6:32,6:53,6:38
사당진접,진접사당,오이도당고개,당고개안산
6:55,6:37,6:59,6:44
오이도당고개,당고개오이도,사당진접,진접사당
-,6:41,-,6:50
-,창동사당,-,당고개오이도
-,6:45,-,6:56
-,당고개오이도,-,당고개사당
-,6:49,7:05,7:02
-,진접사당,오이도당고개,당고개오이도
-,6:53,7:11,7:08
-,당고개오이도,사당당고개,진접사당
-,6:56,7:17,7:14
-,창동사당,오이도당고개,당고개오이도
7:00,7:01,7:23,7:20
사당진접,당고개안산,사당진접,당고개사당
7:02,7:05,7:29,7:26
오이도당고개,진접사당,오이도당고개,당고개오이도
7:07,7:09,7:35,7:32
오이도당고개,당고개오이도,사당진접,당고개오이도
7:12,7:12,7:41,7:38
사당진접,창동사당,오이도당고개,진접사당
7:16,7:16,7:47,7:44
오이도당고개,당고개오이도,사당당고개,당고개오이도
7:21,7:19,7:53,7:50
사당진접,진접사당,오이도당고개,당고개안산
7:25,7:22,7:59,7:56
오이도당고개,당고개안산,사당진접,진접사당
7:29,7:26,8:05,8:01
사당진접,당고개사당,오이도당고개,당고개오이도
7:33,7:29,8:11,8:08
오이도당고개,당고개오이도,사당당고개,당고개오이도
7:37,7:34,8:17,8:14
사당진접,당고개오이도,오이도당고개,진접사당
7:41,7:37,8:23,8:20
오이도당고개,진접사당,안산당고개,당고개오이도
7:47,7:40,8:29,8:26
안산당고개,당고개오이도,오이도당고개,당고개사당
7:50,7:44,8:35,8:32
사당진접,당고개사당,사당진접,당고개오이도
7:53,7:47,8:41,8:38
오이도당고개,당고개오이도,오이도당고개,진접사당
7:56,7:50,8:47,8:44
사당당고개,창동사당,오이도당고개,당고개오이도
07:59급첫,7:53,8:53,8:50
오이도당고개,당고개안산,사당당고개,진접사당
-,7:57,8:59,8:56
-,진접사당,오이도당고개,당고개오이도
8:03,8:00,9:05,9:02
사당진접,당고개오이도,사당당고개,당고개사당
8:06,8:04,9:11,9:08
안산당고개,당고개오이도,오이도당고개,당고개오이도
8:08,8:07,9:17,9:14
사당당고개,진접사당,사당당고개,진접사당
8:11,8:10,9:23,9:20
오이도당고개,당고개안산,오이도당고개,당고개오이도
8:14,8:13,9:28,9:26
사당진접,진접사당,사당진접,진접사당
08:17급,8:17,9:33,9:32
오이도당고개,당고개오이도,안산당고개,당고개오이도
8:22,8:19,9:38,9:38
오이도당고개,창동사당,오이도당고개,당고개사당
8:25,8:22,9:43,9:44
사당진접,당고개오이도,사당당고개,당고개오이도
8:28,8:25,9:48,9:50
안산당고개,진접사당,오이도당고개,진접사당
8:31,8:27,9:54,9:56
사당당고개,창동오이도,사당당고개,당고개안산
8:34,8:30,9:59,-
오이도당고개,당고개안산,오이도당고개,-
8:38,8:35,10:05,10:02
사당진접,진접사당,사당진접,당고개오이도
8:42,8:40,10:11,10:08
오이도당고개,당고개오이도,오이도당고개,진접사당
8:44,8:44,10:17,10:14
사당진접,진접사당,사당진접,당고개오이도
8:47,8:47,10:23,10:20
오이도당고개,당고개오이도,오이도당고개,진접사당
8:51,8:51,10:29,10:26
오이도당고개,진접사당,사당당고개,당고개오이도
8:57,8:54,10:35,10:32
오이도당고개,당고개오이도,오이도당고개,진접사당
9:00,9:00,10:41,10:38
사당진접,당고개오이도,사당진접,당고개오이도
9:03,9:04,10:47,10:44
오이도당고개,진접사당,오이도당고개,당고개사당
9:06,9:07,10:52,10:50
사당당고개,당고개안산,오이도당고개,당고개오이도
09:09급,9:11,10:58,10:56
오이도당고개,당고개오이도,사당진접,진접사당
9:12,9:16,11:04,11:02
사당당고개,진접사당,오이도당고개,당고개오이도
9:15,9:19,11:10,11:08
오이도당고개,당고개오이도,사당당고개,당고개사당
9:17,9:22,11:16,11:14
사당진접,진접사당,오이도당고개,당고개오이도
09:21급막,9:25,11:22,11:20
오이도당고개,당고개안산,사당당고개,진접사당
9:24,9:30,11:28,11:26
사당당고개,당고개오이도,오이도당고개,당고개오이도
9:27,9:35,11:33,11:32
오이도당고개,진접사당,사당진접,진접사당
9:34,9:41,11:37,11:38
오이도당고개,당고개오이도,오이도당고개,당고개오이도
9:38,9:46,11:44,11:44
사당진접,진접사당,오이도당고개,당고개사당
9:42,9:51,11:48,11:50
안산당고개,당고개오이도,사당진접,당고개오이도
9:49,9:56,11:53,11:56
오이도당고개,진접사당,오이도당고개,진접사당
9:53,-,11:58,-
사당진접,-,사당당고개,-
9:58,-,12:03,12:02
안산당고개,-,오이도당고개,당고개오이도
10:01,10:01,12:08,12:07
사당당고개,당고개오이도,오이도당고개,당고개오이도
10:05,10:05,12:13,12:11
오이도당고개,당고개안산,사당당고개,진접사당
10:09,10:10,12:18,12:15
사당진접,진접사당,오이도당고개,당고개안산
10:15,10:14,12:23,12:19
오이도당고개,당고개오이도,사당진접,당고개사당
10:20,10:18,12:28,12:23
사당당고개,당고개사당,오이도당고개,당고개오이도
10:25,10:21,12:33,12:27
오이도당고개,진접사당,오이도당고개,진접사당
10:30,10:24,12:38,12:32
사당진접,당고개오이도,사당진접,당고개오이도
10:35,10:29,12:43,12:37
오이도당고개,진접사당,오이도당고개,당고개사당
10:40,10:34,12:48,12:42
사당진접,당고개오이도,사당당고개,당고개오이도
10:45,10:39,12:52,12:47
오이도당고개,당고개사당,안산당고개,진접사당
10:50,10:45,12:58,12:52
사당당고개,당고개오이도,오이도당고개,당고개오이도
10:55,10:52,-,12:57
오이도당고개,진접사당,-,당고개안산
-,10:56,13:02,13:02
-,당고개오이도,사당진접,진접사당
11:01,11:02,13:06,13:07
사당당고개,진접사당,안산당고개,당고개오이도
11:05,11:07,13:10,13:11
오이도당고개,당고개오이도,사당당고개,당고개사당
11:10,11:12,13:14,13:15
사당당고개,당고개사당,오이도당고개,당고개오이도
11:14,11:18,13:18,13:19
오이도당고개,당고개오이도,사당진접,진접사당
11:18,11:23,13:23,13:23
사당진접,진접사당,오이도당고개,당고개오이도
11:21,11:29,13:28,13:27
사당당고개,당고개오이도,사당당고개,당고개사당
11:25,11:34,13:33,13:32
오이도당고개,진접사당,오이도당고개,당고개오이도
11:31,11:40,13:38,13:37
사당진접,당고개오이도,사당진접,진접사당
11:37,11:47,13:43,13:42
오이도당고개,당고개오이도,오이도당고개,당고개오이도
11:42,11:53,13:48,13:47
사당진접,진접사당,오이도당고개,당고개오이도
11:45,11:59,13:53,13:52
오이도당고개,당고개오이도,사당진접,진접사당
11:48,-,13:58,13:57
오이도당고개,-,오이도당고개,당고개오이도
11:53,-,14:02,14:02
사당진접,-,사당당고개,당고개사당
11:58,-,14:06,14:07
오이도당고개,-,안산당고개,당고개안산
12:05,12:05,14:10,14:12
사당진접,당고개사당,사당진접,당고개오이도
12:12,12:11,14:14,14:16
오이도당고개,당고개오이도,오이도당고개,진접사당
12:17,12:17,14:18,14:20
사당진접,진접사당,사당당고개,당고개안산
12:22,12:23,14:23,14:24
오이도당고개,당고개안산,오이도당고개,당고개사당
12:26,12:26,14:28,14:28
사당진접,진접사당,사당진접,당고개오이도
12:32,12:30,14:33,14:32
오이도당고개,당고개오이도,오이도당고개,진접사당
12:40,12:35,14:38,14:37
안산당고개,당고개사당,오이도당고개,당고개오이도
12:44,12:41,14:43,14:42
사당진접,당고개오이도,사당진접,당고개사당
12:50,12:47,14:48,14:47
오이도당고개,진접사당,오이도당고개,당고개오이도
12:55,12:52,14:53,14:52
사당진접,당고개오이도,사당당고개,진접사당
13:00,13:03,14:58,14:57
오이도당고개,당고개오이도,오이도당고개,당고개안산
13:08,13:08,15:03,15:02
오이도당고개,진접사당,오이도당고개,당고개오이도
13:13,13:13,15:07,15:07
사당진접,당고개오이도,사당진접,진접사당
13:18,13:18,15:11,15:12
오이도당고개,진접사당,안산당고개,당고개오이도
13:24,13:25,15:15,15:16
사당진접,당고개오이도,사당당고개,당고개사당
13:29,13:30,15:19,15:20
오이도당고개,진접사당,오이도당고개,당고개오이도
13:36,13:36,15:23,15:24
사당당고개,당고개오이도,사당진접,진접사당
13:43,13:41,15:28,15:28
오이도당고개,진접사당,오이도당고개,당고개안산
13:48,13:46,15:33,15:32
사당진접,당고개오이도,사당당고개,당고개사당
13:54,13:54,15:38,15:37
오이도당고개,당고개오이도,오이도당고개,당고개오이도
13:59,13:59,15:43,15:42
사당당고개,진접사당,사당진접,진접사당
14:03,14:05,15:48,15:47
오이도당고개,당고개오이도,오이도당고개,당고개오이도
14:08,14:10,15:53,15:52
사당진접,진접사당,안산당고개,당고개안산
14:13,14:15,15:58,15:57
오이도당고개,당고개오이도,사당진접,진접사당
14:19,14:19,16:03,16:02
사당진접,진접사당,오이도당고개,당고개오이도
14:25,14:23,16:07,16:07
오이도당고개,당고개오이도,사당당고개,당고개사당
14:32,14:27,16:11,16:12
사당진접,진접사당,오이도당고개,당고개안산
14:37,14:33,16:15,16:17
오이도당고개,당고개오이도,사당진접,당고개오이도
14:43,14:39,16:19,16:21
오이도당고개,진접사당,오이도당고개,진접사당
14:49,14:44,16:23,16:25
