한성대입구방면,동대문방면,한성대입구방면,동대문방면
평일,평일,주말,주말
05:44첫,05:37첫,05:45첫,05:39첫
서울역진접,한성대입구오이도,서울역당고개,한성대입구오이도
-,5:50,-,5:50
-,노원오이도,-,노원사당
-,5:55,-,5:55
-,당고개사당,-,당고개오이도
6:00,6:01,06:00첫,6:01
남태령진접,당고개오이도,남태령진접,당고개사당
6:11,6:05,6:13,6:07
산본당고개,진접사당,사당진접,당고개오이도
6:20,6:10,6:24,6:13
사당당고개,당고개오이도,산본당고개,진접사당
6:28,6:16,6:33,6:19
안산당고개,당고개사당,사당진접,당고개오이도
6:36,6:21,6:41,6:25
사당당고개,당고개오이도,안산당고개,진접사당
6:43,6:26,6:48,6:31
오이도당고개,진접사당,안산당고개,당고개안산
6:51,6:30,6:54,6:37
오이도당고개,당고개오이도,사당진접,진접사당
6:58,6:34,-,6:43
사당진접,창동사당,-,당고개오이도
-,6:38,-,6:49
-,당고개오이도,-,당고개사당
-,6:42,-,6:55
-,진접사당,-,당고개오이도
-,6:46,7:00,7:01
-,당고개오이도,오이도당고개,진접사당
-,6:49,7:06,7:07
-,창동사당,사당진접,당고개오이도
-,6:54,7:12,7:13
-,당고개안산,오이도당고개,당고개사당
-,6:58,7:18,7:19
-,진접사당,사당당고개,당고개오이도
7:02,7:02,7:24,7:25
오이도당고개,당고개오이도,오이도당고개,당고개오이도
7:06,7:06,7:30,7:31
사당진접,창동사당,사당진접,진접사당
7:09,7:09,7:36,7:37
오이도당고개,당고개오이도,오이도당고개,당고개오이도
7:14,7:12,7:42,7:43
오이도당고개,진접사당,사당진접,당고개안산
7:18,7:15,7:48,7:49
사당진접,당고개안산,오이도당고개,진접사당
7:23,7:19,7:54,7:54
오이도당고개,당고개사당,사당당고개,당고개오이도
7:27,7:22,8:00,8:01
사당진접,당고개오이도,오이도당고개,당고개오이도
7:32,7:27,8:06,8:07
오이도당고개,당고개오이도,사당진접,진접사당
7:36,7:30,8:12,8:13
사당진접,진접사당,오이도당고개,당고개오이도
7:40,7:33,8:18,8:19
오이도당고개,당고개오이도,사당당고개,당고개사당
7:44,7:37,8:24,8:25
사당진접,당고개사당,오이도당고개,당고개오이도
7:47,7:40,8:29,8:31
오이도당고개,당고개오이도,안산당고개,진접사당
7:53,7:43,8:36,8:37
안산당고개,창동사당,오이도당고개,당고개오이도
7:57,7:46,8:42,8:43
사당진접,당고개안산,사당진접,진접사당
7:59,7:50,8:48,8:49
오이도당고개,진접사당,오이도당고개,당고개오이도
-,7:53,8:54,8:55
-,당고개오이도,오이도당고개,당고개사당
-,7:57,9:00,9:01
-,당고개오이도,사당당고개,당고개오이도
8:03,8:00,9:06,9:07
사당당고개,진접사당,오이도당고개,진접사당
08:06급첫,8:03,9:12,9:13
오이도당고개,당고개안산,사당당고개,당고개오이도
8:09,8:07,9:18,9:19
사당진접,진접사당,오이도당고개,진접사당
8:12,8:10,9:24,9:25
안산당고개,당고개오이도,사당당고개,당고개오이도
8:15,8:13,9:30,9:31
사당당고개,창동사당,오이도당고개,당고개사당
8:18,8:15,9:35,9:37
오이도당고개,당고개오이도,사당진접,당고개오이도
8:21,8:18,9:40,9:43
사당진접,진접사당,안산당고개,진접사당
08:24급,8:21,9:45,9:49
오이도당고개,창동오이도,오이도당고개,당고개안산
8:29,8:23,9:50,9:55
오이도당고개,당고개안산,사당당고개,당고개오이도
8:32,8:28,9:55,-
사당진접,진접사당,오이도당고개,-
8:34,8:33,10:01,10:01
안산당고개,당고개오이도,사당당고개,진접사당
8:38,8:37,10:06,10:07
사당당고개,진접사당,오이도당고개,당고개오이도
8:41,8:40,10:12,10:13
오이도당고개,당고개오이도,사당진접,진접사당
8:45,8:45,10:18,10:19
사당진접,진접사당,오이도당고개,당고개오이도
8:48,8:47,10:24,10:25
오이도당고개,당고개오이도,사당진접,진접사당
8:51,8:53,10:30,10:31
사당진접,당고개오이도,오이도당고개,당고개오이도
8:54,8:57,10:36,10:37
오이도당고개,진접사당,사당당고개,당고개사당
8:58,-,10:42,10:43
오이도당고개,-,오이도당고개,당고개오이도
9:04,9:00,10:48,10:49
오이도당고개,당고개안산,사당진접,진접사당
9:07,9:05,10:54,10:55
사당진접,당고개오이도,오이도당고개,당고개오이도
9:10,9:09,10:59,-
오이도당고개,진접사당,오이도당고개,-
9:13,9:12,11:05,11:01
사당당고개,당고개오이도,사당진접,당고개사당
09:16급,9:15,11:11,11:07
오이도당고개,진접사당,오이도당고개,당고개오이도
9:18,9:18,11:17,11:13
사당당고개,당고개안산,사당당고개,진접사당
9:21,9:24,11:23,11:19
오이도당고개,당고개오이도,오이도당고개,당고개오이도
9:24,9:29,11:29,11:25
사당진접,진접사당,사당당고개,진접사당
09:27급막,9:34,11:35,11:31
