명동방면,서울역방면,명동방면,서울역방면
평일,평일,주말,주말
05:35첫,05:47첫,05:36첫,05:48첫
서울역진접,한성대입구오이도,서울역당고개,한성대입구오이도
5:51,,05:51첫,
남태령진접,,남태령진접,
6:02,6:00,6:03,6:00
산본당고개,노원오이도,사당진접,노원사당
6:10,6:05,6:15,6:05
사당당고개,당고개사당,산본당고개,당고개오이도
6:19,6:11,6:23,6:11
안산당고개,당고개오이도,사당진접,당고개사당
6:26,6:14,6:31,6:17
사당당고개,진접사당,안산당고개,당고개오이도
6:33,6:20,6:38,6:23
오이도당고개,당고개오이도,안산당고개,진접사당
6:41,6:25,6:44,6:29
오이도당고개,당고개사당,사당진접,당고개오이도
6:48,6:31,6:50,6:35
사당진접,당고개오이도,오이도당고개,진접사당
6:52,6:35,6:56,6:41
오이도당고개,진접사당,사당진접,당고개안산
6:57,6:40,,6:47
사당진접,당고개오이도,,진접사당
6:59,6:44,,6:53
오이도당고개,창동사당,,당고개오이도
,6:48,,6:59
,당고개오이도,,당고개사당
,6:52,7:02,7:05
,진접사당,오이도당고개,당고개오이도
,6:56,7:08,7:11
,당고개오이도,사당당고개,진접사당
,6:59,7:14,7:17
,창동사당,오이도당고개,당고개오이도
7:04,7:04,7:20,7:23
오이도당고개,당고개안산,사당진접,당고개사당
7:09,7:08,7:26,7:29
사당진접,진접사당,오이도당고개,당고개오이도
7:13,7:12,7:32,7:35
오이도당고개,당고개오이도,사당진접,당고개오이도
7:18,7:15,7:38,7:41
사당진접,창동사당,오이도당고개,진접사당
7:22,7:19,7:44,7:47
오이도당고개,당고개오이도,사당당고개,당고개오이도
7:26,7:22,7:50,7:53
사당진접,진접사당,오이도당고개,당고개안산
7:30,7:25,7:56,7:59
오이도당고개,당고개안산,사당진접,진접사당
7:34,7:29,8:02,8:04
사당진접,당고개사당,오이도당고개,당고개오이도
7:38,7:32,8:08,8:11
오이도당고개,당고개오이도,사당당고개,당고개오이도
7:44,7:37,8:14,8:17
안산당고개,당고개오이도,오이도당고개,진접사당
7:47,7:40,8:20,8:23
사당진접,진접사당,안산당고개,당고개오이도
7:50,7:43,8:26,8:29
오이도당고개,당고개오이도,오이도당고개,당고개사당
7:53,7:47,8:32,8:35
사당당고개,당고개사당,사당진접,당고개오이도
07:56급첫,7:50,8:38,8:41
오이도당고개,당고개오이도,오이도당고개,진접사당
,7:53,8:44,8:47
,창동사당,오이도당고개,당고개오이도
,7:56,8:50,8:53
,당고개안산,사당당고개,진접사당
8:00,8:00,8:56,8:59
사당진접,진접사당,오이도당고개,당고개오이도
8:03,8:03,9:02,9:05
안산당고개,당고개오이도,사당당고개,당고개사당
8:05,8:07,9:08,9:11
사당당고개,당고개오이도,오이도당고개,당고개오이도
8:08,8:10,9:14,9:17
오이도당고개,진접사당,사당당고개,진접사당
8:11,8:13,9:20,9:23
사당진접,당고개안산,오이도당고개,당고개오이도
08:14급,8:16,9:25,9:29
오이도당고개,진접사당,사당진접,진접사당
8:19,8:20,9:30,9:35
오이도당고개,당고개오이도,안산당고개,당고개오이도
8:22,8:22,9:35,9:41
사당진접,창동사당,오이도당고개,당고개사당
8:25,8:25,9:40,9:47
안산당고개,당고개오이도,사당당고개,당고개오이도
8:28,8:28,9:45,9:53
사당당고개,진접사당,오이도당고개,진접사당
8:31,8:30,9:51,9:59
오이도당고개,창동오이도,사당당고개,당고개안산
8:35,8:33,9:56,
사당진접,당고개안산,오이도당고개,
8:39,8:38,10:02,10:05
오이도당고개,진접사당,사당진접,당고개오이도
8:41,8:43,10:08,10:11
사당진접,당고개오이도,오이도당고개,진접사당
8:44,8:47,10:14,10:17
오이도당고개,진접사당,사당진접,당고개오이도
8:48,8:50,10:20,10:23
오이도당고개,당고개오이도,오이도당고개,진접사당
8:54,8:54,10:26,10:29
오이도당고개,진접사당,사당당고개,당고개오이도
8:57,8:57,10:32,10:35
사당진접,당고개오이도,오이도당고개,진접사당
9:00,9:03,10:38,10:41
오이도당고개,당고개오이도,사당진접,당고개오이도
9:03,9:07,10:44,10:47
사당당고개,진접사당,오이도당고개,당고개사당
09:06급,9:10,10:49,10:53
오이도당고개,당고개안산,오이도당고개,당고개오이도
9:09,9:14,10:55,10:59
사당당고개,당고개오이도,사당진접,진접사당
9:12,9:19,11:01,11:05
오이도당고개,진접사당,오이도당고개,당고개오이도
9:14,9:22,11:07,11:11
사당진접,당고개오이도,사당당고개,당고개사당
09:18급막,9:25,11:13,11:17
오이도당고개,진접사당,오이도당고개,당고개오이도
9:21,9:28,11:19,11:23
사당당고개,당고개안산,사당당고개,진접사당
9:24,9:33,11:25,11:29
오이도당고개,당고개오이도,오이도당고개,당고개오이도
9:31,9:38,11:30,11:35
오이도당고개,진접사당,사당진접,진접사당
9:35,9:44,11:34,11:41
사당진접,당고개오이도,오이도당고개,당고개오이도
9:39,9:49,11:41,11:47
안산당고개,진접사당,오이도당고개,당고개사당
9:46,9:54,11:45,11:53
오이도당고개,당고개오이도,사당진접,당고개오이도
9:50,9:59,11:50,11:59
사당진접,진접사당,오이도당고개,진접사당
9:55,,11:55,
안산당고개,,사당당고개,
9:58,,12:00,12:05
사당당고개,,오이도당고개,당고개오이도
10:02,10:04,12:05,12:10
오이도당고개,당고개오이도,오이도당고개,당고개오이도
10:06,10:08,12:10,12:14
사당진접,당고개안산,사당당고개,진접사당
10:12,10:13,12:15,12:18
오이도당고개,진접사당,오이도당고개,당고개안산
10:17,10:17,12:20,12:22
사당당고개,당고개오이도,사당진접,당고개사당
10:22,10:21,12:25,12:26
오이도당고개,당고개사당,오이도당고개,당고개오이도
10:27,10:24,12:30,12:30
사당진접,진접사당,오이도당고개,진접사당
10:32,10:27,12:35,12:35
오이도당고개,당고개오이도,사당진접,당고개오이도
10:37,10:32,12:40,12:40
사당진접,진접사당,오이도당고개,당고개사당
10:42,10:37,12:45,12:45
오이도당고개,당고개오이도,사당당고개,당고개오이도
10:47,10:42,12:49,12:50
사당당고개,당고개사당,안산당고개,진접사당
10:52,10:48,12:55,12:55
오이도당고개,당고개오이도,오이도당고개,당고개오이도
10:58,10:55,12:59,
사당당고개,진접사당,사당진접,
,10:59,13:03,13:00
,당고개오이도,안산당고개,당고개안산
11:02,11:05,13:07,13:05
오이도당고개,진접사당,사당당고개,진접사당
11:07,11:10,13:11,13:10
사당당고개,당고개오이도,오이도당고개,당고개오이도
11:11,11:15,13:15,13:14
오이도당고개,당고개사당,사당진접,당고개사당
11:15,11:21,13:20,13:18
사당진접,당고개오이도,오이도당고개,당고개오이도
11:18,11:26,13:25,13:22
사당당고개,진접사당,사당당고개,진접사당
11:22,11:32,13:30,13:26
