충정로방면,광화문방면,충정로방면,광화문방면
평일,평일,주말,주말
05:45첫,05:43첫,05:45첫,05:43첫
왕십리방화,애오개마천,왕십리방화,애오개마천
5:55,05:57첫,5:55,05:57첫
군자방화,화곡하남검단산,군자방화,화곡하남검단산
6:03,6:04,6:03,6:04
강동방화,화곡마천,강동방화,화곡마천
6:11,6:12,6:11,6:12
상일동방화,방화하남검단산,상일동방화,방화하남검단산
6:16,6:19,6:19,6:19
마천방화,방화마천,마천방화,방화마천
6:24,6:26,6:27,6:27
하남검단산방화,방화하남검단산,하남검단산방화,방화하남검단산
6:30,6:33,6:34,6:34
마천방화,방화마천,마천방화,방화마천
6:35,6:40,6:41,6:41
상일동방화,방화하남검단산,상일동방화,방화하남검단산
6:41,6:46,6:48,6:48
마천방화,방화마천,마천방화,방화마천
6:47,6:53,6:55,6:55
하남검단산방화,방화하남검단산,하남검단산방화,방화하남검단산
6:53,6:59,7:02,7:02
마천방화,방화마천,마천방화,방화마천
6:59,-,7:09,7:09
상일동방화,-,상일동방화,방화하남검단산
7:04,7:05,7:16,7:16
마천방화,방화하남검단산,마천방화,방화마천
7:10,7:10,7:23,7:23
하남검단산방화,방화마천,하남검단산방화,방화하남검단산
7:15,7:17,7:30,7:30
마천방화,방화하남검단산,마천방화,방화마천
7:20,7:22,7:37,7:37
상일동방화,방화마천,하남검단산방화,방화하남검단산
7:25,7:28,7:44,7:44
마천방화,방화하남검단산,마천방화,방화마천
7:30,7:33,7:50,7:50
하남검단산방화,방화마천,하남검단산방화,방화하남검단산
7:35,7:38,7:57,7:57
마천방화,방화하남검단산,마천방화,방화마천
7:40,7:42,8:03,8:03
하남검단산방화,방화마천,하남검단산방화,방화하남검단산
7:44,7:47,8:10,8:10
마천방화,방화하남검단산,마천방화,방화마천
7:49,7:52,8:16,8:16
하남검단산방화,방화마천,하남검단산방화,방화하남검단산
7:53,7:56,8:23,8:23
마천방화,방화하남검단산,마천방화,방화마천
7:58,-,8:29,8:29
상일동방화,-,하남검단산방화,방화하남검단산
8:02,8:01,8:36,8:36
마천방화,방화마천,마천방화,방화마천
8:06,8:06,8:42,8:42
하남검단산방화,방화상일동,하남검단산방화,방화하남검단산
8:10,8:10,8:49,8:49
마천방화,방화마천,마천방화,방화마천
8:14,8:14,8:55,8:55
하남검단산방화,방화하남검단산,하남검단산방화,방화하남검단산
8:18,8:18,9:02,9:02
마천방화,방화마천,마천방화,방화마천
8:21,8:22,9:08,9:08
하남검단산방화,방화하남검단산,하남검단산방화,방화하남검단산
8:24,8:26,9:15,9:15
마천방화,방화마천,마천방화,방화마천
8:28,8:30,9:21,9:21
상일동방화,방화상일동,하남검단산방화,방화하남검단산
8:31,8:33,9:28,9:28
