종로3가방면,동대문역사문화공원방면,종로3가방면,동대문역사문화공원방면
평일,평일,주말,주말
05:39첫,05:49첫,05:39첫,05:49첫
왕십리방화,애오개마천,왕십리방화,애오개마천
5:49,-,5:49,-
군자방화,-,군자방화,-
5:57,-,5:57,-
강동방화,-,강동방화,-
6:05,06:03첫,6:05,06:03첫
상일동방화,화곡하남검단산,상일동방화,화곡하남검단산
6:10,6:10,6:12,6:10
마천방화,화곡마천,마천방화,화곡마천
6:18,6:18,6:20,6:18
하남검단산방화,방화하남검단산,하남검단산방화,방화하남검단산
6:23,6:25,6:27,6:26
마천방화,방화마천,마천방화,방화마천
6:29,6:32,6:34,6:33
상일동방화,방화하남검단산,상일동방화,방화하남검단산
6:35,6:39,6:41,6:40
마천방화,방화마천,마천방화,방화마천
6:41,6:46,6:48,6:47
하남검단산방화,방화하남검단산,하남검단산방화,방화하남검단산
6:47,6:53,6:55,6:54
마천방화,방화마천,마천방화,방화마천
6:52,6:59,7:02,7:01
상일동방화,방화하남검단산,상일동방화,방화하남검단산
6:58,-,7:09,7:08
마천방화,-,마천방화,방화마천
7:03,7:05,7:16,7:15
하남검단산방화,방화마천,하남검단산방화,방화하남검단산
7:09,7:12,7:23,7:22
마천방화,방화하남검단산,마천방화,방화마천
7:14,7:17,7:30,7:29
상일동방화,방화마천,하남검단산방화,방화하남검단산
7:19,7:23,7:37,7:36
마천방화,방화하남검단산,마천방화,방화마천
7:24,7:28,7:44,7:43
하남검단산방화,방화마천,하남검단산방화,방화하남검단산
7:29,7:34,7:50,7:50
마천방화,방화하남검단산,마천방화,방화마천
7:33,7:39,7:57,7:57
하남검단산방화,방화마천,하남검단산방화,방화하남검단산
7:38,7:44,8:03,8:03
마천방화,방화하남검단산,마천방화,방화마천
7:42,7:49,8:10,8:10
하남검단산방화,방화마천,하남검단산방화,방화하남검단산
7:47,7:54,8:16,8:16
마천방화,방화하남검단산,마천방화,방화마천
7:51,7:58,8:23,8:23
상일동방화,방화마천,하남검단산방화,방화하남검단산
7:55,-,8:29,8:29
마천방화,-,마천방화,방화마천
7:59,-,8:36,8:36
하남검단산방화,-,하남검단산방화,방화하남검단산
8:03,8:03,8:42,8:42
마천방화,방화하남검단산,마천방화,방화마천
8:07,8:07,8:49,8:49
하남검단산방화,방화마천,하남검단산방화,방화하남검단산
8:11,8:12,8:55,8:55
마천방화,방화상일동,마천방화,방화마천
8:15,8:16,9:02,9:02
하남검단산방화,방화마천,하남검단산방화,방화하남검단산
8:18,8:20,9:08,9:08
마천방화,방화하남검단산,마천방화,방화마천
8:21,8:24,9:15,9:15
상일동방화,방화마천,하남검단산방화,방화하남검단산
8:24,8:28,9:21,9:21
마천방화,방화하남검단산,마천방화,방화마천
8:28,8:32,9:28,9:28
하남검단산방화,방화마천,하남검단산방화,방화하남검단산
8:30,8:36,9:34,9:34
마천방화,방화상일동,마천방화,방화마천
8:33,8:39,9:41,9:41
하남검단산방화,방화마천,하남검단산방화,방화하남검단산
8:35,8:43,9:47,9:47
마천방화,방화하남검단산,마천방화,방화마천
8:38,8:46,9:54,9:54
상일동방화,방화마천,하남검단산방화,방화하남검단산
8:40,8:50,10:00,10:00
하남검단산방화,방화하남검단산,마천방화,방화마천
8:43,8:53,10:07,10:07
마천방화,방화마천,하남검단산방화,방화하남검단산
8:45,8:55,10:13,10:13
상일동방화,방화상일동,마천방화,방화마천
8:48,8:58,10:20,10:20
마천방화,방화마천,하남검단산방화,방화하남검단산
8:51,-,10:26,10:26
하남검단산방화,-,마천방화,방화마천
8:53,-,10:33,10:33
상일동방화,-,하남검단산방화,방화하남검단산
8:57,-,10:39,10:39
마천방화,-,마천방화,방화마천
9:00,9:01,10:46,10:46
하남검단산방화,방화하남검단산,하남검단산방화,방화하남검단산
