대흥방면,효창공원앞방면,대흥방면,효창공원앞방면
평일,평일,주말,주말
05:37첫,05:34첫,05:37첫,05:34첫
공덕응암순환,공덕신내,공덕응암순환,공덕신내
5:45,5:48,5:45,5:48
한강진응암순환,새절신내,한강진응암순환,새절신내
5:53,5:59,5:53,5:59
안암응암순환,독바위봉화산,안암응암순환,독바위봉화산
6:00,6:10,6:00,6:10
상월곡응암순환,응암신내,상월곡응암순환,응암신내
6:07,6:20,6:07,6:20
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
6:14,6:30,6:16,6:29
봉화산응암순환,응암신내,봉화산응암순환,응암신내
6:21,6:38,6:25,6:38
신내응암순환,응암봉화산,신내응암순환,응암봉화산
6:28,6:45,6:34,6:45
봉화산응암순환,응암신내,봉화산응암순환,응암신내
6:35,6:53,6:43,6:53
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
6:42,-,6:52,-
신내응암순환,-,신내응암순환,-
6:48,-,7:01,7:00
봉화산응암순환,-,봉화산응암순환,응암봉화산
6:54,-,7:10,7:09
신내응암순환,-,신내응암순환,응암신내
7:00,7:00,7:19,7:18
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
7:06,7:07,7:28,7:26
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
7:11,7:14,7:37,7:35
신내응암순환,응암신내,봉화산응암순환,응암신내
7:16,7:21,7:46,7:44
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
7:21,7:28,7:55,7:53
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
7:25,7:35,8:04,8:02
봉화산응암순환,응암봉화산,신내응암순환,응암신내
7:30,7:41,8:13,8:11
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:34,7:47,8:22,8:20
봉화산응암순환,응암신내,신내응암순환,응암봉화산
7:38,7:53,8:31,8:29
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
7:42,7:56,8:40,8:38
봉화산응암순환,새절봉화산,봉화산응암순환,응암봉화산
7:46,-,8:49,8:47
신내응암순환,-,신내응암순환,응암봉화산
7:50,-,8:58,8:56
봉화산응암순환,-,봉화산응암순환,응암신내
7:54,-,9:07,9:05
봉화산응암순환,-,봉화산응암순환,응암봉화산
7:58,-,9:16,9:14
봉화산응암순환,-,신내응암순환,응암봉화산
8:02,8:00,9:25,9:23
신내응암순환,응암봉화산,봉화산응암순환,응암신내
8:06,8:04,9:34,9:32
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
8:10,8:09,9:43,9:41
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
8:14,8:13,9:52,9:50
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
8:18,8:18,-,9:59
신내응암순환,응암봉화산,-,응암봉화산
8:22,8:22,10:01,10:08
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:26,8:27,10:10,10:17
봉화산응암순환,응암신내,신내응암순환,응암신내
8:30,8:31,10:19,10:26
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:34,8:35,10:28,10:35
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:38,8:39,10:37,10:44
봉화산응암순환,응암봉화산,신내응암순환,응암신내
8:42,8:43,10:46,10:53
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:46,8:47,10:55,-
봉화산응암순환,응암봉화산,봉화산응암순환,-
8:51,8:51,11:04,11:02
신내응암순환,응암신내,신내응암순환,응암봉화산
8:55,8:55,11:13,11:11
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
-,8:59,11:22,11:20
-,응암봉화산,봉화산응암순환,응암봉화산
9:00,9:03,11:31,11:29
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
9:04,9:07,11:40,11:38
봉화산새절,응암봉화산,봉화산응암순환,응암신내
9:09,9:11,11:49,11:47
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:15,9:15,11:58,11:56
봉화산응암순환,응암신내,신내응암순환,응암봉화산
9:20,9:19,12:07,12:05
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
9:26,9:23,12:16,12:14
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:33,9:27,12:25,12:23
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
9:40,9:31,12:34,12:32
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
9:48,9:35,12:43,12:41
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:56,9:39,12:52,12:50
봉화산응암순환,응암신내,신내응암순환,응암봉화산
-,9:44,-,12:59
-,응암봉화산,-,응암신내
-,9:48,13:01,13:08
-,응암봉화산,봉화산응암순환,응암봉화산
-,9:54,13:10,13:17
-,응암봉화산,봉화산응암순환,응암봉화산
10:04,10:02,13:19,13:26
봉화산응암순환,응암신내,신내응암순환,응암신내
10:12,10:08,13:28,13:35
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
10:20,10:13,13:37,13:44
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
10:28,10:19,13:46,13:53
봉화산응암순환,응암봉화산,신내응암순환,응암신내
10:36,10:26,13:55,-
신내응암순환,응암신내,봉화산응암순환,-
10:44,10:33,14:04,14:02
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
10:52,10:41,14:13,14:11
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
-,10:49,14:22,14:20
-,응암신내,봉화산응암순환,응암신내
-,10:57,14:31,14:29
-,응암봉화산,봉화산응암순환,응암봉화산
11:00,11:05,14:40,14:38
신내응암순환,응암봉화산,신내응암순환,응암봉화산
11:08,11:13,14:49,14:47
봉화산응암순환,응암신내,봉화산응암순환,응암신내
11:16,11:21,14:58,14:56
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
11:24,11:29,15:07,15:05
신내응암순환,응암봉화산,신내응암순환,응암봉화산
11:32,11:37,15:16,15:14
봉화산응암순환,응암신내,봉화산응암순환,응암신내
11:40,11:45,15:25,15:23
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
11:48,11:53,15:34,15:32
신내응암순환,응암봉화산,신내응암순환,응암봉화산
11:56,-,15:43,15:41
봉화산응암순환,-,봉화산응암순환,응암신내
12:04,12:01,15:52,15:50
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
12:12,12:09,-,15:59
신내응암순환,응암봉화산,-,응암봉화산
12:19,12:17,16:01,16:08
봉화산응암순환,응암봉화산,신내응암순환,응암신내
12:27,12:25,16:10,16:17
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
12:35,12:33,16:19,16:26
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
12:43,12:41,16:28,16:35
봉화산응암순환,응암봉화산,신내응암순환,응암신내
12:51,12:49,16:37,16:44
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
12:59,12:57,16:46,16:53
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
13:07,13:05,16:55,-
봉화산응암순환,응암봉화산,신내응암순환,-
13:15,13:12,17:04,17:02
봉화산응암순환,응암신내,봉화산응암순환,응암신내
13:23,13:20,17:13,17:11
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
13:31,13:28,17:22,17:20
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
13:39,13:36,17:31,17:29
봉화산응암순환,응암신내,봉화산응암순환,응암신내
13:47,13:44,17:40,17:38
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
13:55,13:52,17:49,17:47
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
14:03,14:00,17:58,17:56
봉화산응암순환,응암신내,봉화산응암순환,응암신내
14:11,14:08,18:07,18:05
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
14:19,14:16,18:16,18:14
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
