상수방면,대흥방면,상수방면,대흥방면
평일,평일,주말,주말
05:32첫,05:44첫,05:32첫,05:44첫
대흥응암순환,새절신내,대흥응암순환,새절신내
5:40,5:55,5:40,5:55
공덕응암순환,독바위봉화산,공덕응암순환,독바위봉화산
5:49,,5:49,
한강진응암순환,,한강진응암순환,
5:57,,5:57,
안암응암순환,,안암응암순환,
6:04,6:06,6:04,6:06
상월곡응암순환,응암신내,상월곡응암순환,응암신내
6:11,6:16,6:11,6:16
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
6:18,6:26,6:20,6:25
봉화산응암순환,응암신내,봉화산응암순환,응암신내
6:25,6:34,6:29,6:34
신내응암순환,응암봉화산,신내응암순환,응암봉화산
6:32,6:41,6:38,6:41
봉화산응암순환,응암신내,봉화산응암순환,응암신내
6:39,6:49,6:47,6:49
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
6:46,6:56,6:56,6:56
신내응암순환,응암신내,신내응암순환,응암봉화산
6:52,,7:05,7:05
봉화산응암순환,,봉화산응암순환,응암신내
6:58,,7:14,7:14
신내응암순환,,신내응암순환,응암봉화산
7:04,7:03,7:23,7:22
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:10,7:10,7:32,7:31
봉화산응암순환,응암신내,신내응암순환,응암신내
7:15,7:17,7:41,7:40
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:20,7:24,7:50,7:49
봉화산응암순환,응암신내,신내응암순환,응암봉화산
7:25,7:31,7:59,7:58
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
7:29,7:37,8:08,8:07
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
7:34,7:43,8:17,8:16
신내응암순환,응암신내,봉화산응암순환,응암봉화산
7:38,7:49,8:26,8:25
봉화산응암순환,응암봉화산,신내응암순환,응암신내
7:42,7:52,8:35,8:34
봉화산응암순환,새절봉화산,봉화산응암순환,응암봉화산
7:46,7:56,8:44,8:43
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:50,,8:53,8:52
신내응암순환,,신내응암순환,응암신내
7:54,,9:02,9:01
봉화산응암순환,,봉화산응암순환,응암봉화산
7:58,,9:11,9:10
봉화산응암순환,,봉화산응암순환,응암봉화산
8:02,8:00,9:20,9:19
봉화산응암순환,응암신내,신내응암순환,응암신내
8:06,8:05,9:29,9:28
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:10,8:09,9:38,9:37
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:14,8:14,9:47,9:46
봉화산응암순환,응암봉화산,신내응암순환,응암신내
8:18,8:18,9:56,9:55
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:22,8:23,10:05,10:04
신내응암순환,응암신내,봉화산응암순환,응암봉화산
8:26,8:27,10:14,10:13
봉화산응암순환,응암봉화산,신내응암순환,응암신내
8:30,8:31,10:23,10:22
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:34,8:35,10:32,10:31
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:38,8:39,10:41,10:40
신내응암순환,응암봉화산,신내응암순환,응암신내
8:42,8:43,10:50,10:49
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:46,8:47,10:59,10:58
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
8:50,8:51,11:08,11:07
봉화산응암순환,응암봉화산,신내응암순환,응암신내
8:55,8:55,11:17,11:16
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:59,8:59,11:26,11:25
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:04,9:03,11:35,11:34
봉화산응암순환,응암봉화산,신내응암순환,응암신내
9:08,9:07,11:44,11:43
봉화산새절,응암봉화산,봉화산응암순환,응암봉화산
9:13,9:11,11:53,11:52
신내응암순환,응암신내,봉화산응암순환,응암봉화산
9:19,9:15,12:02,12:01
봉화산응암순환,응암봉화산,신내응암순환,응암신내
9:24,9:19,12:11,12:10
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:30,9:23,12:20,12:19
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:37,9:27,12:29,12:28
봉화산응암순환,응암봉화산,신내응암순환,응암신내
9:44,9:31,12:38,12:37
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:52,9:35,12:47,12:46
신내응암순환,응암신내,봉화산응암순환,응암봉화산
,9:40,12:56,12:55
,응암봉화산,신내응암순환,응암신내
,9:44,13:05,13:04
,응암봉화산,봉화산응암순환,응암봉화산
,9:50,13:14,13:13
,응암봉화산,봉화산응암순환,응암봉화산
,9:58,13:23,13:22
,응암신내,신내응암순환,응암신내
10:00,10:04,13:32,13:31
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
10:08,10:09,13:41,13:40
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
10:16,10:15,13:50,13:49
신내응암순환,응암봉화산,신내응암순환,응암신내
10:24,10:22,13:59,13:58
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
10:32,10:29,14:08,14:07
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
10:40,10:37,14:17,14:16
신내응암순환,응암봉화산,신내응암순환,응암신내
10:48,10:45,14:26,14:25
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
10:56,10:53,14:35,14:34
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
11:04,11:01,14:44,14:43
신내응암순환,응암봉화산,신내응암순환,응암신내
11:12,11:09,14:53,14:52
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
11:20,11:17,15:02,15:01
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
11:28,11:25,15:11,15:10
신내응암순환,응암봉화산,신내응암순환,응암신내
11:36,11:33,15:20,15:19
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
11:44,11:41,15:29,15:28
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
11:52,11:49,15:38,15:37
신내응암순환,응암봉화산,신내응암순환,응암신내
,11:57,15:47,15:46
,응암신내,봉화산응암순환,응암봉화산
12:00,12:05,15:56,15:55
