삼각지방면,이태원방면,삼각지방면,이태원방면
평일,평일,주말,주말
05:39첫,05:39첫,05:39첫,05:39첫
한강진응암순환,공덕신내,한강진응암순환,공덕신내
5:47,5:54,5:47,5:54
안암응암순환,새절신내,안암응암순환,새절신내
5:54,-,5:54,-
상월곡응암순환,-,상월곡응암순환,-
6:01,6:05,6:01,6:05
봉화산응암순환,독바위봉화산,봉화산응암순환,독바위봉화산
6:08,6:15,6:10,6:15
봉화산응암순환,응암신내,봉화산응암순환,응암신내
6:15,6:26,6:19,6:26
신내응암순환,응암봉화산,신내응암순환,응암봉화산
6:22,6:36,6:28,6:35
봉화산응암순환,응암신내,봉화산응암순환,응암신내
6:29,6:44,6:37,6:44
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
6:36,6:51,6:46,6:51
신내응암순환,응암신내,신내응암순환,응암신내
6:42,6:59,6:55,6:59
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
6:48,-,7:04,7:06
신내응암순환,-,신내응암순환,응암봉화산
6:54,-,7:13,7:15
봉화산응암순환,-,봉화산응암순환,응암신내
6:59,-,7:22,7:24
봉화산응암순환,-,신내응암순환,응암봉화산
7:05,7:06,7:31,7:32
신내응암순환,응암신내,봉화산응암순환,응암봉화산
7:10,7:13,7:40,7:41
봉화산응암순환,응암봉화산,신내응암순환,응암신내
7:14,7:20,7:49,7:50
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
7:19,7:27,7:58,7:59
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
7:24,7:34,8:07,8:08
신내응암순환,응암신내,봉화산응암순환,응암신내
7:28,7:41,8:16,8:17
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
7:32,7:47,8:25,8:26
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:36,7:53,8:34,8:35
봉화산응암순환,응암신내,봉화산응암순환,응암신내
7:40,7:59,8:43,8:44
신내응암순환,응암봉화산,신내응암순환,응암봉화산
7:44,-,8:52,8:53
봉화산응암순환,-,봉화산응암순환,응암봉화산
7:48,-,9:01,9:02
봉화산응암순환,-,봉화산응암순환,응암신내
7:52,-,9:10,9:11
봉화산응암순환,-,신내응암순환,응암봉화산
7:56,-,9:19,9:20
신내응암순환,-,봉화산응암순환,응암봉화산
8:00,8:02,9:28,9:29
봉화산응암순환,새절봉화산,봉화산응암순환,응암신내
8:04,8:06,9:37,9:38
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
8:08,8:10,9:46,9:47
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
8:12,8:15,9:55,9:56
신내응암순환,응암봉화산,봉화산응암순환,응암신내
8:16,8:19,10:04,10:05
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
8:20,8:24,10:13,10:14
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:24,8:28,10:22,10:23
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
8:28,8:33,10:31,10:32
신내응암순환,응암신내,신내응암순환,응암봉화산
8:32,8:37,10:40,10:41
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:36,8:41,10:49,10:50
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
8:40,8:45,10:58,10:59
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
8:44,8:49,11:07,11:08
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:49,8:53,11:16,11:17
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
8:53,8:57,11:25,11:26
봉화산응암순환,응암신내,신내응암순환,응암봉화산
8:58,-,11:34,11:35
봉화산새절,-,봉화산응암순환,응암봉화산
9:03,9:01,11:43,11:44
신내응암순환,응암봉화산,봉화산응암순환,응암신내
9:08,9:05,11:52,11:53
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
9:14,9:09,12:01,12:02
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:20,9:13,12:10,12:11
신내응암순환,응암봉화산,봉화산응암순환,응암신내
9:27,9:17,12:19,12:20
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
9:34,9:21,12:28,12:29
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
9:42,9:25,12:37,12:38
신내응암순환,응암봉화산,봉화산응암순환,응암신내
9:50,9:29,12:46,12:47
