상월곡방면,석계방면,상월곡방면,석계방면
평일,평일,주말,주말
05:37첫,05:37첫,05:37첫,05:37첫
봉화산응암순환,안암신내,봉화산응암순환,안암신내
5:44,5:50,5:46,5:50
봉화산응암순환,한강진신내,봉화산응암순환,한강진신내
5:51,-,5:55,-
신내응암순환,-,신내응암순환,-
5:58,-,6:04,6:04
봉화산응암순환,-,봉화산응암순환,공덕신내
6:05,6:04,6:13,6:18
봉화산응암순환,공덕신내,신내응암순환,새절신내
6:12,6:18,6:22,6:29
신내응암순환,새절신내,신내응암순환,독바위봉화산
6:18,6:29,6:31,6:40
봉화산응암순환,독바위봉화산,봉화산응암순환,응암신내
6:24,6:40,6:40,6:51
신내응암순환,응암신내,신내응암순환,응암봉화산
6:30,6:51,6:49,6:59
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
6:35,-,6:58,-
봉화산응암순환,-,신내응암순환,-
6:41,-,7:07,7:08
신내응암순환,-,봉화산응암순환,응암봉화산
6:46,-,7:16,7:16
봉화산응암순환,-,신내응암순환,응암신내
6:50,-,7:25,7:23
봉화산응암순환,-,봉화산응암순환,응암봉화산
6:55,-,7:34,7:30
봉화산응암순환,-,신내응암순환,응암봉화산
6:59,-,7:43,7:39
신내응암순환,-,봉화산응암순환,응암신내
7:04,7:00,7:52,7:48
봉화산응암순환,응암신내,신내응암순환,응암봉화산
7:08,7:08,-,7:56
봉화산응암순환,응암봉화산,-,응암봉화산
7:12,7:16,8:01,8:05
봉화산응암순환,응암신내,봉화산응암순환,응암신내
7:16,7:23,8:10,8:14
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:20,7:30,8:19,8:23
봉화산응암순환,응암신내,신내응암순환,응암봉화산
7:24,7:37,8:28,8:32
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
7:28,7:44,8:37,8:41
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
7:32,7:51,8:46,8:50
신내응암순환,응암봉화산,신내응암순환,응암봉화산
7:36,7:58,8:55,8:59
봉화산응암순환,응암신내,봉화산응암순환,응암신내
7:40,-,9:04,9:08
봉화산응암순환,-,봉화산응암순환,응암봉화산
7:44,-,9:13,9:17
봉화산응암순환,-,신내응암순환,응암봉화산
7:48,-,9:22,9:26
신내응암순환,-,봉화산응암순환,응암신내
7:52,-,9:31,9:35
봉화산응암순환,-,봉화산응암순환,응암봉화산
7:56,-,9:40,9:44
봉화산응암순환,-,신내응암순환,응암봉화산
8:00,8:05,9:49,9:53
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
8:04,8:11,9:58,-
신내응암순환,응암봉화산,봉화산응암순환,-
8:08,8:17,10:07,10:02
봉화산응암순환,응암신내,신내응암순환,응암봉화산
8:12,8:23,10:16,10:11
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:16,8:26,10:25,10:20
봉화산응암순환,새절봉화산,봉화산응암순환,응암신내
8:20,8:30,10:34,10:29
신내응암순환,응암봉화산,신내응암순환,응암봉화산
8:25,8:34,10:43,10:38
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
8:29,8:39,10:52,10:47
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
8:34,8:44,-,10:56
봉화산새절,응암봉화산,-,응암봉화산
8:39,8:48,11:01,11:05
신내응암순환,응암봉화산,신내응암순환,응암봉화산
8:44,8:53,11:10,11:14
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
8:50,8:57,11:19,11:23
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
8:56,-,11:28,11:32
