한강진방면,약수방면,한강진방면,약수방면
평일,평일,주말,주말
05:41첫,05:31첫,05:41첫,05:31첫
안암응암순환,한강진신내,안암응암순환,한강진신내
5:49,5:45,5:49,5:45
상월곡응암순환,공덕신내,상월곡응암순환,공덕신내
5:56,5:59,5:56,5:59
봉화산응암순환,새절신내,봉화산응암순환,새절신내
6:03,6:10,6:05,6:10
봉화산응암순환,독바위봉화산,봉화산응암순환,독바위봉화산
6:10,6:21,6:14,6:21
신내응암순환,응암신내,신내응암순환,응암신내
6:17,6:32,6:22,6:32
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
6:24,6:42,6:31,6:41
봉화산응암순환,응암신내,신내응암순환,응암신내
6:31,6:49,6:40,6:49
신내응암순환,응암봉화산,신내응암순환,응암봉화산
6:37,6:57,6:49,6:57
봉화산응암순환,응암신내,봉화산응암순환,응암신내
6:43,-,6:58,-
신내응암순환,-,신내응암순환,-
6:49,-,7:07,7:04
봉화산응암순환,-,봉화산응암순환,응암봉화산
6:54,-,7:16,7:11
봉화산응암순환,-,신내응암순환,응암봉화산
7:00,7:04,7:25,7:20
신내응암순환,응암봉화산,봉화산응암순환,응암신내
7:05,7:11,7:34,7:29
봉화산응암순환,응암신내,신내응암순환,응암봉화산
7:09,7:18,7:43,7:37
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:14,7:25,7:52,7:46
봉화산응암순환,응암신내,신내응암순환,응암신내
7:18,7:32,-,7:55
신내응암순환,응암봉화산,-,응암봉화산
7:23,7:39,8:01,8:04
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
7:27,7:46,8:10,8:13
봉화산응암순환,응암봉화산,신내응암순환,응암신내
7:31,7:52,8:19,8:22
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:35,7:58,8:28,8:31
신내응암순환,응암신내,봉화산응암순환,응암봉화산
7:39,-,8:37,8:40
봉화산응암순환,-,신내응암순환,응암신내
7:43,-,8:46,8:49
봉화산응암순환,-,봉화산응암순환,응암봉화산
7:47,-,8:55,8:58
봉화산응암순환,-,봉화산응암순환,응암봉화산
7:51,-,9:04,9:07
신내응암순환,-,신내응암순환,응암신내
7:55,-,9:13,9:16
봉화산응암순환,-,봉화산응암순환,응암봉화산
7:59,-,9:22,9:25
봉화산응암순환,-,봉화산응암순환,응암봉화산
8:03,8:04,9:31,9:34
봉화산응암순환,응암봉화산,신내응암순환,응암신내
8:07,8:08,9:40,9:43
신내응암순환,새절봉화산,봉화산응암순환,응암봉화산
8:11,8:11,9:49,9:52
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:15,8:15,9:58,-
봉화산응암순환,응암신내,신내응암순환,-
8:19,8:20,10:07,10:01
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
8:23,8:25,10:16,10:10
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:27,8:29,10:25,10:19
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
8:31,8:34,10:34,10:28
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
8:35,8:38,10:43,10:37
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
8:39,8:42,10:52,10:46
신내응암순환,응암봉화산,신내응암순환,응암봉화산
8:44,8:46,-,10:55
봉화산응암순환,응암봉화산,-,응암신내
8:48,8:50,11:01,11:04
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:53,8:54,11:10,11:13
봉화산새절,응암봉화산,봉화산응암순환,응암봉화산
8:58,8:58,11:19,11:22
신내응암순환,응암봉화산,신내응암순환,응암신내
9:03,9:02,11:28,11:31
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
9:09,9:06,11:37,11:40
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:15,9:10,11:46,11:49
신내응암순환,응암봉화산,신내응암순환,응암신내
9:22,9:14,11:55,11:58
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:29,9:18,12:04,12:07
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:37,9:22,12:13,12:16
신내응암순환,응암봉화산,신내응암순환,응암신내
9:45,9:26,12:22,12:25
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
9:53,9:30,12:31,12:34
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
-,9:34,12:40,12:43
-,응암봉화산,신내응암순환,응암신내
-,9:38,12:49,12:52
-,응암봉화산,봉화산응암순환,응암봉화산
-,9:42,12:58,-
-,응암봉화산,봉화산응암순환,-
-,9:46,13:07,13:01
-,응암봉화산,신내응암순환,응암봉화산
-,9:50,13:16,13:10
-,응암신내,봉화산응암순환,응암신내
-,9:55,13:25,13:19
-,응암봉화산,봉화산응암순환,응암봉화산
-,9:59,13:34,13:28
-,응암봉화산,신내응암순환,응암봉화산
10:01,10:05,13:43,13:37
신내응암순환,응암봉화산,봉화산응암순환,응암신내
10:09,10:13,13:52,13:46
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
10:17,10:19,-,13:55
봉화산응암순환,응암봉화산,-,응암봉화산
10:25,10:24,14:01,14:04
신내응암순환,응암봉화산,신내응암순환,응암신내
10:33,10:30,14:10,14:13
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
10:41,10:37,14:19,14:22
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
10:49,10:44,14:28,14:31
신내응암순환,응암봉화산,신내응암순환,응암신내
10:57,10:52,14:37,14:40
