창신방면,안암방면,창신방면,안암방면
평일,평일,주말,주말
05:31첫,05:42첫,05:31첫,05:42첫
안암응암순환,한강진신내,안암응암순환,한강진신내
5:39,5:55,5:39,5:55
상월곡응암순환,공덕신내,상월곡응암순환,공덕신내
5:46,,5:46,
봉화산응암순환,,봉화산응암순환,
5:53,,5:55,
봉화산응암순환,,봉화산응암순환,
6:00,6:09,6:04,6:09
신내응암순환,새절신내,신내응암순환,새절신내
6:07,6:20,6:12,6:20
봉화산응암순환,독바위봉화산,봉화산응암순환,독바위봉화산
6:14,6:31,6:21,6:31
봉화산응암순환,응암신내,신내응암순환,응암신내
6:21,6:42,6:30,6:42
신내응암순환,응암봉화산,신내응암순환,응암봉화산
6:27,6:52,6:39,6:51
봉화산응암순환,응암신내,봉화산응암순환,응암신내
6:33,6:59,6:48,6:59
신내응암순환,응암봉화산,신내응암순환,응암봉화산
6:39,,6:57,
봉화산응암순환,,봉화산응암순환,
6:44,,7:06,7:07
봉화산응암순환,,신내응암순환,응암신내
6:50,,7:15,7:14
신내응암순환,,봉화산응암순환,응암봉화산
6:55,,7:24,7:21
봉화산응암순환,,신내응암순환,응암봉화산
6:59,,7:33,7:30
봉화산응암순환,,봉화산응암순환,응암신내
7:04,7:07,7:42,7:39
봉화산응암순환,응암신내,신내응암순환,응암봉화산
7:08,7:14,7:51,7:47
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:13,7:21,,7:56
봉화산응암순환,응암신내,,응암신내
7:17,7:28,8:00,8:05
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
7:21,7:35,8:09,8:14
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
7:25,7:42,8:18,8:23
신내응암순환,응암봉화산,봉화산응암순환,응암신내
7:29,7:49,8:27,8:32
봉화산응암순환,응암신내,신내응암순환,응암봉화산
7:33,7:56,8:36,8:41
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:37,,8:45,8:50
봉화산응암순환,,봉화산응암순환,응암신내
7:41,,8:54,8:59
신내응암순환,,신내응암순환,응암봉화산
7:45,,9:03,9:08
봉화산응암순환,,봉화산응암순환,응암봉화산
7:49,,9:12,9:17
봉화산응암순환,,봉화산응암순환,응암신내
7:53,,9:21,9:26
봉화산응암순환,,신내응암순환,응암봉화산
7:57,,9:30,9:35
신내응암순환,,봉화산응암순환,응암봉화산
8:01,8:02,9:39,9:44
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
8:05,8:08,9:48,9:53
봉화산응암순환,응암신내,신내응암순환,응암봉화산
8:09,8:14,9:57,
봉화산응암순환,응암봉화산,봉화산응암순환,
8:13,8:18,10:06,10:02
신내응암순환,새절봉화산,봉화산응암순환,응암봉화산
8:17,8:21,10:15,10:11
봉화산응암순환,응암봉화산,신내응암순환,응암신내
8:21,8:26,10:24,10:20
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
8:25,8:30,10:33,10:29
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:29,8:35,10:42,10:38
신내응암순환,응암봉화산,신내응암순환,응암신내
8:34,8:39,10:51,10:47
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:38,8:44,,10:56
봉화산응암순환,응암봉화산,,응암봉화산
8:43,8:48,11:00,11:05
봉화산새절,응암신내,봉화산응암순환,응암신내
8:48,8:52,11:09,11:14
신내응암순환,응암봉화산,신내응암순환,응암봉화산
8:53,8:56,11:18,11:23
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:59,,11:27,11:32
봉화산응암순환,,봉화산응암순환,응암신내
9:05,9:00,11:36,11:41
신내응암순환,응암봉화산,신내응암순환,응암봉화산
9:12,9:05,11:45,11:50
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:19,9:09,11:54,11:59
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
9:27,9:13,12:03,12:08
신내응암순환,응암신내,신내응암순환,응암봉화산
9:35,9:16,12:12,12:17
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:43,9:20,12:21,12:26
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
9:51,9:24,12:30,12:35
신내응암순환,응암봉화산,신내응암순환,응암봉화산
9:59,9:28,12:39,12:44
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
,9:32,12:48,12:53
,응암봉화산,봉화산응암순환,응암신내
,9:36,12:57,
,응암신내,신내응암순환,
,9:40,13:06,13:02
,응암봉화산,봉화산응암순환,응암봉화산
,9:45,13:15,13:11
,응암봉화산,봉화산응암순환,응암봉화산
,9:49,13:24,13:20
,응암봉화산,신내응암순환,응암신내
,9:53,13:33,13:29
,응암봉화산,봉화산응암순환,응암봉화산
,9:56,13:42,13:38
,응암봉화산,봉화산응암순환,응암봉화산
10:07,10:01,13:51,13:47
봉화산응암순환,응암신내,신내응암순환,응암신내
10:15,10:05,,13:56
신내응암순환,응암봉화산,,응암봉화산
10:23,10:10,14:00,14:05
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
10:31,10:16,14:09,14:14
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
10:39,10:24,14:18,14:23
신내응암순환,응암신내,신내응암순환,응암봉화산
10:47,10:29,14:27,14:32
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
10:55,10:34,14:36,14:41
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
,10:41,14:45,14:50
,응암봉화산,신내응암순환,응암봉화산
,10:48,14:54,14:59
,응암신내,봉화산응암순환,응암봉화산
