합정방면,광흥창방면,합정방면,광흥창방면
평일,평일,주말,주말
05:33첫,05:42첫,05:33첫,05:42첫
대흥응암순환,새절신내,대흥응암순환,새절신내
5:42,5:53,5:42,5:53
공덕응암순환,독바위봉화산,공덕응암순환,독바위봉화산
5:51,-,5:51,-
한강진응암순환,-,한강진응암순환,-
5:58,-,5:58,-
안암응암순환,-,안암응암순환,-
6:06,6:04,6:06,6:04
상월곡응암순환,응암신내,상월곡응암순환,응암신내
6:12,6:15,6:12,6:15
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
6:20,6:25,6:22,6:24
봉화산응암순환,응암신내,봉화산응암순환,응암신내
6:27,6:32,6:31,6:32
신내응암순환,응암봉화산,신내응암순환,응암봉화산
6:34,6:40,6:39,6:40
봉화산응암순환,응암신내,봉화산응암순환,응암신내
6:41,6:47,6:48,6:47
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
6:48,6:54,6:57,6:54
신내응암순환,응암신내,신내응암순환,응암봉화산
6:54,-,7:06,7:03
봉화산응암순환,-,봉화산응암순환,응암신내
7:00,7:01,7:15,7:12
신내응암순환,응암봉화산,신내응암순환,응암봉화산
7:06,7:08,7:24,7:20
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
7:11,7:15,7:33,7:29
봉화산응암순환,응암봉화산,신내응암순환,응암신내
7:17,7:22,7:42,7:38
신내응암순환,응암신내,봉화산응암순환,응암봉화산
7:22,7:29,7:51,7:47
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
7:26,7:35,-,7:56
봉화산응암순환,응암봉화산,-,응암신내
7:31,7:41,8:00,8:05
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
7:35,7:47,8:09,8:14
신내응암순환,응암봉화산,신내응암순환,응암봉화산
7:40,7:51,8:18,8:23
봉화산응암순환,새절봉화산,봉화산응암순환,응암신내
7:44,7:54,8:27,8:32
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
7:48,7:58,8:36,8:41
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
7:52,-,8:45,8:50
신내응암순환,-,봉화산응암순환,응암신내
7:56,-,8:54,8:59
봉화산응암순환,-,신내응암순환,응암봉화산
8:00,8:03,9:03,9:08
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:04,8:08,9:12,9:17
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
8:08,8:12,9:21,9:26
신내응암순환,응암봉화산,신내응암순환,응암봉화산
8:12,8:17,9:30,9:35
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:16,8:21,9:39,9:44
봉화산응암순환,응암신내,봉화산응암순환,응암신내
8:20,8:25,9:48,9:53
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
8:24,8:29,9:57,-
신내응암순환,응암봉화산,봉화산응암순환,-
8:28,8:33,10:06,10:02
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:32,8:37,10:15,10:11
봉화산응암순환,응암봉화산,신내응암순환,응암신내
8:36,8:41,10:24,10:20
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:40,8:45,10:33,10:29
신내응암순환,응암신내,봉화산응암순환,응암봉화산
8:44,8:49,10:42,10:38
봉화산응암순환,응암봉화산,신내응암순환,응암신내
8:48,8:53,10:51,10:47
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:52,8:57,-,10:56
봉화산응암순환,응암봉화산,-,응암봉화산
8:56,-,11:00,11:05
신내응암순환,-,봉화산응암순환,응암신내
9:01,9:01,11:09,11:14
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
9:05,9:05,11:18,11:23
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:10,9:09,11:27,11:32
봉화산새절,응암신내,봉화산응암순환,응암신내
9:15,9:13,11:36,11:41
신내응암순환,응암봉화산,신내응암순환,응암봉화산
9:20,9:17,11:45,11:50
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:26,9:21,11:54,11:59
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
9:32,9:25,12:03,12:08
신내응암순환,응암봉화산,신내응암순환,응암봉화산
9:39,9:29,12:12,12:17
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:46,9:33,12:21,12:26
봉화산응암순환,응암신내,봉화산응암순환,응암신내
9:54,9:38,12:30,12:35
신내응암순환,응암봉화산,신내응암순환,응암봉화산
-,9:42,12:39,12:44
-,응암봉화산,봉화산응암순환,응암봉화산
-,9:48,12:48,12:53
-,응암봉화산,봉화산응암순환,응암신내
-,9:56,12:57,-
-,응암신내,신내응암순환,-
10:02,10:02,13:06,13:02
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
10:10,10:07,13:15,13:11
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
10:18,10:13,13:24,13:20
신내응암순환,응암봉화산,신내응암순환,응암신내
10:26,10:20,13:33,13:29
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
10:34,10:27,13:42,13:38
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
10:42,10:35,13:51,13:47
신내응암순환,응암봉화산,신내응암순환,응암신내
10:50,10:43,-,13:56
봉화산응암순환,응암신내,-,응암봉화산
10:58,10:51,14:00,14:05
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
-,10:59,14:09,14:14
-,응암봉화산,봉화산응암순환,응암신내
11:06,11:07,14:18,14:23
신내응암순환,응암신내,신내응암순환,응암봉화산
11:14,11:15,14:27,14:32
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
11:22,11:23,14:36,14:41
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
11:30,11:31,14:45,14:50
