돌곶이방면,태릉입구방면,돌곶이방면,태릉입구방면
평일,평일,주말,주말
05:35첫,05:39첫,05:35첫,05:39첫
봉화산응암순환,안암신내,봉화산응암순환,안암신내
5:42,5:52,5:44,5:52
봉화산응암순환,한강진신내,봉화산응암순환,한강진신내
5:49,-,5:53,-
신내응암순환,-,신내응암순환,-
5:56,-,6:02,6:06
봉화산응암순환,-,봉화산응암순환,공덕신내
6:03,6:06,6:11,6:20
봉화산응암순환,공덕신내,신내응암순환,새절신내
6:10,6:20,6:20,6:31
신내응암순환,새절신내,신내응암순환,독바위봉화산
6:16,6:31,6:29,6:42
봉화산응암순환,독바위봉화산,봉화산응암순환,응암신내
6:22,6:42,6:38,6:53
신내응암순환,응암신내,신내응암순환,응암봉화산
6:28,6:53,6:47,-
봉화산응암순환,응암봉화산,봉화산응암순환,-
6:34,-,6:56,-
봉화산응암순환,-,신내응암순환,-
6:39,-,7:05,7:02
신내응암순환,-,봉화산응암순환,응암신내
6:44,-,7:14,7:10
봉화산응암순환,-,신내응암순환,응암봉화산
6:49,-,7:23,7:18
봉화산응암순환,-,봉화산응암순환,응암신내
6:53,-,7:32,7:25
봉화산응암순환,-,신내응암순환,응암봉화산
6:58,-,7:41,7:32
신내응암순환,-,봉화산응암순환,응암봉화산
7:02,7:03,7:50,7:41
봉화산응암순환,응암신내,신내응암순환,응암신내
7:06,7:10,7:59,7:50
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:10,7:18,-,7:58
봉화산응암순환,응암신내,-,응암봉화산
7:14,7:25,8:08,8:07
신내응암순환,응암봉화산,봉화산응암순환,응암신내
7:18,7:32,8:17,8:16
봉화산응암순환,응암신내,신내응암순환,응암봉화산
7:22,7:39,8:26,8:25
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:26,7:46,8:35,8:34
봉화산응암순환,응암신내,봉화산응암순환,응암신내
7:30,7:53,8:44,8:43
신내응암순환,응암봉화산,신내응암순환,응암봉화산
7:34,-,8:53,8:52
봉화산응암순환,-,봉화산응암순환,응암봉화산
7:38,-,9:02,9:01
봉화산응암순환,-,봉화산응암순환,응암신내
7:42,-,9:11,9:10
봉화산응암순환,-,신내응암순환,응암봉화산
7:46,-,9:20,9:19
신내응암순환,-,봉화산응암순환,응암봉화산
7:50,-,9:29,9:28
봉화산응암순환,-,봉화산응암순환,응암신내
7:54,-,9:38,9:37
봉화산응암순환,-,신내응암순환,응암봉화산
7:58,-,9:47,9:46
봉화산응암순환,-,봉화산응암순환,응암봉화산
8:02,8:00,9:56,9:55
신내응암순환,응암신내,봉화산응암순환,응암신내
8:06,8:07,10:05,10:04
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
8:10,8:13,10:14,10:13
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:14,8:19,10:23,10:22
봉화산응암순환,응암신내,봉화산응암순환,응암신내
8:19,8:25,10:32,10:31
신내응암순환,응암봉화산,신내응암순환,응암봉화산
8:23,8:29,10:41,10:40
봉화산응암순환,새절봉화산,봉화산응암순환,응암봉화산
8:28,8:32,10:50,10:49
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
8:32,8:36,10:59,10:58
봉화산새절,응암신내,신내응암순환,응암봉화산
8:37,8:41,11:08,11:07
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:43,8:46,11:17,11:16
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
8:48,8:50,11:26,11:25
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
8:54,8:55,11:35,11:34
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
-,8:59,11:44,11:43
-,응암신내,봉화산응암순환,응암신내
9:01,9:03,11:53,11:52
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
9:08,9:07,12:02,12:01
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:16,9:11,12:11,12:10
신내응암순환,응암봉화산,봉화산응암순환,응암신내
9:24,9:15,12:20,12:19
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
9:32,9:19,12:29,12:28
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:40,9:23,12:38,12:37
신내응암순환,응암신내,봉화산응암순환,응암신내
9:48,9:27,12:47,12:46
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
9:56,9:31,12:56,12:55
