보문방면,고려대방면,보문방면,고려대방면
평일,평일,주말,주말
05:30첫,05:30첫,05:30첫,05:30첫
안암응암순환,안암신내,안암응암순환,안암신내
5:37,5:43,5:37,5:43
상월곡응암순환,한강진신내,상월곡응암순환,한강진신내
5:44,5:57,5:44,5:57
봉화산응암순환,공덕신내,봉화산응암순환,공덕신내
5:51,-,5:53,-
봉화산응암순환,-,봉화산응암순환,-
5:58,-,6:02,6:11
신내응암순환,-,신내응암순환,새절신내
6:05,6:11,6:11,6:22
봉화산응암순환,새절신내,봉화산응암순환,독바위봉화산
6:12,6:22,6:20,6:33
봉화산응암순환,독바위봉화산,신내응암순환,응암신내
6:19,6:33,6:29,6:44
신내응암순환,응암신내,신내응암순환,응암봉화산
6:25,6:44,6:38,6:52
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
6:31,6:53,6:47,-
신내응암순환,응암신내,신내응암순환,-
6:37,-,6:56,-
봉화산응암순환,-,봉화산응암순환,-
6:42,-,7:05,7:01
봉화산응암순환,-,신내응암순환,응암봉화산
6:48,-,7:14,7:09
신내응암순환,-,봉화산응암순환,응암신내
6:53,-,7:23,7:16
봉화산응암순환,-,신내응암순환,응암봉화산
6:57,-,7:32,7:23
봉화산응암순환,-,봉화산응암순환,응암봉화산
7:02,7:01,7:41,7:32
봉화산응암순환,응암봉화산,신내응암순환,응암신내
7:07,7:09,7:50,7:41
신내응암순환,응암신내,봉화산응암순환,응암봉화산
7:11,7:16,7:59,7:49
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
7:15,7:23,-,7:58
봉화산응암순환,응암신내,-,응암신내
7:19,7:30,8:08,8:07
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:23,7:37,8:17,8:16
신내응암순환,응암신내,봉화산응암순환,응암봉화산
7:27,7:44,8:26,8:25
봉화산응암순환,응암봉화산,신내응암순환,응암신내
7:31,7:51,8:35,8:34
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
7:35,7:58,8:44,8:43
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:39,-,8:53,8:52
신내응암순환,-,신내응암순환,응암신내
7:43,-,9:02,9:01
봉화산응암순환,-,봉화산응암순환,응암봉화산
7:47,-,9:11,9:10
봉화산응암순환,-,봉화산응암순환,응암봉화산
7:51,-,9:20,9:19
봉화산응암순환,-,신내응암순환,응암신내
7:55,-,9:29,9:28
신내응암순환,-,봉화산응암순환,응암봉화산
7:59,-,9:38,9:37
봉화산응암순환,-,봉화산응암순환,응암봉화산
8:03,8:04,9:47,9:46
봉화산응암순환,응암봉화산,신내응암순환,응암신내
8:07,8:10,9:56,9:55
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
8:11,8:16,10:05,10:04
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:15,8:19,10:14,10:13
봉화산응암순환,새절봉화산,신내응암순환,응암신내
8:19,8:23,10:23,10:22
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:23,8:27,10:32,10:31
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
8:27,8:32,10:41,10:40
신내응암순환,응암봉화산,신내응암순환,응암신내
8:32,8:37,10:50,10:49
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:36,8:41,10:59,10:58
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:41,8:46,11:08,11:07
봉화산새절,응암봉화산,신내응암순환,응암신내
8:46,8:50,11:17,11:16
신내응암순환,응암신내,봉화산응암순환,응암봉화산
8:51,8:54,11:26,11:25
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:57,8:58,11:35,11:34
봉화산응암순환,응암봉화산,신내응암순환,응암신내
9:03,9:02,11:44,11:43
