고려대방면,상월곡방면,고려대방면,상월곡방면
평일,평일,주말,주말
05:33첫,05:33첫,05:33첫,05:33첫
상월곡응암순환,안암신내,상월곡응암순환,안암신내
5:40,5:47,5:40,5:47
봉화산응암순환,한강진신내,봉화산응암순환,한강진신내
5:47,-,5:49,-
봉화산응암순환,-,봉화산응암순환,-
5:54,-,5:58,-
신내응암순환,-,신내응암순환,-
6:01,6:00,6:07,6:00
봉화산응암순환,공덕신내,봉화산응암순환,공덕신내
6:08,6:15,6:16,6:15
봉화산응암순환,새절신내,신내응암순환,새절신내
6:15,6:26,6:25,6:26
신내응암순환,독바위봉화산,신내응암순환,독바위봉화산
6:21,6:36,6:34,6:36
봉화산응암순환,응암신내,봉화산응암순환,응암신내
6:27,6:47,6:43,6:47
신내응암순환,응암봉화산,신내응암순환,응암봉화산
6:33,6:57,6:52,6:56
봉화산응암순환,응암신내,봉화산응암순환,응암신내
6:39,-,7:01,7:05
봉화산응암순환,-,신내응암순환,응암봉화산
6:44,-,7:10,7:12
신내응암순환,-,봉화산응암순환,응암신내
6:49,-,7:19,7:20
봉화산응암순환,-,신내응암순환,응암봉화산
6:54,-,7:28,7:27
봉화산응암순환,-,봉화산응암순환,응암봉화산
6:58,-,7:37,7:36
봉화산응암순환,-,신내응암순환,응암신내
7:03,7:05,7:46,7:45
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:07,7:12,7:55,7:53
봉화산응암순환,응암신내,신내응암순환,응암봉화산
7:11,7:20,8:04,8:02
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
7:15,7:27,8:13,8:11
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
7:19,7:34,8:22,8:20
신내응암순환,응암봉화산,신내응암순환,응암봉화산
7:23,7:41,8:31,8:29
봉화산응암순환,응암신내,봉화산응암순환,응암신내
7:27,7:48,8:40,8:38
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:31,7:55,8:49,8:47
봉화산응암순환,응암신내,신내응암순환,응암봉화산
7:35,-,8:58,8:56
신내응암순환,-,봉화산응암순환,응암신내
7:39,-,9:07,9:05
봉화산응암순환,-,봉화산응암순환,응암봉화산
7:43,-,9:16,9:14
봉화산응암순환,-,신내응암순환,응암봉화산
7:47,-,9:25,9:23
봉화산응암순환,-,봉화산응암순환,응암신내
7:51,-,9:34,9:32
신내응암순환,-,봉화산응암순환,응암봉화산
7:55,-,9:43,9:41
봉화산응암순환,-,신내응암순환,응암봉화산
7:59,-,9:52,9:50
봉화산응암순환,-,봉화산응암순환,응암신내
8:03,8:02,-,9:59
봉화산응암순환,응암봉화산,-,응암봉화산
8:07,8:08,10:01,10:08
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:11,8:14,10:10,10:17
봉화산응암순환,응암신내,신내응암순환,응암신내
8:15,8:20,10:19,10:26
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:19,8:23,10:28,10:35
봉화산응암순환,새절봉화산,봉화산응암순환,응암봉화산
8:24,8:27,10:37,10:44
신내응암순환,응암봉화산,신내응암순환,응암신내
8:28,8:31,10:46,10:53
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
8:33,8:36,10:55,-
봉화산응암순환,응암봉화산,봉화산응암순환,-
8:37,8:40,11:04,11:02
봉화산새절,응암봉화산,신내응암순환,응암봉화산
8:42,8:45,11:13,11:11
신내응암순환,응암봉화산,봉화산응암순환,응암신내
8:48,8:49,11:22,11:20
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:53,8:54,11:31,11:29
봉화산응암순환,응암신내,신내응암순환,응암봉화산
8:59,8:58,11:40,11:38
신내응암순환,응암봉화산,봉화산응암순환,응암신내
9:06,9:02,11:49,11:47
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:13,9:06,11:58,11:56
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
9:21,9:10,12:07,12:05
신내응암순환,응암봉화산,봉화산응암순환,응암신내
9:29,9:14,12:16,12:14
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:37,9:18,12:25,12:23
봉화산응암순환,응암신내,신내응암순환,응암봉화산
9:45,9:22,12:34,12:32
신내응암순환,응암봉화산,봉화산응암순환,응암신내
9:53,9:26,12:43,12:41
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
-,9:30,12:52,12:50
-,응암봉화산,신내응암순환,응암봉화산
-,9:34,-,12:59
-,응암봉화산,-,응암신내
-,9:38,13:01,13:08
-,응암봉화산,봉화산응암순환,응암봉화산
-,9:42,13:10,13:17
-,응암신내,봉화산응암순환,응암봉화산
-,9:46,13:19,13:26
-,응암봉화산,신내응암순환,응암신내
-,9:50,13:28,13:35
-,응암봉화산,봉화산응암순환,응암봉화산
-,9:54,13:37,13:44
-,응암봉화산,봉화산응암순환,응암봉화산
-,9:58,13:46,13:53
-,응암봉화산,신내응암순환,응암신내
10:01,10:02,13:55,-
봉화산응암순환,응암봉화산,봉화산응암순환,-
10:09,10:06,14:04,14:02
신내응암순환,응암신내,봉화산응암순환,응암봉화산
10:17,10:11,14:13,14:11
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
10:25,10:15,14:22,14:20
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
10:33,10:21,14:31,14:29
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
10:41,10:29,14:40,14:38
봉화산응암순환,응암신내,신내응암순환,응암봉화산
10:49,10:35,14:49,14:47
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
10:57,10:40,14:58,14:56
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
-,10:46,15:07,15:05
-,응암봉화산,신내응암순환,응암봉화산
-,10:53,15:16,15:14
-,응암신내,봉화산응암순환,응암신내
11:05,11:00,15:25,15:23
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
11:13,11:08,15:34,15:32
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
11:21,11:16,15:43,15:41
신내응암순환,응암신내,봉화산응암순환,응암신내
11:29,11:24,15:52,15:50
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
11:37,11:32,-,15:59
봉화산응암순환,응암봉화산,-,응암봉화산
11:45,11:40,16:01,16:08
신내응암순환,응암신내,신내응암순환,응암신내
11:52,11:48,16:10,16:17
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
-,11:56,16:19,16:26
-,응암봉화산,봉화산응암순환,응암봉화산
12:00,12:04,16:28,16:35
봉화산응암순환,응암신내,신내응암순환,응암신내
12:08,12:12,16:37,16:44
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
12:16,12:20,16:46,16:53
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
12:24,12:28,16:55,-
봉화산응암순환,응암신내,신내응암순환,-
12:32,12:36,17:04,17:02
신내응암순환,응암봉화산,봉화산응암순환,응암신내
12:40,12:44,17:13,17:11
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
12:48,12:52,17:22,17:20
봉화산응암순환,응암신내,신내응암순환,응암봉화산
12:56,-,17:31,17:29
신내응암순환,-,봉화산응암순환,응암신내
13:04,13:00,17:40,17:38
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
13:12,13:08,17:49,17:47
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
13:20,13:16,17:58,17:56
신내응암순환,응암신내,봉화산응암순환,응암신내
13:28,13:24,18:07,18:05
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
13:36,13:32,18:16,18:14
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
13:44,13:39,18:25,18:23
신내응암순환,응암신내,봉화산응암순환,응암신내
13:52,13:47,18:34,18:32
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
-,13:55,18:43,18:41
-,응암봉화산,신내응암순환,응암봉화산
14:00,14:03,18:52,18:50
봉화산응암순환,응암신내,봉화산응암순환,응암신내
14:08,14:11,-,18:59
신내응암순환,응암봉화산,-,응암봉화산
14:15,14:19,19:01,19:08
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
14:23,14:27,19:10,19:17
봉화산응암순환,응암신내,신내응암순환,응암신내
