동묘앞방면,보문방면,동묘앞방면,보문방면
평일,평일,주말,주말
05:33첫,05:40첫,05:33첫,05:40첫
안암응암순환,한강진신내,안암응암순환,한강진신내
5:40,5:53,5:40,5:53
상월곡응암순환,공덕신내,상월곡응암순환,공덕신내
5:47,,5:47,
봉화산응암순환,,봉화산응암순환,
5:54,,5:56,
봉화산응암순환,,봉화산응암순환,
6:01,6:08,6:05,6:08
신내응암순환,새절신내,신내응암순환,새절신내
6:08,6:18,6:14,6:18
봉화산응암순환,독바위봉화산,봉화산응암순환,독바위봉화산
6:15,6:29,6:23,6:29
봉화산응암순환,응암신내,신내응암순환,응암신내
6:22,6:40,6:32,6:40
신내응암순환,응암봉화산,신내응암순환,응암봉화산
6:28,6:50,6:41,6:49
봉화산응암순환,응암신내,봉화산응암순환,응암신내
6:34,6:58,6:50,6:58
신내응암순환,응암봉화산,신내응암순환,응암봉화산
6:40,,6:59,
봉화산응암순환,,봉화산응암순환,
6:46,,7:08,7:05
봉화산응암순환,,신내응암순환,응암신내
6:51,,7:17,7:13
신내응암순환,,봉화산응암순환,응암봉화산
6:56,,7:26,7:20
봉화산응암순환,,신내응암순환,응암봉화산
7:01,7:05,7:35,7:29
봉화산응암순환,응암신내,봉화산응암순환,응암신내
7:05,7:13,7:44,7:38
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
7:10,7:20,7:53,7:46
신내응암순환,응암신내,봉화산응암순환,응암봉화산
7:14,7:27,,7:55
봉화산응암순환,응암봉화산,,응암신내
7:18,7:34,8:02,8:04
봉화산응암순환,응암신내,신내응암순환,응암봉화산
7:22,7:41,8:11,8:13
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:26,7:48,8:20,8:22
신내응암순환,응암신내,봉화산응암순환,응암신내
7:30,7:55,8:29,8:31
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
7:34,,8:38,8:40
봉화산응암순환,,봉화산응암순환,응암봉화산
7:38,,8:47,8:49
봉화산응암순환,,봉화산응암순환,응암신내
7:42,,8:56,8:58
신내응암순환,,신내응암순환,응암봉화산
7:46,,9:05,9:07
봉화산응암순환,,봉화산응암순환,응암봉화산
7:50,,9:14,9:16
봉화산응암순환,,봉화산응암순환,응암신내
7:54,,9:23,9:25
봉화산응암순환,,신내응암순환,응암봉화산
7:58,,9:32,9:34
신내응암순환,,봉화산응암순환,응암봉화산
8:02,8:01,9:41,9:43
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
8:06,8:07,9:50,9:52
봉화산응암순환,응암신내,신내응암순환,응암봉화산
8:10,8:13,9:59,
봉화산응암순환,응암봉화산,봉화산응암순환,
8:14,8:16,10:08,10:01
신내응암순환,새절봉화산,봉화산응암순환,응암봉화산
8:18,8:20,10:17,10:10
봉화산응암순환,응암봉화산,신내응암순환,응암신내
8:22,8:24,10:26,10:19
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
8:26,8:29,10:35,10:28
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:31,8:33,10:44,10:37
신내응암순환,응암봉화산,신내응암순환,응암신내
8:35,8:38,10:53,10:46
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
8:40,8:42,,10:55
봉화산응암순환,응암봉화산,,응암봉화산
8:44,8:47,11:02,11:04
봉화산새절,응암신내,봉화산응암순환,응암신내
8:49,8:51,11:11,11:13
신내응암순환,응암봉화산,신내응암순환,응암봉화산
8:55,8:55,11:20,11:22
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
,8:59,11:29,11:31
,응암봉화산,봉화산응암순환,응암신내
9:00,9:03,11:38,11:40
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
9:06,9:07,11:47,11:49
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:13,9:11,11:56,11:58
봉화산응암순환,응암신내,봉화산응암순환,응암신내
9:20,9:15,12:05,12:07
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
9:28,9:19,12:14,12:16
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
9:36,9:23,12:23,12:25
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
9:44,9:27,12:32,12:34
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
9:52,9:31,12:41,12:43
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
,9:35,12:50,12:52
,응암신내,봉화산응암순환,응암신내
,9:39,12:59,
,응암봉화산,신내응암순환,
,9:43,13:08,13:01
,응암봉화산,봉화산응암순환,응암봉화산
,9:47,13:17,13:10
,응암봉화산,봉화산응암순환,응암봉화산
,9:51,13:26,13:19
,응암봉화산,신내응암순환,응암신내
,9:55,13:35,13:28
,응암봉화산,봉화산응암순환,응암봉화산
,9:59,13:44,13:37
,응암신내,봉화산응암순환,응암봉화산
10:00,10:03,13:53,13:46
봉화산응암순환,응암봉화산,신내응암순환,응암신내
10:08,10:08,,13:55
봉화산응암순환,응암봉화산,,응암봉화산
10:16,10:14,14:02,14:04
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
10:24,10:22,14:11,14:13
봉화산응암순환,응암신내,봉화산응암순환,응암신내
10:32,10:27,14:20,14:22
봉화산응암순환,응암봉화산,신내응암순환,응암봉화산
10:40,10:33,14:29,14:31
신내응암순환,응암봉화산,봉화산응암순환,응암봉화산
10:48,10:39,14:38,14:40
봉화산응암순환,응암봉화산,봉화산응암순환,응암신내
10:56,10:46,14:47,14:49
봉화산응암순환,응암신내,신내응암순환,응암봉화산
,10:53,14:56,14:58
,응암봉화산,봉화산응암순환,응암봉화산
