석계방면,화랑대방면,석계방면,화랑대방면
평일,평일,주말,주말
05:33첫,05:40첫,05:33첫,05:40첫
봉화산응암순환,안암신내,봉화산응암순환,안암신내
5:40,5:54,5:42,5:54
봉화산응암순환,한강진신내,봉화산응암순환,한강진신내
5:47,-,5:51,-
신내응암순환,-,신내응암순환,-
5:54,-,6:00,6:07
봉화산응암순환,-,봉화산응암순환,공덕신내
6:01,6:07,6:09,6:22
봉화산응암순환,공덕신내,신내응암순환,새절신내
6:08,6:22,6:18,6:33
신내응암순환,새절신내,신내응암순환,독바위봉화산
6:14,6:33,6:27,6:43
봉화산응암순환,독바위봉화산,봉화산응암순환,응암신내
6:20,6:43,6:36,6:54
신내응암순환,응암신내,신내응암순환,응암봉화산
6:26,6:54,6:45,-
봉화산응암순환,응암봉화산,봉화산응암순환,-
6:32,-,6:54,-
봉화산응암순환,-,신내응암순환,-
6:37,-,7:03,7:03
신내응암순환,-,봉화산응암순환,응암신내
6:42,-,7:12,7:12
봉화산응암순환,-,신내응암순환,응암봉화산
6:47,-,7:21,7:19
봉화산응암순환,-,봉화산응암순환,응암신내
6:51,-,7:30,7:27
봉화산응암순환,-,신내응암순환,응암봉화산
6:56,-,7:39,7:34
신내응암순환,-,봉화산응암순환,응암봉화산
7:00,7:04,7:48,7:43
봉화산응암순환,응암신내,신내응암순환,응암신내
7:04,7:12,7:57,7:52
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:08,7:19,8:06,8:00
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
7:12,7:27,8:15,8:09
신내응암순환,응암봉화산,신내응암순환,응암신내
7:16,7:34,8:24,8:18
봉화산응암순환,응암신내,봉화산응암순환,응암봉화산
7:20,7:41,8:33,8:27
봉화산응암순환,응암봉화산,봉화산응암순환,응암봉화산
7:24,7:48,8:42,8:36
봉화산응암순환,응암신내,신내응암순환,응암신내
7:28,7:55,8:51,8:45
