청담방면,학동방면,청담방면,학동방면
평일,평일,주말,주말
05:48첫,05:33첫,05:49첫,05:33첫
내방장암,청담석남,내방장암,청담석남
,5:44,,5:44
,건대입구석남,,건대입구석남
,5:57,,5:57
,태릉입구석남,,태릉입구석남
6:01,6:09,6:01,6:09
신풍장암,도봉산석남,신풍장암,도봉산석남
6:13,6:19,6:13,6:19
온수장암,장암석남,온수도봉산,장암석남
6:23,6:27,6:23,6:29
온수장암,도봉산석남,온수장암,도봉산석남
6:34,6:34,6:34,6:39
석남장암,도봉산석남,석남도봉산,장암온수
6:42,6:41,6:41,6:48
온수도봉산,장암석남,온수도봉산,도봉산석남
6:49,6:48,6:50,6:56
석남장암,도봉산석남,석남장암,장암석남
6:56,6:54,6:58,
온수장암,도봉산석남,석남도봉산,
7:02,7:00,7:06,7:03
석남도봉산,장암석남,온수도봉산,도봉산온수
7:09,7:06,7:13,7:10
온수장암,도봉산석남,석남장암,장암석남
7:15,7:12,7:20,7:17
석남도봉산,장암석남,온수도봉산,도봉산온수
7:21,7:18,7:27,7:24
온수장암,도봉산석남,석남장암,장암석남
7:27,7:24,7:34,7:31
석남도봉산,장암석남,석남도봉산,도봉산온수
7:33,7:30,7:41,7:38
온수장암,도봉산석남,석남장암,도봉산석남
7:39,7:35,7:47,7:45
석남도봉산,도봉산석남,온수도봉산,장암온수
7:45,7:40,7:54,7:52
온수장암,장암석남,석남장암,도봉산석남
7:50,7:45,,7:59
석남도봉산,도봉산석남,,도봉산온수
7:55,7:49,8:00,8:06
온수장암,장암온수,온수도봉산,도봉산석남
,7:54,8:07,8:13
,도봉산석남,석남도봉산,장암온수
,7:58,8:13,8:20
,장암온수,온수장암,도봉산석남
8:00,8:02,8:20,8:27
석남도봉산,도봉산석남,석남도봉산,도봉산온수
8:05,8:06,8:26,8:33
석남장암,도봉산온수,온수장암,도봉산석남
8:09,8:10,8:33,8:40
온수도봉산,장암석남,석남도봉산,장암온수
8:13,8:14,8:39,8:47
석남도봉산,도봉산온수,온수장암,도봉산석남
8:17,8:17,8:46,8:53
석남장암,도봉산석남,석남도봉산,장암온수
8:21,8:20,8:52,
석남도봉산,도봉산온수,온수장암,
8:25,8:22,8:59,
석남도봉산,도봉산온수,석남도봉산,
8:30,8:25,9:05,9:00
석남장암,장암석남,온수장암,도봉산석남
8:34,8:28,9:12,9:06
석남도봉산,도봉산온수,석남도봉산,장암온수
8:38,8:30,9:18,9:13
석남도봉산,도봉산온수,온수장암,도봉산석남
8:42,8:33,9:25,9:19
온수장암,도봉산석남,석남도봉산,장암온수
8:45,8:36,9:31,9:26
석남도봉산,장암온수,온수장암,도봉산석남
8:49,8:39,9:38,9:32
석남도봉산,도봉산온수,석남도봉산,장암온수
8:53,8:42,9:44,9:39
석남수락산,도봉산석남,온수장암,도봉산석남
8:55,8:44,9:51,9:45
석남장암,도봉산온수,석남도봉산,도봉산온수
8:58,8:47,9:57,9:52
석남도봉산,도봉산온수,온수장암,장암석남
,8:49,,9:58
,장암석남,,도봉산온수
,8:52,10:04,10:05
,도봉산온수,석남도봉산,장암석남
,8:55,10:10,10:11
,도봉산온수,온수장암,도봉산온수
,8:58,10:17,10:18
,도봉산석남,석남도봉산,장암석남
9:01,9:01,10:24,10:24
석남도봉산,장암온수,온수장암,도봉산온수
9:05,9:05,10:30,10:31
석남도봉산,도봉산온수,석남도봉산,장암석남
9:09,9:08,10:37,10:37
석남장암,도봉산석남,온수장암,도봉산온수
9:12,9:12,10:43,10:44
석남도봉산,장암온수,석남도봉산,장암석남
9:16,9:15,10:50,10:50
석남도봉산,도봉산온수,온수장암,도봉산온수
9:20,9:19,10:56,10:57
석남도봉산,도봉산석남,석남도봉산,장암석남
9:24,9:23,11:03,11:03
석남장암,장암온수,온수장암,도봉산온수
9:28,9:28,11:09,11:10
석남도봉산,도봉산온수,석남도봉산,장암석남
9:32,9:33,11:16,11:16
석남도봉산,장암석남,온수장암,도봉산온수
9:36,9:38,11:22,11:23
석남장암,도봉산온수,석남도봉산,장암석남
9:40,9:43,11:29,11:29
온수도봉산,장암온수,온수장암,도봉산온수
9:44,9:48,11:35,11:36
석남도봉산,도봉산석남,석남도봉산,장암석남
9:48,9:54,11:42,11:43
석남도봉산,장암온수,온수장암,도봉산온수
9:52,,11:48,11:49
석남장암,,석남도봉산,장암석남
9:58,,11:55,11:56
석남도봉산,,온수장암,도봉산온수
10:03,10:00,12:01,12:02
온수장암,도봉산석남,석남도봉산,장암석남
10:07,10:06,12:08,12:09
석남도봉산,장암온수,온수장암,도봉산온수
10:12,10:12,12:14,12:15
온수도봉산,도봉산석남,석남도봉산,장암석남
10:17,10:18,12:21,12:22
석남장암,장암온수,온수장암,도봉산온수
10:23,10:24,12:27,12:28
석남도봉산,도봉산석남,석남도봉산,장암석남
10:28,10:30,12:34,12:35
석남장암,도봉산온수,온수장암,도봉산온수
10:34,10:36,12:40,12:41
석남도봉산,장암석남,석남도봉산,장암석남
10:40,10:42,12:47,12:48
석남장암,도봉산온수,온수장암,도봉산온수
10:46,10:48,12:53,12:54
석남도봉산,장암석남,석남도봉산,장암석남
10:52,10:54,13:00,13:01
온수장암,도봉산온수,온수장암,도봉산온수
10:58,,13:06,13:07
석남도봉산,,석남도봉산,장암석남
11:04,11:00,13:13,13:14
석남장암,장암석남,온수장암,도봉산온수
11:10,11:06,13:20,13:20
온수도봉산,도봉산온수,석남도봉산,장암석남
11:16,11:12,13:26,13:27
석남장암,도봉산석남,온수장암,도봉산온수
11:22,11:18,13:33,13:33
석남도봉산,장암온수,석남도봉산,장암석남
11:28,11:24,13:39,13:40
온수장암,도봉산석남,온수장암,도봉산온수
11:34,11:30,13:46,13:46
석남도봉산,장암온수,석남도봉산,장암석남
11:40,11:36,13:52,13:53
온수장암,도봉산석남,온수장암,도봉산온수
11:46,11:42,13:59,13:59
석남도봉산,장암온수,석남도봉산,장암석남
11:52,11:48,14:05,14:06
온수장암,도봉산석남,온수장암,도봉산온수
11:58,11:54,14:12,14:12
