반포방면,내방방면,반포방면,내방방면
평일,평일,주말,주말
05:41첫,05:40첫,05:41첫,05:40첫
내방장암,청담석남,내방장암,청담석남
5:54,5:52,5:54,5:52
신풍장암,건대입구석남,신풍장암,건대입구석남
6:06,6:04,6:06,6:04
온수장암,태릉입구석남,온수도봉산,태릉입구석남
6:16,6:16,6:16,6:16
온수장암,도봉산석남,온수장암,도봉산석남
6:27,6:26,6:27,6:26
석남장암,장암석남,석남도봉산,장암석남
6:35,6:34,6:34,6:36
온수도봉산,도봉산석남,온수도봉산,도봉산석남
6:42,6:41,6:43,6:46
석남장암,도봉산석남,석남장암,장암온수
6:49,6:48,6:51,6:55
온수장암,장암석남,석남도봉산,도봉산석남
6:55,6:55,6:59,-
석남도봉산,도봉산석남,온수도봉산,-
7:02,7:01,7:06,7:03
온수장암,도봉산석남,석남장암,장암석남
7:08,7:08,7:13,7:10
석남도봉산,장암석남,온수도봉산,도봉산온수
7:14,7:14,7:20,7:17
온수장암,도봉산석남,석남장암,장암석남
7:20,7:20,7:27,7:24
석남도봉산,장암석남,석남도봉산,도봉산온수
7:25,7:26,7:34,7:31
온수장암,도봉산석남,석남장암,장암석남
7:32,7:31,7:40,7:38
석남도봉산,장암석남,온수도봉산,도봉산온수
7:37,7:37,7:47,7:45
온수장암,도봉산석남,석남장암,도봉산석남
7:42,7:42,7:53,7:52
석남도봉산,도봉산석남,온수도봉산,장암온수
7:47,7:47,-,7:59
온수장암,장암석남,-,도봉산석남
7:52,7:52,8:00,8:06
석남도봉산,도봉산석남,석남도봉산,도봉산온수
7:58,7:56,8:06,8:13
석남장암,장암온수,온수장암,도봉산석남
8:02,8:01,8:13,8:20
온수도봉산,도봉산석남,석남도봉산,장암온수
8:06,8:05,8:19,8:27
석남도봉산,장암온수,온수장암,도봉산석남
8:10,8:09,8:26,8:34
석남장암,도봉산석남,석남도봉산,도봉산온수
8:14,8:13,8:32,8:40
석남도봉산,도봉산온수,온수장암,도봉산석남
8:18,8:17,8:39,8:47
석남도봉산,장암석남,석남도봉산,장암온수
8:22,8:21,8:45,8:54
석남장암,도봉산온수,온수장암,도봉산석남
8:26,8:24,8:52,-
석남도봉산,도봉산석남,석남도봉산,-
8:30,8:27,8:58,-
석남도봉산,도봉산온수,온수장암,-
8:34,8:29,9:05,9:00
온수장암,도봉산온수,석남도봉산,장암온수
8:38,8:32,9:11,9:07
석남도봉산,장암석남,온수장암,도봉산석남
8:41,8:35,9:18,9:13
석남도봉산,도봉산온수,석남도봉산,장암온수
8:45,8:38,9:24,9:20
석남수락산,도봉산온수,온수장암,도봉산석남
8:48,8:41,9:31,9:26
석남장암,도봉산석남,석남도봉산,장암온수
8:51,8:44,9:37,9:33
