대림방면,가산디지털단지방면,대림방면,가산디지털단지방면
평일,평일,주말,주말
05:41첫,05:34첫,05:41첫,05:34첫
온수장암,신풍석남,온수도봉산,신풍석남
5:51,5:51,05:51첫,5:51
온수장암,내방석남,온수장암,내방석남
6:03,6:04,6:02,6:04
석남장암,청담석남,석남도봉산,청담석남
6:10,6:16,6:09,6:16
온수도봉산,건대입구석남,온수도봉산,건대입구석남
6:18,6:28,6:18,6:28
석남장암,태릉입구석남,석남장암,태릉입구석남
6:25,6:40,6:26,6:40
온수장암,도봉산석남,석남도봉산,도봉산석남
6:31,6:50,6:34,6:50
석남도봉산,장암석남,온수도봉산,장암석남
6:38,6:58,6:41,-
온수장암,도봉산석남,석남장암,-
6:44,-,6:48,-
석남도봉산,-,온수도봉산,-
6:50,-,6:55,-
온수장암,-,석남장암,-
6:56,-,7:02,7:00
석남도봉산,-,석남도봉산,도봉산석남
7:01,7:05,7:09,7:10
온수장암,도봉산석남,석남장암,장암온수
7:08,7:12,7:16,7:19
석남도봉산,장암석남,온수도봉산,도봉산석남
7:13,7:19,7:22,7:27
온수장암,도봉산석남,석남장암,장암석남
7:18,7:25,7:29,7:34
석남도봉산,도봉산석남,온수도봉산,도봉산온수
7:23,7:32,7:35,7:41
온수장암,장암석남,석남도봉산,장암석남
7:28,7:38,7:42,7:48
석남도봉산,도봉산석남,온수장암,도봉산온수
7:33,7:44,7:48,7:55
석남장암,장암석남,석남도봉산,장암석남
7:37,7:50,7:55,-
온수도봉산,도봉산석남,온수장암,-
7:41,7:55,8:01,8:02
석남도봉산,장암석남,석남도봉산,도봉산온수
7:45,-,8:08,8:09
석남장암,-,온수장암,도봉산석남
7:49,-,8:14,8:16
석남도봉산,-,석남도봉산,장암온수
7:53,-,8:21,8:23
석남도봉산,-,온수장암,도봉산석남
7:57,-,8:27,8:30
석남장암,-,석남도봉산,도봉산온수
8:01,8:01,8:34,8:37
석남도봉산,도봉산석남,온수장암,도봉산석남
8:05,8:06,8:40,8:44
석남도봉산,도봉산석남,석남도봉산,장암온수
8:09,8:11,8:47,8:51
온수장암,장암석남,온수장암,도봉산석남
8:13,8:16,8:53,8:58
석남도봉산,도봉산석남,석남도봉산,도봉산온수
8:16,8:21,9:00,9:04
석남도봉산,장암온수,온수장암,도봉산석남
8:20,8:25,9:06,9:11
석남수락산,도봉산석남,석남도봉산,장암온수
8:23,8:30,9:13,9:18
석남장암,장암온수,온수장암,도봉산석남
8:25,8:34,9:19,9:24
석남도봉산,도봉산석남,석남도봉산,장암온수
8:28,8:38,9:26,9:31
석남도봉산,도봉산온수,온수장암,도봉산석남
8:32,8:42,9:32,9:37
석남도봉산,장암석남,석남도봉산,장암온수
8:36,8:46,9:39,9:44
석남장암,도봉산온수,온수장암,도봉산석남
8:39,8:49,9:46,9:50
석남도봉산,도봉산석남,석남도봉산,장암온수
8:43,8:52,9:52,9:57
석남도봉산,도봉산온수,온수장암,도봉산석남
8:47,8:54,9:59,-
석남도봉산,도봉산온수,석남도봉산,-
8:51,8:57,10:05,10:03
석남장암,장암석남,온수장암,장암온수
8:55,-,10:12,10:10
석남도봉산,-,석남도봉산,도봉산석남
8:59,-,10:18,10:16
석남도봉산,-,온수장암,도봉산온수
9:03,9:00,10:25,10:23
석남장암,도봉산온수,석남도봉산,장암석남
9:07,9:03,10:31,10:29
온수도봉산,도봉산온수,온수장암,도봉산온수
9:11,9:06,10:38,10:36
석남도봉산,도봉산석남,석남도봉산,장암석남
9:15,9:09,10:44,10:42
석남도봉산,장암온수,온수장암,도봉산온수
9:20,9:12,10:51,10:49
석남장암,도봉산온수,석남도봉산,장암석남
9:26,9:15,10:57,10:55
석남도봉산,도봉산석남,온수장암,도봉산온수
9:31,9:17,11:04,11:02
온수장암,도봉산온수,석남도봉산,장암석남
9:35,9:20,11:10,11:08
석남도봉산,도봉산온수,온수장암,도봉산온수
9:40,9:22,11:17,11:15
온수도봉산,장암석남,석남도봉산,장암석남
9:45,9:25,11:23,11:21
석남장암,도봉산온수,온수장암,도봉산온수
9:52,9:28,11:30,11:28
석남도봉산,도봉산온수,석남도봉산,장암석남
9:56,9:31,11:36,11:34
석남장암,도봉산석남,온수장암,도봉산온수
-,9:34,11:43,11:41
-,장암온수,석남도봉산,장암석남
-,9:37,11:49,11:47
-,도봉산온수,온수장암,도봉산온수
-,9:40,11:56,11:54
-,도봉산석남,석남도봉산,장암석남
-,9:44,12:02,12:00
-,장암온수,온수장암,도봉산온수
-,9:47,12:09,12:07
-,도봉산온수,석남도봉산,장암석남
-,9:51,12:15,12:14
-,도봉산석남,온수장암,도봉산온수
-,9:55,12:22,12:20
-,장암온수,석남도봉산,장암석남
-,9:59,12:28,12:27
-,도봉산온수,온수장암,도봉산온수
10:02,10:04,12:35,12:33
석남도봉산,장암석남,석남도봉산,장암석남
10:08,10:09,12:41,12:40
석남장암,도봉산온수,온수장암,도봉산온수
10:14,10:14,12:48,12:46
석남도봉산,장암온수,석남도봉산,장암석남
10:20,10:19,12:55,12:53
온수장암,도봉산석남,온수장암,도봉산온수
10:26,10:25,-,12:59
석남도봉산,장암온수,-,장암석남
10:32,10:31,13:01,13:06
석남장암,도봉산석남,석남도봉산,도봉산온수
10:38,10:37,13:08,13:12
온수도봉산,장암온수,온수장암,장암석남
10:44,10:43,13:14,13:19
석남장암,도봉산석남,석남도봉산,도봉산온수
10:50,10:49,13:21,13:25
석남도봉산,장암온수,온수장암,장암석남
10:56,10:55,13:27,13:32
온수장암,도봉산석남,석남도봉산,도봉산온수
11:02,11:01,13:34,13:38
석남도봉산,도봉산온수,온수장암,장암석남
11:08,11:07,13:40,13:45
온수장암,장암석남,석남도봉산,도봉산온수
11:14,11:13,13:47,13:51
석남도봉산,도봉산온수,온수장암,장암석남
11:20,11:19,13:53,13:58
온수장암,장암석남,석남도봉산,도봉산온수
11:26,11:25,14:00,14:04
석남도봉산,도봉산온수,온수장암,장암석남
11:32,11:31,14:06,14:11
온수장암,장암석남,석남도봉산,도봉산온수
11:38,11:37,14:13,14:17
석남도봉산,도봉산온수,온수장암,장암석남
11:44,11:43,14:19,14:24
온수장암,도봉산석남,석남도봉산,도봉산온수
11:50,11:49,14:26,14:30
석남도봉산,장암온수,온수장암,장암석남
11:56,11:55,14:32,14:37
온수장암,도봉산석남,석남도봉산,도봉산온수
12:02,12:01,14:39,14:43
석남도봉산,장암온수,온수장암,장암석남
12:08,12:07,14:45,14:50
온수장암,도봉산석남,석남도봉산,도봉산온수
12:14,12:13,14:52,14:56
석남도봉산,장암온수,온수장암,장암석남
12:20,12:19,14:58,-
온수장암,도봉산석남,석남도봉산,-
12:26,12:25,15:05,15:03
석남도봉산,장암온수,온수장암,도봉산온수
12:32,12:31,15:11,15:10
온수장암,도봉산석남,석남도봉산,장암석남
12:38,12:37,15:18,15:16
석남도봉산,장암온수,온수장암,도봉산온수
12:44,12:43,15:24,15:23
온수장암,도봉산석남,석남도봉산,장암석남
12:50,12:49,15:31,15:29
석남도봉산,장암온수,온수장암,도봉산온수
12:56,12:55,15:38,15:36
온수장암,도봉산석남,석남도봉산,장암석남
13:02,13:01,15:44,15:42
석남도봉산,장암온수,온수장암,도봉산온수
13:08,13:07,15:51,15:49
온수장암,도봉산석남,석남도봉산,장암석남
13:14,13:13,15:57,15:55
석남도봉산,장암온수,온수장암,도봉산온수
13:20,13:19,16:04,16:02
온수장암,도봉산석남,석남도봉산,장암석남
13:26,13:25,16:10,16:08
석남도봉산,장암온수,온수장암,도봉산온수
13:32,13:31,16:17,16:15
온수장암,도봉산석남,석남도봉산,장암석남
13:38,13:37,16:23,16:21
석남도봉산,장암온수,온수장암,도봉산온수
13:44,13:43,16:30,16:28
온수장암,도봉산석남,석남도봉산,장암석남
13:50,13:49,16:36,16:34
석남도봉산,장암온수,온수장암,도봉산온수
13:56,13:55,16:43,16:41
온수장암,도봉산석남,석남도봉산,장암석남
14:02,14:01,16:49,16:47
석남도봉산,장암온수,온수장암,도봉산온수
14:08,14:07,16:56,16:54
온수장암,도봉산석남,석남도봉산,장암석남
14:14,14:13,17:02,17:00
석남도봉산,장암온수,온수장암,도봉산온수
14:20,14:19,17:09,17:07
온수장암,도봉산석남,석남도봉산,장암석남
14:26,14:25,17:15,17:13
석남도봉산,장암온수,온수장암,도봉산온수
14:32,14:31,17:22,17:20
온수장암,도봉산석남,석남도봉산,장암석남
14:38,14:37,17:28,17:26
석남도봉산,장암온수,온수장암,도봉산온수
14:44,14:43,17:35,17:33
온수장암,도봉산석남,석남도봉산,장암석남
14:50,14:49,17:41,17:39
석남도봉산,장암온수,온수장암,도봉산온수
14:56,14:55,17:48,17:46
온수장암,도봉산석남,석남도봉산,장암석남
15:02,15:01,17:54,17:52
석남도봉산,장암온수,온수장암,도봉산온수
15:08,15:07,-,17:59
온수장암,도봉산석남,-,장암석남
15:14,15:13,18:01,18:06
석남도봉산,장암온수,석남도봉산,도봉산온수
15:20,15:19,18:07,18:12
온수장암,도봉산석남,온수장암,장암석남
15:26,15:25,18:14,18:19
석남도봉산,장암온수,석남도봉산,도봉산온수
15:32,15:31,18:20,18:25
온수장암,도봉산석남,온수장암,장암석남
15:38,15:37,18:27,18:32
석남도봉산,장암온수,석남도봉산,도봉산온수
15:44,15:43,18:34,18:38
온수장암,도봉산석남,온수장암,장암석남
15:50,15:49,18:40,18:45
석남도봉산,장암온수,석남도봉산,도봉산온수
15:56,15:55,18:47,18:52
온수장암,도봉산석남,온수장암,장암석남
16:02,16:01,18:54,18:58
석남도봉산,장암온수,석남도봉산,도봉산온수
16:08,16:07,19:00,19:04
온수장암,도봉산석남,온수장암,장암석남
16:14,16:13,19:06,19:11
석남도봉산,장암온수,석남도봉산,도봉산온수
16:20,16:19,19:13,19:18
온수장암,도봉산석남,온수장암,장암석남
16:26,16:25,19:19,19:24
석남도봉산,장암온수,석남도봉산,도봉산온수
16:32,16:31,19:26,19:30
온수장암,도봉산석남,온수장암,장암석남
16:38,16:37,19:33,19:37
석남도봉산,장암석남,석남도봉산,도봉산온수
16:44,16:43,19:39,19:43
온수장암,도봉산석남,온수장암,장암석남
16:50,16:49,19:46,19:50
석남도봉산,장암온수,석남도봉산,도봉산온수
16:56,16:55,19:53,19:56
온수장암,도봉산석남,온수장암,장암석남
17:02,17:01,20:00,20:03
석남도봉산,장암온수,석남도봉산,도봉산온수
17:08,17:07,20:06,20:09
온수장암,도봉산석남,온수장암,장암석남
17:13,17:13,20:13,20:16
석남도봉산,장암석남,석남도봉산,도봉산온수
17:18,17:19,20:19,20:22
온수장암,도봉산석남,온수도봉산,장암석남
17:23,17:25,20:26,20:29
온수도봉산,장암석남,석남장암,도봉산온수
17:28,17:31,20:32,20:35
석남도봉산,도봉산석남,온수도봉산,장암석남
17:32,17:37,20:39,20:42
온수장암,장암석남,석남도봉산,도봉산온수
17:37,17:43,20:45,20:49
석남도봉산,도봉산석남,온수장암,장암석남
17:42,17:49,20:52,20:55
온수도봉산,장암석남,석남도봉산,도봉산온수
17:46,17:55,20:58,-
온수장암,도봉산석남,온수장암,-
17:50,-,21:05,21:02
석남도봉산,-,석남장암,장암석남
17:53,-,21:12,21:08
온수도봉산,-,온수도봉산,도봉산온수
17:57,-,21:19,21:15
온수도봉산,-,석남장암,장암석남
18:00,18:00,21:26,21:21
석남도봉산,장암석남,온수도봉산,도봉산온수
18:03,18:05,21:33,21:28
온수장암,도봉산석남,석남도봉산,장암석남
18:06,18:10,21:40,21:34
석남도봉산,장암석남,온수도봉산,도봉산온수
18:10,18:16,21:47,21:41
온수도봉산,도봉산석남,석남도봉산,장암석남
18:13,18:21,21:54,21:47
온수장암,도봉산석남,온수장암,도봉산온수
18:16,18:26,-,21:54
석남도봉산,장암석남,-,장암석남
18:19,18:31,22:01,22:01
온수도봉산,도봉산석남,석남도봉산,도봉산온수
18:22,18:36,22:08,22:07
온수도봉산,장암석남,온수도봉산,장암석남
18:25,18:41,22:14,22:14
석남장암,도봉산석남,석남장암,도봉산온수
18:28,18:45,22:22,22:21
온수도봉산,도봉산석남,석남도봉산,장암석남
18:31,18:50,22:31,22:28
석남도봉산,장암석남,석남도봉산,도봉산온수
18:34,18:53,22:42막,22:35
온수도봉산,도봉산온수,온수장암,장암석남
18:38,18:56,22:51,22:42
석남장암,도봉산석남,석남도봉산,도봉산온수
18:41,18:59,-,22:48
온수도봉산,도봉산온수,-,도봉산석남
18:45,-,-,22:55
석남도봉산,-,-,장암온수
18:49,-,23:01막,23:04
온수장암,-,석남도봉산,도봉산석남
18:53,-,23:11막,23:12
석남도봉산,-,석남태릉입구,장암온수
18:58,-,23:23막,23:20
석남도봉산,-,온수건대입구,도봉산석남
19:03,19:02,23:32막,23:28
석남장암,장암석남,석남청담,장암온수
19:08,19:05,23:43막,23:35막
석남도봉산,도봉산온수,석남내방,장암석남
19:13,19:09,-,23:41
석남장암,도봉산석남,-,도봉산온수
19:18,19:13,-,23:48
석남도봉산,장암온수,-,장암온수
19:24,19:18,-,23:58막
석남도봉산,도봉산석남,-,도봉산온수
19:29,19:22,-,-
석남장암,도봉산온수,-,-
19:35,19:27,-,-
석남도봉산,장암석남,-,-
19:41,19:32,-,-
석남장암,도봉산온수,-,-
19:47,19:37,-,-
석남도봉산,장암석남,-,-
19:53,19:42,-,-
석남도봉산,도봉산온수,-,-
19:59,19:47,-,-
석남장암,장암석남,-,-
-,19:52,-,-
-,도봉산온수,-,-
-,19:57,-,-
-,도봉산석남,-,-
20:05,20:02,-,-
석남도봉산,장암온수,-,-
20:11,20:07,-,-
석남도봉산,도봉산석남,-,-
20:17,20:12,-,-
석남도봉산,도봉산온수,-,-
20:24,20:17,-,-
석남장암,장암석남,-,-
20:31,20:22,-,-
석남도봉산,도봉산온수,-,-
20:38,20:27,-,-
석남도봉산,도봉산석남,-,-
20:45,20:32,-,-
석남장암,장암온수,-,-
20:52,20:37,-,-
석남도봉산,도봉산석남,-,-
20:59,20:43,-,-
석남도봉산,장암온수,-,-
-,20:49,-,-
-,도봉산석남,-,-
-,20:55,-,-
-,장암온수,-,-
21:07,21:01,-,-
석남장암,도봉산석남,-,-
21:13,21:07,-,-
온수도봉산,장암온수,-,-
21:20,21:13,-,-
석남장암,도봉산석남,-,-
21:28,21:19,-,-
석남도봉산,장암온수,-,-
21:35,21:25,-,-
온수도봉산,도봉산석남,-,-
21:43,21:31,-,-
석남장암,장암온수,-,-
21:50,21:36,-,-
석남도봉산,도봉산석남,-,-
21:58,21:43,-,-
석남도봉산,장암온수,-,-
-,21:50,-,-
-,도봉산석남,-,-
-,21:57,-,-
-,장암온수,-,-
22:05,22:04,-,-
온수도봉산,도봉산석남,-,-
22:13,22:11,-,-
석남장암,장암온수,-,-
22:20,22:18,-,-
온수도봉산,도봉산석남,-,-
22:28,22:26,-,-
석남도봉산,장암온수,-,-
22:35,22:33,-,-
석남장암,도봉산석남,-,-
22:43,22:41,-,-
온수도봉산,장암온수,-,-
22:50,22:50,-,-
석남장암,도봉산석남,-,-
23:03,23:00,-,-
석남도봉산,도봉산온수,-,-
23:15막,23:10,-,-
석남장암,장암석남,-,-
23:31,23:20,-,-
석남도봉산,도봉산온수,-,-
23:45막,23:30,-,-
석남도봉산,장암석남,-,-
23:54,23:41,-,-
온수청담,도봉산온수,-,-
-,23:49,-,-
-,장암석남,-,-
-,23:59,-,-
-,도봉산온수,-,-
00:03막,0:09,-,-
석남태릉입구,장암석남,-,-
00:17막,0:18,-,-
석남건대입구,도봉산온수,-,-
00:37막,00:28막,-,-
석남내방,도봉산석남,-,-
-,00:48막,-,-
-,도봉산온수,-,-
