이수방면,숭실대입구방면,이수방면,숭실대입구방면
평일,평일,주말,주말
05:47첫,05:34첫,05:47첫,05:34첫
신풍장암,내방석남,신풍장암,내방석남
5:58,5:47,5:58,5:47
온수장암,청담석남,온수도봉산,청담석남
-,5:59,-,5:59
-,건대입구석남,-,건대입구석남
6:08,6:11,6:08,6:11
온수장암,태릉입구석남,온수장암,태릉입구석남
6:20,6:23,6:19,6:23
석남장암,도봉산석남,석남도봉산,도봉산석남
6:27,6:33,6:26,6:33
온수도봉산,장암석남,온수도봉산,장암석남
6:35,6:41,6:35,6:43
석남장암,도봉산석남,석남장암,도봉산석남
6:42,6:48,6:43,6:53
온수장암,도봉산석남,석남도봉산,장암온수
6:48,6:55,6:51,-
석남도봉산,장암석남,온수도봉산,-
6:55,-,6:58,-
온수장암,-,석남장암,-
7:01,7:02,7:05,7:02
석남도봉산,도봉산석남,온수도봉산,도봉산석남
7:07,7:08,7:12,7:10
온수장암,도봉산석남,석남장암,장암석남
7:13,7:15,7:19,7:17
석남도봉산,장암석남,석남도봉산,도봉산온수
7:18,7:21,7:26,7:24
온수장암,도봉산석남,석남장암,장암석남
7:25,7:27,7:33,7:31
석남도봉산,장암석남,온수도봉산,도봉산온수
7:30,7:33,7:39,7:38
온수장암,도봉산석남,석남장암,장암석남
7:35,7:38,7:46,7:45
석남도봉산,장암석남,온수도봉산,도봉산온수
7:40,7:44,7:52,7:52
온수장암,도봉산석남,석남도봉산,도봉산석남
7:45,7:49,7:59,7:59
석남도봉산,도봉산석남,온수장암,장암온수
7:50,7:54,8:05,8:06
석남장암,장암석남,석남도봉산,도봉산석남
7:54,7:59,8:12,8:13
온수도봉산,도봉산석남,온수장암,도봉산온수
7:58,-,8:18,8:20
석남도봉산,-,석남도봉산,도봉산석남
8:03,8:04,8:25,8:27
석남장암,장암온수,온수장암,장암온수
8:07,8:08,8:31,8:34
석남도봉산,도봉산석남,석남도봉산,도봉산석남
8:11,8:12,8:38,8:41
석남도봉산,장암온수,온수장암,도봉산온수
8:15,8:16,8:44,8:47
석남장암,도봉산석남,석남도봉산,도봉산석남
8:19,8:21,8:51,8:54
석남도봉산,도봉산온수,온수장암,장암온수
8:23,8:24,8:57,-
석남도봉산,장암석남,석남도봉산,-
8:27,8:28,9:04,9:01
온수장암,도봉산온수,온수장암,도봉산석남
8:31,8:32,9:10,9:07
석남도봉산,도봉산석남,석남도봉산,장암온수
8:34,8:34,9:17,9:14
석남도봉산,도봉산온수,온수장암,도봉산석남
8:38,8:37,9:23,9:20
석남수락산,도봉산온수,석남도봉산,장암온수
8:41,8:39,9:30,9:27
석남장암,장암석남,온수장암,도봉산석남
8:43,8:43,9:36,9:33
석남도봉산,도봉산온수,석남도봉산,장암온수
8:46,8:45,9:43,9:40
석남도봉산,도봉산온수,온수장암,도봉산석남
8:50,8:48,9:49,9:46
석남도봉산,도봉산석남,석남도봉산,장암온수
8:54,8:51,9:56,9:53
석남장암,장암온수,온수장암,도봉산석남
8:57,8:54,-,9:59
석남도봉산,도봉산온수,-,도봉산온수
-,8:57,10:03,10:06
-,도봉산석남,석남도봉산,장암석남
-,8:59,10:09,10:12
-,도봉산온수,온수장암,도봉산온수
9:01,9:02,10:16,10:19
석남도봉산,도봉산온수,석남도봉산,장암석남
9:05,9:04,10:22,10:25
석남도봉산,장암석남,온수장암,도봉산온수
9:09,9:07,10:29,10:32
석남장암,도봉산온수,석남도봉산,장암석남
9:13,9:10,10:35,10:38
석남도봉산,도봉산온수,온수장암,도봉산온수
9:17,9:13,10:42,10:45
석남도봉산,도봉산석남,석남도봉산,장암석남
9:21,9:16,10:48,10:51
석남장암,장암온수,온수장암,도봉산온수
9:25,9:19,10:55,10:58
온수도봉산,도봉산온수,석남도봉산,장암석남
9:29,9:23,11:01,11:04
석남도봉산,도봉산석남,온수장암,도봉산온수
9:33,9:26,11:08,11:11
석남도봉산,장암온수,석남도봉산,장암석남
9:38,9:30,11:14,11:17
석남장암,도봉산온수,온수장암,도봉산온수
9:43,9:34,11:21,11:24
석남도봉산,도봉산석남,석남도봉산,장암석남
9:48,9:38,11:27,11:30
온수장암,장암온수,온수장암,도봉산온수
9:53,9:42,11:34,11:37
석남도봉산,도봉산온수,석남도봉산,장암석남
9:58,9:47,11:40,11:43
온수도봉산,장암석남,온수장암,도봉산온수
-,9:52,11:47,11:50
-,도봉산온수,석남도봉산,장암석남
-,9:57,11:53,11:57
-,장암온수,온수장암,도봉산온수
10:03,10:02,12:00,12:03
석남장암,도봉산석남,석남도봉산,장암석남
10:09,10:08,12:06,12:10
석남도봉산,장암온수,온수장암,도봉산온수
10:13,10:14,12:13,12:16
석남장암,도봉산석남,석남도봉산,장암석남
10:19,10:20,12:19,12:23
석남도봉산,장암온수,온수장암,도봉산온수
10:25,10:26,12:26,12:29
석남장암,도봉산석남,석남도봉산,장암석남
10:31,10:32,12:32,12:36
석남도봉산,장암온수,온수장암,도봉산온수
10:37,10:38,12:39,12:42
온수장암,도봉산석남,석남도봉산,장암석남
10:43,10:44,12:45,12:49
석남도봉산,도봉산온수,온수장암,도봉산온수
10:49,10:50,12:52,12:55
석남장암,장암석남,석남도봉산,장암석남
10:55,10:56,12:58,-
온수도봉산,도봉산온수,온수장암,-
11:01,11:02,13:05,13:02
석남장암,장암석남,석남도봉산,도봉산온수
11:07,11:08,13:12,13:08
석남도봉산,도봉산온수,온수장암,장암석남
11:13,11:14,13:18,13:15
온수장암,장암석남,석남도봉산,도봉산온수
11:19,11:20,13:25,13:21
석남도봉산,도봉산온수,온수장암,장암석남
11:25,11:26,13:31,13:28
온수장암,도봉산석남,석남도봉산,도봉산온수
11:31,11:32,13:38,13:34
석남도봉산,장암온수,온수장암,장암석남
11:37,11:38,13:44,13:41
온수장암,도봉산석남,석남도봉산,도봉산온수
11:43,11:44,13:51,13:47
석남도봉산,장암온수,온수장암,장암석남
11:49,11:50,13:57,13:54
온수장암,도봉산석남,석남도봉산,도봉산온수
11:55,11:56,14:04,14:00
석남도봉산,장암온수,온수장암,장암석남
12:01,12:02,14:10,14:07
온수장암,도봉산석남,석남도봉산,도봉산온수
12:07,12:08,14:17,14:13
석남도봉산,장암온수,온수장암,장암석남
12:13,12:14,14:23,14:20
온수장암,도봉산석남,석남도봉산,도봉산온수
12:19,12:20,14:30,14:26
석남도봉산,장암온수,온수장암,장암석남
12:25,12:26,14:36,14:33
온수장암,도봉산석남,석남도봉산,도봉산온수
12:31,12:32,14:43,14:39
석남도봉산,장암온수,온수장암,장암석남
12:37,12:38,14:49,14:46
온수장암,도봉산석남,석남도봉산,도봉산온수
12:43,12:44,14:56,14:53
석남도봉산,장암온수,온수장암,장암석남
12:49,12:50,-,14:59
온수장암,도봉산석남,-,도봉산온수
12:55,12:56,15:02,15:06
석남도봉산,장암온수,석남도봉산,장암석남
13:01,13:02,15:09,15:12
온수장암,도봉산석남,온수장암,도봉산온수
13:07,13:08,15:15,15:19
석남도봉산,장암온수,석남도봉산,장암석남
13:13,13:14,15:22,15:25
온수장암,도봉산석남,온수장암,도봉산온수
13:19,13:20,15:28,15:32
석남도봉산,장암온수,석남도봉산,장암석남
13:25,13:26,15:35,15:38
온수장암,도봉산석남,온수장암,도봉산온수
13:31,13:32,15:41,15:45
석남도봉산,장암온수,석남도봉산,장암석남
13:37,13:38,15:48,15:51
온수장암,도봉산석남,온수장암,도봉산온수
13:43,13:44,15:55,15:58
석남도봉산,장암온수,석남도봉산,장암석남
13:49,13:50,16:01,16:04
온수장암,도봉산석남,온수장암,도봉산온수
13:55,13:56,16:08,16:11
석남도봉산,장암온수,석남도봉산,장암석남
14:01,14:02,16:14,16:17
온수장암,도봉산석남,온수장암,도봉산온수
14:07,14:08,16:21,16:24
석남도봉산,장암온수,석남도봉산,장암석남
14:13,14:14,16:27,16:30
온수장암,도봉산석남,온수장암,도봉산온수
14:19,14:20,16:34,16:37
석남도봉산,장암온수,석남도봉산,장암석남
14:25,14:26,16:40,16:43
온수장암,도봉산석남,온수장암,도봉산온수
14:31,14:32,16:47,16:50
석남도봉산,장암온수,석남도봉산,장암석남
14:37,14:38,16:53,16:56
온수장암,도봉산석남,온수장암,도봉산온수
14:43,14:44,17:00,17:03
석남도봉산,장암온수,석남도봉산,장암석남
14:49,14:50,17:06,17:09
온수장암,도봉산석남,온수장암,도봉산온수
14:55,14:56,17:13,17:16
석남도봉산,장암온수,석남도봉산,장암석남
15:01,15:02,17:19,17:22
온수장암,도봉산석남,온수장암,도봉산온수
15:07,15:08,17:26,17:29
석남도봉산,장암온수,석남도봉산,장암석남
15:13,15:14,17:32,17:35
온수장암,도봉산석남,온수장암,도봉산온수
15:19,15:20,17:39,17:42
석남도봉산,장암온수,석남도봉산,장암석남
15:25,15:26,17:45,17:49
온수장암,도봉산석남,온수장암,도봉산온수
15:31,15:32,17:52,17:55
석남도봉산,장암온수,석남도봉산,장암석남
15:37,15:38,17:58,-
온수장암,도봉산석남,온수장암,-
15:43,15:44,18:05,18:02
석남도봉산,장암온수,석남도봉산,도봉산온수
15:49,15:50,18:11,18:08
온수장암,도봉산석남,온수장암,장암석남
15:55,15:56,18:18,18:15
석남도봉산,장암온수,석남도봉산,도봉산온수
16:01,16:02,18:24,18:21
온수장암,도봉산석남,온수장암,장암석남
16:07,16:08,18:31,18:28
석남도봉산,장암온수,석남도봉산,도봉산온수
