건대입구방면,청담방면,건대입구방면,청담방면
평일,평일,주말,주말
05:41첫,05:39첫,05:41첫,05:39첫
청담장암,건대입구석남,청담장암,건대입구석남
5:53,5:52,5:54,5:52
내방장암,태릉입구석남,내방장암,태릉입구석남
6:06,6:04,6:06,6:04
신풍장암,도봉산석남,신풍장암,도봉산석남
6:17,6:14,6:17,6:14
온수장암,장암석남,온수도봉산,장암석남
6:27,6:22,6:27,6:24
온수장암,도봉산석남,온수장암,도봉산석남
6:39,6:29,6:38,6:34
석남장암,도봉산석남,석남도봉산,장암온수
6:46,6:36,6:45,6:43
온수도봉산,장암석남,온수도봉산,도봉산석남
6:54,6:43,6:54,6:51
석남장암,도봉산석남,석남장암,장암석남
-,6:49,-,6:58
-,도봉산석남,-,도봉산온수
-,6:55,7:02,7:05
-,장암석남,석남도봉산,장암석남
7:01,7:01,7:10,7:12
온수장암,도봉산석남,온수도봉산,도봉산온수
7:07,7:07,7:17,7:19
석남도봉산,장암석남,석남장암,장암석남
7:14,7:13,7:24,7:26
온수장암,도봉산석남,온수도봉산,도봉산온수
7:20,7:19,7:31,7:33
석남도봉산,장암석남,석남장암,도봉산석남
7:26,7:25,7:38,7:40
온수장암,도봉산석남,석남도봉산,장암온수
7:32,7:30,7:45,7:47
석남도봉산,도봉산석남,석남장암,도봉산석남
7:38,7:35,7:52,7:54
온수장암,장암석남,온수도봉산,도봉산온수
7:44,7:39,7:58,-
석남도봉산,도봉산석남,석남장암,-
7:49,7:44,8:05,8:01
온수장암,장암온수,온수도봉산,도봉산석남
7:55,7:48,8:11,8:08
석남도봉산,도봉산석남,석남도봉산,장암온수
-,7:52,8:18,8:15
-,장암온수,온수장암,도봉산석남
-,7:56,8:24,8:22
-,도봉산석남,석남도봉산,도봉산온수
8:00,8:01,8:31,8:28
온수장암,도봉산온수,온수장암,도봉산석남
8:05,8:04,8:37,8:35
석남도봉산,장암석남,석남도봉산,장암온수
8:10,8:08,8:44,8:42
석남장암,도봉산온수,온수장암,도봉산석남
8:14,8:12,8:50,8:48
온수도봉산,도봉산석남,석남도봉산,장암온수
8:18,8:14,8:57,8:55
석남도봉산,도봉산온수,온수장암,도봉산석남
8:22,8:17,9:03,9:01
석남장암,도봉산온수,석남도봉산,장암온수
8:26,8:19,9:10,9:08
석남도봉산,장암석남,온수장암,도봉산석남
8:30,8:22,9:16,9:14
석남도봉산,도봉산온수,석남도봉산,장암온수
8:35,8:25,9:23,9:21
석남장암,도봉산온수,온수장암,도봉산석남
8:39,8:28,9:29,9:27
석남도봉산,도봉산석남,석남도봉산,장암온수
8:43,8:31,9:36,9:34
석남도봉산,장암온수,온수장암,도봉산석남
8:47,8:34,9:42,9:40
온수장암,도봉산온수,석남도봉산,도봉산온수
8:51,8:37,9:49,9:47
석남도봉산,도봉산석남,온수장암,장암석남
8:54,8:39,9:55,9:53
석남도봉산,도봉산온수,석남도봉산,도봉산온수
8:58,8:42,10:02,10:00
석남수락산,도봉산온수,온수장암,장암석남
-,8:44,10:08,10:06
-,장암석남,석남도봉산,도봉산온수
-,8:47,10:15,10:13
-,도봉산온수,온수장암,장암석남
-,8:50,10:22,10:19
-,도봉산온수,석남도봉산,도봉산온수
-,8:53,10:28,10:26
-,도봉산석남,온수장암,장암석남
-,8:56,10:35,10:32
-,장암온수,석남도봉산,도봉산온수
-,8:59,10:41,10:39
-,도봉산온수,온수장암,장암석남
9:01,9:03,10:48,10:45
석남장암,도봉산석남,석남도봉산,도봉산온수
9:03,9:06,10:54,10:52
석남도봉산,장암온수,온수장암,장암석남
9:06,9:10,-,10:58
석남도봉산,도봉산온수,-,도봉산온수
9:10,9:14,11:01,11:05
석남도봉산,도봉산석남,석남도봉산,장암석남
9:14,9:18,11:07,11:11
석남장암,장암온수,온수장암,도봉산온수
9:17,9:23,11:14,11:18
석남도봉산,도봉산온수,석남도봉산,장암석남
9:21,9:28,11:20,11:24
석남도봉산,장암석남,온수장암,도봉산온수
9:25,9:33,11:27,11:31
석남도봉산,도봉산온수,석남도봉산,장암석남
9:29,9:38,11:33,11:38
석남장암,장암온수,온수장암,도봉산온수
9:33,9:43,11:40,11:44
석남도봉산,도봉산석남,석남도봉산,장암석남
9:37,9:49,11:46,11:51
석남도봉산,장암온수,온수장암,도봉산온수
9:41,9:55,11:53,11:57
석남장암,도봉산석남,석남도봉산,장암석남
9:45,-,11:59,-
온수도봉산,-,온수장암,-
9:49,-,12:06,12:04
석남도봉산,-,석남도봉산,도봉산온수
9:53,-,12:12,12:10
