논현방면,고속터미널방면,논현방면,고속터미널방면
평일,평일,주말,주말
05:43첫,05:38첫,05:43첫,05:38첫
내방장암,청담석남,내방장암,청담석남
5:56,5:49,5:56,5:49
신풍장암,건대입구석남,신풍장암,건대입구석남
6:07,6:02,6:07,6:02
온수장암,태릉입구석남,온수도봉산,태릉입구석남
6:17,6:14,6:17,6:14
온수장암,도봉산석남,온수장암,도봉산석남
6:29,6:24,6:28,6:24
석남장암,장암석남,석남도봉산,장암석남
6:36,6:32,6:35,6:34
온수도봉산,도봉산석남,온수도봉산,도봉산석남
6:44,6:39,6:44,6:44
석남장암,도봉산석남,석남장암,장암온수
6:51,6:46,6:52,6:53
온수장암,장암석남,석남도봉산,도봉산석남
6:57,6:53,7:00,7:01
석남도봉산,도봉산석남,온수도봉산,장암석남
-,6:59,7:07,7:08
-,도봉산석남,석남장암,도봉산온수
7:04,7:05,7:14,7:15
온수장암,장암석남,온수도봉산,장암석남
7:10,7:11,7:21,7:22
석남도봉산,도봉산석남,석남장암,도봉산온수
7:16,7:17,7:28,7:29
온수장암,장암석남,석남도봉산,장암석남
7:22,7:23,7:35,7:36
석남도봉산,도봉산석남,석남장암,도봉산온수
7:27,7:29,7:42,7:43
온수장암,장암석남,온수도봉산,도봉산석남
7:34,7:35,7:48,7:50
석남도봉산,도봉산석남,석남장암,장암온수
7:39,7:40,7:55,7:57
온수장암,도봉산석남,온수도봉산,도봉산석남
7:44,7:45,8:01,8:04
석남도봉산,장암석남,석남도봉산,도봉산온수
7:49,7:50,8:08,8:11
온수장암,도봉산석남,온수장암,도봉산석남
7:54,7:54,8:14,8:18
석남도봉산,장암온수,석남도봉산,장암온수
-,7:59,8:21,8:25
-,도봉산석남,온수장암,도봉산석남
8:00,8:03,8:27,8:32
석남장암,장암온수,석남도봉산,도봉산온수
8:04,8:07,8:34,8:38
온수도봉산,도봉산석남,온수장암,도봉산석남
8:08,8:11,8:40,8:45
석남도봉산,도봉산온수,석남도봉산,장암온수
8:12,8:15,8:47,8:52
석남장암,장암석남,온수장암,도봉산석남
8:16,8:19,8:53,8:58
석남도봉산,도봉산온수,석남도봉산,장암온수
8:20,8:22,9:00,9:05
석남도봉산,도봉산석남,온수장암,도봉산석남
8:24,8:25,9:06,9:11
