숭실대입구방면,장승배기방면,숭실대입구방면,장승배기방면
평일,평일,주말,주말
05:42첫,05:38첫,05:42첫,05:38첫
신풍장암,내방석남,신풍장암,내방석남
5:54,5:51,5:54,5:51
온수장암,청담석남,온수도봉산,청담석남
6:04,6:03,6:04,6:03
온수장암,건대입구석남,온수장암,건대입구석남
6:15,6:16,6:15,6:16
석남장암,태릉입구석남,석남도봉산,태릉입구석남
6:23,6:28,6:22,6:28
온수도봉산,도봉산석남,온수도봉산,도봉산석남
6:30,6:38,6:31,6:38
석남장암,장암석남,석남장암,장암석남
6:37,6:46,6:39,6:48
온수장암,도봉산석남,석남도봉산,도봉산석남
6:43,6:53,6:47,6:58
석남도봉산,도봉산석남,온수도봉산,장암온수
6:50,-,6:54,-
온수장암,-,석남장암,-
6:56,-,7:01,7:07
석남도봉산,-,온수도봉산,도봉산석남
7:02,7:00,7:08,7:15
온수장암,장암석남,석남장암,장암석남
7:08,7:06,7:15,7:22
석남도봉산,도봉산석남,석남도봉산,도봉산온수
7:14,7:13,7:22,7:29
온수장암,도봉산석남,석남장암,장암석남
7:20,7:19,7:28,7:36
석남도봉산,장암석남,온수도봉산,도봉산온수
7:25,7:25,7:35,7:43
온수장암,도봉산석남,석남장암,장암석남
7:30,7:31,7:41,7:50
석남도봉산,장암석남,온수도봉산,도봉산온수
7:35,7:37,7:48,7:57
온수장암,도봉산석남,석남도봉산,도봉산석남
7:40,7:43,7:54,-
석남도봉산,장암석남,온수장암,-
7:46,7:49,8:01,8:04
석남장암,도봉산석남,석남도봉산,장암온수
7:50,7:54,8:07,8:11
온수도봉산,도봉산석남,온수장암,도봉산석남
7:54,7:59,8:14,8:18
석남도봉산,장암석남,석남도봉산,도봉산온수
7:58,-,8:20,8:25
석남장암,-,온수장암,도봉산석남
8:02,8:04,8:27,8:32
석남도봉산,도봉산석남,석남도봉산,장암온수
8:06,8:08,8:33,8:39
석남도봉산,장암온수,온수장암,도봉산석남
8:10,8:13,8:40,8:45
석남장암,도봉산석남,석남도봉산,도봉산온수
8:14,8:17,8:46,8:52
석남도봉산,장암온수,온수장암,도봉산석남
8:18,8:21,8:53,8:58
석남도봉산,도봉산석남,석남도봉산,장암온수
8:22,8:25,8:59,-
온수장암,도봉산온수,온수장암,-
8:26,8:29,9:06,9:05
석남도봉산,장암석남,석남도봉산,도봉산석남
8:29,8:33,9:12,9:12
석남도봉산,도봉산온수,온수장암,장암온수
8:33,8:36,9:19,9:18
석남수락산,도봉산석남,석남도봉산,도봉산석남
8:36,8:39,9:25,9:25
석남장암,도봉산온수,온수장암,장암온수
8:38,8:41,9:32,9:31
석남도봉산,도봉산온수,석남도봉산,도봉산석남
8:41,8:44,9:38,9:38
석남도봉산,장암석남,온수장암,장암온수
8:45,8:47,9:45,9:44
석남도봉산,도봉산온수,석남도봉산,도봉산석남
8:49,8:50,9:51,9:51
석남장암,도봉산온수,온수장암,장암온수
8:52,8:53,9:58,9:57
석남도봉산,도봉산석남,석남도봉산,도봉산석남
8:56,8:56,10:05,10:04
석남도봉산,장암온수,온수장암,도봉산온수
-,8:59,10:11,10:10
-,도봉산온수,석남도봉산,장암석남
9:00,9:02,10:18,10:17
석남도봉산,도봉산석남,온수장암,도봉산온수
9:04,9:04,10:24,10:23
석남장암,도봉산온수,석남도봉산,장암석남
9:08,9:07,10:31,10:30
석남도봉산,도봉산온수,온수장암,도봉산온수
9:12,9:09,10:37,10:36
석남도봉산,장암석남,석남도봉산,장암석남
9:16,9:12,10:44,10:43
석남장암,도봉산온수,온수장암,도봉산온수
9:20,9:15,10:50,10:49
온수도봉산,도봉산온수,석남도봉산,장암석남
9:24,9:18,10:57,10:56
석남도봉산,도봉산석남,온수장암,도봉산온수
9:28,9:21,11:03,11:02
석남도봉산,장암온수,석남도봉산,장암석남
9:33,9:24,11:10,11:09
석남장암,도봉산온수,온수장암,도봉산온수
