중화방면,면목방면,중화방면,면목방면
평일,평일,주말,주말
05:42첫,05:37첫,05:42첫,05:37첫
건대입구장암,태릉입구석남,건대입구장암,태릉입구석남
5:56,5:50,5:56,5:50
청담장암,도봉산석남,청담장암,도봉산석남
6:07,6:00,6:09,6:00
내방장암,장암석남,내방장암,장암석남
6:20,6:08,6:20,6:10
신풍장암,도봉산석남,신풍장암,도봉산석남
6:32,6:15,6:32,6:20
온수장암,도봉산석남,온수도봉산,장암온수
6:42,6:22,6:42,6:29
온수장암,장암석남,온수장암,도봉산석남
6:53,6:28,6:53,6:37
석남장암,도봉산석남,석남도봉산,장암석남
,6:35,,6:44
,도봉산석남,,도봉산온수
,6:41,,6:51
,장암석남,,장암석남
,6:47,,6:58
,도봉산석남,,도봉산온수
,6:53,7:00,7:05
,장암석남,온수도봉산,장암석남
,6:59,7:09,7:12
,도봉산석남,석남장암,도봉산온수
7:01,7:04,7:17,7:19
온수도봉산,장암석남,석남도봉산,도봉산석남
7:08,7:10,7:25,7:26
석남장암,도봉산석남,온수도봉산,장암온수
7:15,7:15,7:32,7:33
온수장암,도봉산석남,석남장암,도봉산석남
7:21,7:20,7:39,7:40
석남도봉산,장암석남,온수도봉산,도봉산온수
7:28,7:25,7:46,7:47
온수장암,도봉산석남,석남장암,도봉산석남
7:35,7:29,7:53,7:54
석남도봉산,장암온수,석남도봉산,장암온수
7:40,7:34,8:00,8:01
온수장암,도봉산석남,석남장암,도봉산석남
7:47,7:38,8:06,8:07
석남도봉산,장암온수,온수도봉산,도봉산온수
7:52,7:42,8:13,8:14
온수장암,도봉산석남,석남장암,도봉산석남
7:59,7:46,8:19,8:20
석남도봉산,도봉산온수,온수도봉산,장암온수
,7:50,8:26,8:27
,장암석남,석남도봉산,도봉산석남
,7:53,8:32,8:34
,도봉산온수,온수장암,장암온수
,7:57,8:39,8:40
,도봉산석남,석남도봉산,도봉산석남
,7:59,8:45,8:47
,도봉산온수,온수장암,장암온수
8:04,8:02,8:52,8:53
온수장암,도봉산온수,석남도봉산,도봉산석남
8:10,8:04,8:58,
석남도봉산,장암석남,온수장암,
8:15,8:07,9:05,9:00
온수장암,도봉산온수,석남도봉산,장암온수
8:20,8:10,9:11,9:06
석남도봉산,도봉산온수,온수장암,도봉산석남
8:25,8:13,9:18,9:13
석남장암,도봉산석남,석남도봉산,장암온수
8:29,8:16,9:24,9:19
온수도봉산,장암온수,온수장암,도봉산석남
8:33,8:19,9:31,9:26
석남도봉산,도봉산온수,석남도봉산,도봉산온수
8:38,8:22,9:37,9:32
석남장암,도봉산석남,온수장암,장암석남
8:42,8:24,9:44,9:39
석남도봉산,도봉산온수,석남도봉산,도봉산온수
8:46,8:27,9:50,9:45
석남도봉산,도봉산온수,온수장암,장암석남
8:50,8:29,9:57,9:52
석남장암,장암석남,석남도봉산,도봉산온수
8:54,8:32,,9:58
석남도봉산,도봉산온수,,장암석남
8:58,8:35,10:03,10:05
석남도봉산,도봉산온수,온수장암,도봉산온수
,8:38,10:10,10:11
,도봉산석남,석남도봉산,장암석남
,8:41,10:16,10:18
,장암온수,온수장암,도봉산온수
,8:44,10:23,10:24
,도봉산온수,석남도봉산,장암석남
,8:48,10:29,10:31
,도봉산석남,온수장암,도봉산온수
,8:51,10:36,10:37
,장암온수,석남도봉산,장암석남
,8:55,10:43,10:44
,도봉산온수,온수장암,도봉산온수
,8:59,10:49,10:50
,도봉산석남,석남도봉산,장암석남
9:02,9:03,10:56,10:57
온수장암,장암온수,온수장암,도봉산온수
9:06,9:08,11:02,11:03
석남도봉산,도봉산온수,석남도봉산,장암석남
9:09,9:13,11:09,11:10
석남도봉산,장암석남,온수장암,도봉산온수
9:13,9:18,11:15,11:16
석남수락산,도봉산온수,석남도봉산,장암석남
9:16,9:23,11:22,11:23
석남장암,장암온수,온수장암,도봉산온수
9:18,9:29,11:28,11:30
석남도봉산,도봉산석남,석남도봉산,장암석남
9:21,9:35,11:35,11:36
석남도봉산,장암온수,온수장암,도봉산온수
9:25,9:41,11:41,11:43
석남도봉산,도봉산석남,석남도봉산,장암석남
9:29,9:47,11:48,11:49
석남장암,장암온수,온수장암,도봉산온수
9:32,9:53,11:54,11:56
석남도봉산,도봉산석남,석남도봉산,장암석남
9:36,9:59,12:01,12:02
석남도봉산,장암온수,온수장암,도봉산온수
9:40,,12:07,12:09
석남도봉산,,석남도봉산,장암석남
9:44,,12:14,12:15
석남장암,,온수장암,도봉산온수
9:48,,12:20,12:22
석남도봉산,,석남도봉산,장암석남
9:52,,12:27,12:28
석남도봉산,,온수장암,도봉산온수
9:56,,12:33,12:35
석남장암,,석남도봉산,장암석남
10:00,10:05,12:40,12:41
온수도봉산,도봉산석남,온수장암,도봉산온수
10:04,10:11,12:46,12:48
석남도봉산,도봉산온수,석남도봉산,장암석남
10:08,10:17,12:53,12:54
석남도봉산,장암석남,온수장암,도봉산온수
10:12,10:23,12:59,
석남장암,도봉산온수,석남도봉산,
10:18,10:29,13:06,13:01
석남도봉산,장암석남,온수장암,장암석남
10:23,10:35,13:12,13:07
온수장암,도봉산온수,석남도봉산,도봉산온수
10:27,10:41,13:19,13:14
석남도봉산,장암석남,온수장암,장암석남
10:32,10:47,13:25,13:20
온수도봉산,도봉산온수,석남도봉산,도봉산온수
10:37,10:53,13:32,13:27
석남장암,도봉산석남,온수장암,장암석남
10:42,10:59,13:39,13:33
석남도봉산,장암온수,석남도봉산,도봉산온수
10:47,,13:45,13:40
석남장암,,온수장암,장암석남
10:53,,13:52,13:46
석남도봉산,,석남도봉산,도봉산온수
10:59,,13:58,13:53
석남장암,,온수장암,장암석남
11:05,11:05,,13:59
석남도봉산,도봉산석남,,도봉산온수
11:11,11:11,14:05,14:06
온수장암,장암온수,석남도봉산,장암석남
11:17,11:17,14:11,14:12
석남도봉산,도봉산석남,온수장암,도봉산온수
11:23,11:23,14:18,14:19
석남장암,장암온수,석남도봉산,장암석남
11:29,11:29,14:24,14:26
온수도봉산,도봉산석남,온수장암,도봉산온수
11:35,11:35,14:31,14:32
석남장암,장암온수,석남도봉산,장암석남
11:41,11:41,14:37,14:39
석남도봉산,도봉산석남,온수장암,도봉산온수
11:47,11:47,14:44,14:45
온수장암,장암온수,석남도봉산,장암석남
11:53,11:53,14:50,14:52
석남도봉산,도봉산석남,온수장암,도봉산온수
11:59,11:59,14:57,14:58
온수장암,장암온수,석남도봉산,장암석남
12:05,12:05,15:03,15:05
석남도봉산,도봉산석남,온수장암,도봉산온수
12:11,12:11,15:10,15:11
온수장암,장암온수,석남도봉산,장암석남
12:17,12:17,15:16,15:18
석남도봉산,도봉산석남,온수장암,도봉산온수
12:23,12:23,15:23,15:24
온수장암,장암온수,석남도봉산,장암석남
12:29,12:29,15:29,15:31
석남도봉산,도봉산석남,온수장암,도봉산온수
12:35,12:35,15:36,15:37
온수장암,장암온수,석남도봉산,장암석남
12:41,12:41,15:42,15:44
석남도봉산,도봉산석남,온수장암,도봉산온수
12:47,12:47,15:49,15:50
온수장암,장암온수,석남도봉산,장암석남
12:53,12:53,15:55,15:57
석남도봉산,도봉산석남,온수장암,도봉산온수
12:59,12:59,16:02,16:03
온수장암,장암온수,석남도봉산,장암석남
13:05,13:05,16:08,16:10
석남도봉산,도봉산석남,온수장암,도봉산온수
13:11,13:11,16:15,16:16
온수장암,장암온수,석남도봉산,장암석남
13:17,13:17,16:21,16:23
석남도봉산,도봉산석남,온수장암,도봉산온수
13:23,13:23,16:28,16:29
온수장암,장암온수,석남도봉산,장암석남
13:29,13:29,16:35,16:36
석남도봉산,도봉산석남,온수장암,도봉산온수
13:35,13:35,16:41,16:42
온수장암,장암온수,석남도봉산,장암석남
13:41,13:41,16:48,16:49
석남도봉산,도봉산석남,온수장암,도봉산온수
13:47,13:47,16:54,16:55
온수장암,장암온수,석남도봉산,장암석남
13:53,13:53,17:01,17:02
석남도봉산,도봉산석남,온수장암,도봉산온수
13:59,13:59,17:07,17:09
온수장암,장암온수,석남도봉산,장암석남
14:05,14:05,17:14,17:15
석남도봉산,도봉산석남,온수장암,도봉산온수
14:11,14:11,17:20,17:22
온수장암,장암온수,석남도봉산,장암석남
14:17,14:17,17:27,17:28
석남도봉산,도봉산석남,온수장암,도봉산온수
14:23,14:23,17:33,17:35
온수장암,장암온수,석남도봉산,장암석남
14:29,14:29,17:40,17:41
석남도봉산,도봉산석남,온수장암,도봉산온수
14:35,14:35,17:46,17:48
온수장암,장암온수,석남도봉산,장암석남
14:41,14:41,17:53,17:54
석남도봉산,도봉산석남,온수장암,도봉산온수
14:47,14:47,17:59,
