남성방면,상도방면,남성방면,상도방면
평일,평일,주말,주말
05:44첫,05:37첫,05:44첫,05:37첫
신풍장암,내방석남,신풍장암,내방석남
5:55,5:50,5:55,5:50
온수장암,청담석남,온수도봉산,청담석남
6:05,6:02,6:05,6:02
온수장암,건대입구석남,온수장암,건대입구석남
6:17,6:14,6:16,6:14
석남장암,태릉입구석남,석남도봉산,태릉입구석남
6:24,6:26,6:23,6:26
온수도봉산,도봉산석남,온수도봉산,도봉산석남
6:32,6:36,6:32,6:36
석남장암,장암석남,석남장암,장암석남
6:39,6:44,6:40,6:46
온수장암,도봉산석남,석남도봉산,도봉산석남
6:45,6:51,6:48,6:56
석남도봉산,도봉산석남,온수도봉산,장암온수
6:52,6:58,6:55,
온수장암,장암석남,석남장암,
6:58,,7:02,7:05
석남도봉산,,온수도봉산,도봉산석남
7:04,7:05,7:09,7:13
온수장암,도봉산석남,석남장암,장암석남
7:10,7:11,7:16,7:20
석남도봉산,도봉산석남,석남도봉산,도봉산온수
7:15,7:18,7:23,7:27
온수장암,장암석남,석남장암,장암석남
7:22,7:24,7:30,7:34
석남도봉산,도봉산석남,온수도봉산,도봉산온수
7:27,7:30,7:36,7:41
온수장암,장암석남,석남장암,장암석남
7:32,7:36,7:43,7:48
석남도봉산,도봉산석남,온수도봉산,도봉산온수
7:37,7:41,7:49,7:55
온수장암,장암석남,석남도봉산,도봉산석남
7:42,7:47,7:56,
석남도봉산,도봉산석남,온수장암,
7:47,7:52,8:02,8:02
석남장암,도봉산석남,석남도봉산,장암온수
7:51,7:57,8:09,8:09
온수도봉산,장암석남,온수장암,도봉산석남
7:55,,8:15,8:16
석남도봉산,,석남도봉산,도봉산온수
7:59,,8:22,8:23
석남장암,,온수장암,도봉산석남
8:03,8:02,8:28,8:30
석남도봉산,도봉산석남,석남도봉산,장암온수
8:07,8:07,8:35,8:37
석남도봉산,장암온수,온수장암,도봉산석남
8:12,8:11,8:41,8:44
석남장암,도봉산석남,석남도봉산,도봉산온수
8:16,8:15,8:48,8:50
석남도봉산,장암온수,온수장암,도봉산석남
8:20,8:19,8:54,8:57
석남도봉산,도봉산석남,석남도봉산,장암온수
8:24,8:24,9:01,9:04
온수장암,도봉산온수,온수장암,도봉산석남
8:27,8:27,9:07,9:10
석남도봉산,장암석남,석남도봉산,장암온수
8:31,8:31,9:14,9:17
석남도봉산,도봉산온수,온수장암,도봉산석남
8:34,8:35,9:20,9:23
석남수락산,도봉산석남,석남도봉산,장암온수
8:37,8:37,9:27,9:30
석남장암,도봉산온수,온수장암,도봉산석남
8:40,8:40,9:33,9:36
석남도봉산,도봉산온수,석남도봉산,장암온수
8:43,8:42,9:40,9:43
석남도봉산,장암석남,온수장암,도봉산석남
8:47,8:46,9:46,9:49
석남도봉산,도봉산온수,석남도봉산,장암온수
8:51,8:48,9:53,9:56
석남장암,도봉산온수,온수장암,도봉산석남
8:54,8:51,10:00,10:02
석남도봉산,도봉산석남,석남도봉산,도봉산온수
8:58,8:54,10:06,10:09
석남도봉산,장암온수,온수장암,장암석남
,8:57,10:13,10:15
,도봉산온수,석남도봉산,도봉산온수
9:02,9:00,10:19,10:22
석남도봉산,도봉산석남,온수장암,장암석남
9:06,9:02,10:26,10:28
석남장암,도봉산온수,석남도봉산,도봉산온수
9:10,9:05,10:32,10:35
석남도봉산,도봉산온수,온수장암,장암석남
9:14,9:07,10:39,10:41
석남도봉산,장암석남,석남도봉산,도봉산온수
9:18,9:10,10:45,10:48
석남장암,도봉산온수,온수장암,장암석남
9:22,9:13,10:52,10:54
온수도봉산,도봉산온수,석남도봉산,도봉산온수
9:26,9:16,10:58,
석남도봉산,도봉산석남,온수장암,
9:30,9:19,11:05,11:01
석남도봉산,장암온수,석남도봉산,장암석남
9:35,9:22,11:11,11:07
석남장암,도봉산온수,온수장암,도봉산온수
9:40,9:26,11:18,11:14
석남도봉산,도봉산석남,석남도봉산,장암석남
9:45,9:29,11:24,11:20
온수장암,장암온수,온수장암,도봉산온수
9:50,9:33,11:31,11:27
석남도봉산,도봉산온수,석남도봉산,장암석남
9:55,9:37,11:37,11:33
온수도봉산,도봉산석남,온수장암,도봉산온수
,9:41,11:44,11:40
,장암온수,석남도봉산,장암석남
,9:45,11:50,11:46
,도봉산온수,온수장암,도봉산온수
,9:50,11:57,11:53
,장암석남,석남도봉산,장암석남
,9:55,12:03,12:00
,도봉산온수,온수장암,도봉산온수
10:00,10:00,12:10,12:06
석남장암,장암온수,석남도봉산,장암석남
10:06,10:05,12:16,12:13
석남도봉산,도봉산석남,온수장암,도봉산온수
10:10,10:11,12:23,12:19
석남장암,장암온수,석남도봉산,장암석남
10:16,10:17,12:29,12:26
석남도봉산,도봉산석남,온수장암,도봉산온수
10:22,10:23,12:36,12:32
석남장암,장암온수,석남도봉산,장암석남
10:28,10:29,12:42,12:39
석남도봉산,도봉산석남,온수장암,도봉산온수
10:34,10:35,12:49,12:45
온수장암,장암온수,석남도봉산,장암석남
10:40,10:41,12:55,12:52
석남도봉산,도봉산석남,온수장암,도봉산온수
10:46,10:47,,12:58
석남장암,도봉산온수,,장암석남
10:52,10:53,13:02,13:05
온수도봉산,장암석남,석남도봉산,도봉산온수
10:58,10:59,13:09,13:11
석남장암,도봉산온수,온수장암,장암석남
11:04,11:05,13:15,13:18
석남도봉산,장암석남,석남도봉산,도봉산온수
11:10,11:11,13:22,13:24
온수장암,도봉산온수,온수장암,장암석남
11:16,11:17,13:28,13:31
