장승배기방면,보라매방면,장승배기방면,보라매방면
평일,평일,주말,주말
05:38첫,05:43첫,05:38첫,05:43첫
신풍장암,내방석남,신풍장암,내방석남
5:49,5:56,5:49,5:56
온수장암,청담석남,온수도봉산,청담석남
5:59,-,5:59,-
온수장암,-,온수장암,-
6:11,6:08,6:10,6:08
석남장암,건대입구석남,석남도봉산,건대입구석남
6:18,6:20,6:17,6:20
온수도봉산,태릉입구석남,온수도봉산,태릉입구석남
6:26,6:32,6:26,6:32
석남장암,도봉산석남,석남장암,도봉산석남
6:33,6:42,6:34,6:42
온수장암,장암석남,석남도봉산,장암석남
6:39,6:50,6:42,6:52
석남도봉산,도봉산석남,온수도봉산,도봉산석남
6:46,6:57,6:49,-
온수장암,도봉산석남,석남장암,-
6:52,-,6:56,-
석남도봉산,-,온수도봉산,-
6:58,-,7:03,7:02
온수장암,-,석남장암,장암온수
7:04,7:04,7:10,7:11
석남도봉산,장암석남,석남도봉산,도봉산석남
7:09,7:11,7:17,7:19
온수장암,도봉산석남,석남장암,장암석남
7:16,7:17,7:24,7:26
석남도봉산,도봉산석남,온수도봉산,도봉산온수
7:21,7:24,7:30,7:33
온수장암,장암석남,석남장암,장암석남
7:26,7:30,7:37,7:40
석남도봉산,도봉산석남,온수도봉산,도봉산온수
7:31,7:36,7:43,7:47
온수장암,장암석남,석남도봉산,장암석남
7:36,7:42,7:50,7:54
석남도봉산,도봉산석남,온수장암,도봉산온수
7:41,7:47,7:56,-
석남장암,장암석남,석남도봉산,-
7:45,7:53,8:03,8:01
온수도봉산,도봉산석남,온수장암,도봉산석남
7:49,7:58,8:09,8:08
석남도봉산,도봉산석남,석남도봉산,장암온수
7:53,-,8:16,8:15
석남장암,-,온수장암,도봉산석남
7:57,-,8:22,8:22
석남도봉산,-,석남도봉산,도봉산온수
8:01,8:03,8:29,8:29
석남도봉산,장암석남,온수장암,도봉산석남
8:05,8:08,8:35,8:36
석남장암,도봉산석남,석남도봉산,장암온수
8:09,8:13,8:42,8:43
석남도봉산,장암온수,온수장암,도봉산석남
8:13,8:17,8:48,8:50
석남도봉산,도봉산석남,석남도봉산,도봉산온수
8:18,8:21,8:55,8:56
온수장암,장암온수,온수장암,도봉산석남
8:21,8:25,9:01,9:03
석남도봉산,도봉산석남,석남도봉산,장암온수
8:25,8:30,9:08,9:10
석남도봉산,도봉산온수,온수장암,도봉산석남
8:28,8:33,9:14,9:16
석남수락산,장암석남,석남도봉산,장암온수
8:31,8:37,9:21,9:23
석남장암,도봉산온수,온수장암,도봉산석남
8:34,8:41,9:27,9:29
석남도봉산,도봉산석남,석남도봉산,장암온수
8:37,8:43,9:34,9:36
석남도봉산,도봉산온수,온수장암,도봉산석남
8:40,8:46,9:40,9:42
석남도봉산,도봉산온수,석남도봉산,장암온수
8:44,8:48,9:47,9:49
