보라매방면,대림방면,보라매방면,대림방면
평일,평일,주말,주말
05:34첫,05:30첫,05:34첫,05:30첫
신풍장암,신풍석남,신풍장암,신풍석남
5:46,5:46,5:46,5:46
온수장암,내방석남,온수도봉산,내방석남
5:56,5:59,5:56,5:59
온수장암,청담석남,온수장암,청담석남
6:07,6:11,6:07,6:11
석남장암,건대입구석남,석남도봉산,건대입구석남
6:15,6:23,6:14,6:23
온수도봉산,태릉입구석남,온수도봉산,태릉입구석남
6:22,6:36,6:23,6:36
석남장암,도봉산석남,석남장암,도봉산석남
6:29,6:46,6:31,6:46
온수장암,장암석남,석남도봉산,장암석남
6:35,6:54,6:39,6:56
석남도봉산,도봉산석남,온수도봉산,도봉산석남
6:42,-,6:46,-
온수장암,-,석남장암,-
6:49,-,6:53,-
석남도봉산,-,온수도봉산,-
6:54,-,7:00,7:06
온수장암,-,석남장암,장암온수
7:00,7:01,7:07,7:15
석남도봉산,도봉산석남,석남도봉산,도봉산석남
7:06,7:08,7:14,7:23
온수장암,장암석남,석남장암,장암석남
7:12,7:14,7:20,7:30
석남도봉산,도봉산석남,온수도봉산,도봉산온수
7:17,7:21,7:27,7:37
온수장암,도봉산석남,석남장암,장암석남
7:23,7:27,7:33,7:44
석남도봉산,장암석남,온수도봉산,도봉산온수
7:28,7:33,7:40,7:51
온수장암,도봉산석남,석남도봉산,장암석남
7:33,7:39,7:46,7:58
석남도봉산,장암석남,온수장암,도봉산온수
7:38,7:45,7:53,-
석남장암,도봉산석남,석남도봉산,-
7:42,7:51,7:59,-
온수도봉산,장암석남,온수장암,-
7:46,7:56,8:06,8:05
석남도봉산,도봉산석남,석남도봉산,도봉산석남
7:50,-,8:12,8:12
석남장암,-,온수장암,장암온수
7:54,-,8:19,8:19
석남도봉산,-,석남도봉산,도봉산석남
7:58,-,8:25,8:26
석남도봉산,-,온수장암,도봉산온수
8:02,8:02,8:32,8:33
석남장암,도봉산석남,석남도봉산,도봉산석남
8:06,8:07,8:38,8:40
석남도봉산,장암석남,온수장암,장암온수
8:10,8:12,8:45,8:47
석남도봉산,도봉산석남,석남도봉산,도봉산석남
8:14,8:16,8:51,8:53
온수장암,장암온수,온수장암,도봉산온수
8:17,8:21,8:58,-
석남도봉산,도봉산석남,석남도봉산,-
8:21,8:25,9:04,9:00
석남도봉산,장암온수,온수장암,도봉산석남
8:24,8:29,9:11,9:06
석남수락산,도봉산석남,석남도봉산,장암온수
8:27,8:34,9:17,9:13
석남장암,도봉산온수,온수장암,도봉산석남
8:30,8:37,9:24,9:20
석남도봉산,장암석남,석남도봉산,장암온수
8:33,8:41,9:30,9:26
석남도봉산,도봉산온수,온수장암,도봉산석남
8:37,8:45,9:37,9:33
석남도봉산,도봉산석남,석남도봉산,장암온수
8:41,8:47,9:43,9:39
석남장암,도봉산온수,온수장암,도봉산석남
8:44,8:50,9:50,9:46
석남도봉산,도봉산온수,석남도봉산,장암온수
8:48,8:52,9:57,9:52
석남도봉산,장암석남,온수장암,도봉산석남
8:52,8:56,-,9:59
석남도봉산,도봉산온수,-,장암온수
8:56,8:58,10:03,10:05
석남장암,도봉산온수,석남도봉산,도봉산석남
9:00,9:01,10:10,10:12
석남도봉산,도봉산석남,온수장암,도봉산온수
9:04,9:04,10:16,10:18
석남도봉산,장암온수,석남도봉산,장암석남
9:08,9:07,10:23,10:25
석남장암,도봉산온수,온수장암,도봉산온수
9:12,9:10,10:29,10:31
온수도봉산,도봉산석남,석남도봉산,장암석남
9:16,9:12,10:36,10:38
석남도봉산,도봉산온수,온수장암,도봉산온수
9:20,9:15,10:42,10:44
석남도봉산,도봉산온수,석남도봉산,장암석남
9:25,9:17,10:49,10:51
석남장암,장암석남,온수장암,도봉산온수
9:31,9:20,10:55,10:57
석남도봉산,도봉산온수,석남도봉산,장암석남
9:36,9:23,11:02,11:04
온수장암,도봉산온수,온수장암,도봉산온수
9:40,9:26,11:08,11:10
석남도봉산,도봉산석남,석남도봉산,장암석남
9:45,9:29,11:15,11:17
온수도봉산,장암온수,온수장암,도봉산온수
9:50,9:32,11:21,11:23
석남장암,도봉산온수,석남도봉산,장암석남
9:56,9:36,11:28,11:30
석남도봉산,도봉산석남,온수장암,도봉산온수
-,9:39,11:34,11:36
-,장암온수,석남도봉산,장암석남
-,9:42,11:41,11:43
-,도봉산온수,온수장암,도봉산온수
-,9:46,11:47,11:49
-,도봉산석남,석남도봉산,장암석남
-,9:50,11:54,11:56
-,장암온수,온수장암,도봉산온수
-,9:55,12:00,12:02
-,도봉산온수,석남도봉산,장암석남
10:01,10:00,12:07,12:09
석남장암,장암석남,온수장암,도봉산온수
10:07,10:05,12:13,12:16
석남도봉산,도봉산온수,석남도봉산,장암석남
10:13,10:09,12:20,12:22
석남장암,장암온수,온수장암,도봉산온수
10:19,10:15,12:26,12:29
석남도봉산,도봉산석남,석남도봉산,장암석남
10:25,10:21,12:33,12:35
온수장암,장암온수,온수장암,도봉산온수
10:31,10:27,12:39,12:42
석남도봉산,도봉산석남,석남도봉산,장암석남
10:37,10:33,12:46,12:48
석남장암,장암온수,온수장암,도봉산온수
10:43,10:39,12:53,12:55
온수도봉산,도봉산석남,석남도봉산,장암석남
10:49,10:45,12:59,-
석남장암,장암온수,온수장암,-
10:55,10:51,13:06,13:01
석남도봉산,도봉산석남,석남도봉산,도봉산온수
-,10:57,13:12,13:08
-,도봉산온수,온수장암,장암석남
11:01,11:03,13:19,13:14
온수장암,장암석남,석남도봉산,도봉산온수
11:07,11:09,13:25,13:21
석남도봉산,도봉산온수,온수장암,장암석남
11:13,11:15,13:32,13:27
온수장암,장암석남,석남도봉산,도봉산온수
11:19,11:21,13:38,13:34
석남도봉산,도봉산온수,온수장암,장암석남
11:25,11:27,13:45,13:40
온수장암,장암석남,석남도봉산,도봉산온수
11:31,11:33,13:51,13:47
석남도봉산,도봉산온수,온수장암,장암석남
11:37,11:39,13:58,13:53
온수장암,도봉산석남,석남도봉산,도봉산온수
11:43,11:45,14:04,14:00
석남도봉산,장암온수,온수장암,장암석남
11:49,11:51,14:11,14:06
온수장암,도봉산석남,석남도봉산,도봉산온수
11:55,11:57,14:17,14:13
석남도봉산,장암온수,온수장암,장암석남
12:01,12:03,14:24,14:19
온수장암,도봉산석남,석남도봉산,도봉산온수
12:07,12:09,14:30,14:26
석남도봉산,장암온수,온수장암,장암석남
12:13,12:15,14:37,14:32
온수장암,도봉산석남,석남도봉산,도봉산온수
12:19,12:21,14:43,14:39
석남도봉산,장암온수,온수장암,장암석남
12:25,12:27,14:50,14:45
온수장암,도봉산석남,석남도봉산,도봉산온수
12:31,12:33,14:56,14:52
석남도봉산,장암온수,온수장암,장암석남
12:37,12:39,-,14:58
온수장암,도봉산석남,-,도봉산온수
12:43,12:45,15:03,15:05
석남도봉산,장암온수,석남도봉산,장암석남
12:49,12:51,15:09,15:12
온수장암,도봉산석남,온수장암,도봉산온수
12:55,12:57,15:16,15:18
석남도봉산,장암온수,석남도봉산,장암석남
13:01,13:03,15:22,15:25
온수장암,도봉산석남,온수장암,도봉산온수
13:07,13:09,15:29,15:31
석남도봉산,장암온수,석남도봉산,장암석남
13:13,13:15,15:35,15:38
온수장암,도봉산석남,온수장암,도봉산온수
13:19,13:21,15:42,15:44
석남도봉산,장암온수,석남도봉산,장암석남
13:25,13:27,15:49,15:51
온수장암,도봉산석남,온수장암,도봉산온수
13:31,13:33,15:55,15:57
석남도봉산,장암온수,석남도봉산,장암석남
13:37,13:39,16:02,16:04
온수장암,도봉산석남,온수장암,도봉산온수
13:43,13:45,16:08,16:10
석남도봉산,장암온수,석남도봉산,장암석남
13:49,13:51,16:15,16:17
온수장암,도봉산석남,온수장암,도봉산온수
13:55,13:57,16:21,16:23
석남도봉산,장암온수,석남도봉산,장암석남
14:01,14:03,16:28,16:30
온수장암,도봉산석남,온수장암,도봉산온수
14:07,14:09,16:34,16:36
석남도봉산,장암온수,석남도봉산,장암석남
14:13,14:15,16:41,16:43
온수장암,도봉산석남,온수장암,도봉산온수
14:19,14:21,16:47,16:49
석남도봉산,장암온수,석남도봉산,장암석남
14:25,14:27,16:54,16:56
온수장암,도봉산석남,온수장암,도봉산온수
14:31,14:33,17:00,17:02
석남도봉산,장암온수,석남도봉산,장암석남
14:37,14:39,17:07,17:09
온수장암,도봉산석남,온수장암,도봉산온수
14:43,14:45,17:13,17:15
석남도봉산,장암온수,석남도봉산,장암석남
14:49,14:51,17:20,17:22
온수장암,도봉산석남,온수장암,도봉산온수
14:55,14:57,17:26,17:28
석남도봉산,장암온수,석남도봉산,장암석남
15:01,15:03,17:33,17:35
온수장암,도봉산석남,온수장암,도봉산온수
15:07,15:09,17:39,17:41
석남도봉산,장암온수,석남도봉산,장암석남
15:13,15:15,17:46,17:48
온수장암,도봉산석남,온수장암,도봉산온수
15:19,15:21,17:52,17:55
석남도봉산,장암온수,석남도봉산,장암석남
15:25,15:27,17:59,-
온수장암,도봉산석남,온수장암,-
15:31,15:33,18:05,18:01
석남도봉산,장암온수,석남도봉산,도봉산온수
15:37,15:39,18:12,18:08
온수장암,도봉산석남,온수장암,장암석남
15:43,15:45,18:18,18:14
석남도봉산,장암온수,석남도봉산,도봉산온수
15:49,15:51,18:25,18:21
온수장암,도봉산석남,온수장암,장암석남
15:55,15:57,18:32,18:27
석남도봉산,장암온수,석남도봉산,도봉산온수
16:01,16:03,18:38,18:34
온수장암,도봉산석남,온수장암,장암석남
16:07,16:09,18:45,18:40
석남도봉산,장암온수,석남도봉산,도봉산온수
16:13,16:15,18:51,18:47
온수장암,도봉산석남,온수장암,장암석남
16:19,16:21,18:58,18:53
석남도봉산,장암온수,석남도봉산,도봉산온수
16:25,16:27,19:04,19:00
온수장암,도봉산석남,온수장암,장암석남
16:31,16:33,19:11,19:07
석남도봉산,장암석남,석남도봉산,도봉산온수
16:37,16:39,19:17,19:13
온수장암,도봉산석남,온수장암,장암석남
16:43,16:45,19:24,19:19
석남도봉산,장암온수,석남도봉산,도봉산온수
16:49,16:51,19:30,19:26
온수장암,도봉산석남,온수장암,장암석남
16:55,16:57,19:37,19:32
석남도봉산,장암온수,석남도봉산,도봉산온수
17:01,17:03,19:44,19:39
온수장암,도봉산석남,온수장암,장암석남
17:07,17:09,19:50,19:45
석남도봉산,장암석남,석남도봉산,도봉산온수
17:12,17:15,19:57,19:52
온수장암,도봉산석남,온수장암,장암석남
17:18,17:20,-,19:58
석남도봉산,장암석남,-,도봉산온수
17:23,17:27,20:04,20:05
온수장암,도봉산석남,석남도봉산,장암석남
17:28,17:33,20:11,20:11
온수도봉산,장암석남,온수장암,도봉산온수
17:32,17:39,20:17,20:18
석남도봉산,도봉산석남,석남도봉산,장암석남
17:37,17:45,20:24,20:24
온수장암,장암석남,온수도봉산,도봉산온수
17:42,17:51,20:30,20:31
석남도봉산,도봉산석남,석남장암,장암석남
