군자방면,건대입구방면,군자방면,건대입구방면
평일,평일,주말,주말
05:31첫,05:48첫,05:31첫,05:48첫
건대입구장암,태릉입구석남,건대입구장암,태릉입구석남
5:45,-,5:45,-
청담장암,-,청담장암,-
5:57,-,5:58,-
내방장암,-,내방장암,-
6:10,6:00,6:10,6:00
신풍장암,도봉산석남,신풍장암,도봉산석남
6:21,6:10,6:21,6:10
온수장암,장암석남,온수도봉산,장암석남
6:31,6:18,6:31,6:20
온수장암,도봉산석남,온수장암,도봉산석남
6:43,6:25,6:42,6:30
석남장암,도봉산석남,석남도봉산,장암온수
6:50,6:32,6:49,6:39
온수도봉산,장암석남,온수도봉산,도봉산석남
6:58,6:39,6:58,6:47
석남장암,도봉산석남,석남장암,장암석남
-,6:45,-,6:54
-,도봉산석남,-,도봉산온수
-,6:51,7:06,7:01
-,장암석남,석남도봉산,장암석남
-,6:57,7:14,7:08
-,도봉산석남,온수도봉산,도봉산온수
7:05,7:03,7:21,7:15
온수장암,장암석남,석남장암,장암석남
7:11,7:09,7:28,7:22
석남도봉산,도봉산석남,온수도봉산,도봉산온수
7:18,7:15,7:35,7:29
온수장암,장암석남,석남장암,도봉산석남
7:24,7:21,7:42,7:36
석남도봉산,도봉산석남,석남도봉산,장암온수
7:30,7:26,7:49,7:43
온수장암,도봉산석남,석남장암,도봉산석남
7:36,7:31,7:56,7:50
석남도봉산,장암석남,온수도봉산,도봉산온수
7:42,7:35,-,7:57
온수장암,도봉산석남,-,도봉산석남
7:48,7:40,8:02,8:04
석남도봉산,장암온수,석남장암,장암온수
7:54,7:44,8:09,8:11
온수장암,도봉산석남,온수도봉산,도봉산석남
7:59,7:48,8:15,8:18
석남도봉산,장암온수,석남도봉산,도봉산온수
-,7:52,8:22,8:24
-,도봉산석남,온수장암,도봉산석남
-,7:57,8:28,8:31
-,도봉산온수,석남도봉산,장암온수
8:04,8:00,8:35,8:38
온수장암,장암석남,온수장암,도봉산석남
8:09,8:04,8:41,8:44
석남도봉산,도봉산온수,석남도봉산,장암온수
8:14,8:08,8:48,8:51
석남장암,도봉산석남,온수장암,도봉산석남
8:18,8:10,8:54,8:57
온수도봉산,도봉산온수,석남도봉산,장암온수
8:22,8:13,9:01,9:04
석남도봉산,도봉산온수,온수장암,도봉산석남
8:27,8:15,9:07,9:10
석남장암,장암석남,석남도봉산,장암온수
8:31,8:18,9:14,9:17
석남도봉산,도봉산온수,온수장암,도봉산석남
8:35,8:21,9:20,9:23
석남도봉산,도봉산온수,석남도봉산,장암온수
8:39,8:24,9:27,9:30
석남장암,도봉산석남,온수장암,도봉산석남
8:43,8:27,9:33,9:36
석남도봉산,장암온수,석남도봉산,도봉산온수
8:47,8:30,9:40,9:43
석남도봉산,도봉산온수,온수장암,장암석남
8:51,8:33,9:46,9:49
온수장암,도봉산석남,석남도봉산,도봉산온수
8:55,8:35,9:53,9:56
석남도봉산,도봉산온수,온수장암,장암석남
8:58,8:38,9:59,-
석남도봉산,도봉산온수,석남도봉산,-
-,8:40,10:06,10:02
-,장암석남,온수장암,도봉산온수
-,8:43,10:12,10:09
-,도봉산온수,석남도봉산,장암석남
-,8:46,10:19,10:15
-,도봉산온수,온수장암,도봉산온수
-,8:49,10:26,10:22
-,도봉산석남,석남도봉산,장암석남
-,8:52,10:32,10:28
-,장암온수,온수장암,도봉산온수
-,8:55,10:39,10:35
-,도봉산온수,석남도봉산,장암석남
-,8:59,10:45,10:41
-,도봉산석남,온수장암,도봉산온수
9:02,9:02,10:52,10:48
석남수락산,장암온수,석남도봉산,장암석남
9:05,9:06,10:58,10:54
석남장암,도봉산온수,온수장암,도봉산온수
9:07,9:10,11:05,11:01
석남도봉산,도봉산석남,석남도봉산,장암석남
9:10,9:14,11:11,11:07
석남도봉산,장암온수,온수장암,도봉산온수
9:14,9:19,11:18,11:14
석남도봉산,도봉산온수,석남도봉산,장암석남
9:18,9:24,11:24,11:20
석남장암,장암석남,온수장암,도봉산온수
9:21,9:29,11:31,11:27
석남도봉산,도봉산온수,석남도봉산,장암석남
9:25,9:34,11:37,11:34
석남도봉산,장암온수,온수장암,도봉산온수
9:29,9:39,11:44,11:40
석남도봉산,도봉산석남,석남도봉산,장암석남
9:33,9:45,11:50,11:47
석남장암,장암온수,온수장암,도봉산온수
9:37,9:51,11:57,11:53
석남도봉산,도봉산석남,석남도봉산,장암석남
9:41,9:57,12:03,12:00
석남도봉산,장암온수,온수장암,도봉산온수
