사가정방면,중곡방면,사가정방면,중곡방면
평일,평일,주말,주말
05:37첫,05:42첫,05:37첫,05:42첫
건대입구장암,태릉입구석남,건대입구장암,태릉입구석남
5:51,5:55,5:51,5:55
청담장암,도봉산석남,청담장암,도봉산석남
6:02,6:05,6:03,6:05
내방장암,장암석남,내방장암,장암석남
6:15,6:13,6:15,6:15
신풍장암,도봉산석남,신풍장암,도봉산석남
6:27,6:20,6:27,6:25
온수장암,도봉산석남,온수도봉산,장암온수
6:37,6:27,6:37,6:34
온수장암,장암석남,온수장암,도봉산석남
6:48,6:33,6:48,6:42
석남장암,도봉산석남,석남도봉산,장암석남
6:56,6:40,6:55,6:49
온수도봉산,도봉산석남,온수도봉산,도봉산온수
-,6:46,-,6:56
-,장암석남,-,장암석남
-,6:52,7:04,7:03
-,도봉산석남,석남장암,도봉산온수
-,6:58,7:12,7:10
-,장암석남,석남도봉산,장암석남
7:03,7:04,7:20,7:17
석남장암,도봉산석남,온수도봉산,도봉산온수
7:10,7:09,7:27,7:24
온수장암,장암석남,석남장암,도봉산석남
7:16,7:15,7:34,7:31
석남도봉산,도봉산석남,온수도봉산,장암온수
7:23,7:20,7:41,7:38
온수장암,도봉산석남,석남장암,도봉산석남
7:30,7:25,7:48,7:45
석남도봉산,장암석남,석남도봉산,도봉산온수
7:35,7:30,7:55,7:52
온수장암,도봉산석남,석남장암,도봉산석남
7:42,7:34,-,7:59
석남도봉산,장암온수,-,장암온수
7:47,7:39,8:01,8:06
온수장암,도봉산석남,온수도봉산,도봉산석남
7:54,7:43,8:08,8:12
석남도봉산,장암온수,석남장암,도봉산온수
7:59,7:47,8:14,8:19
온수장암,도봉산석남,온수도봉산,도봉산석남
-,7:51,8:21,8:25
-,도봉산온수,석남도봉산,장암온수
-,7:55,8:27,8:32
-,장암석남,온수장암,도봉산석남
-,7:58,8:34,8:39
-,도봉산온수,석남도봉산,장암온수
8:05,8:02,8:40,8:45
석남도봉산,도봉산석남,온수장암,도봉산석남
8:10,8:04,8:47,8:52
온수장암,도봉산온수,석남도봉산,장암온수
8:15,8:07,8:53,8:58
석남도봉산,도봉산온수,온수장암,도봉산석남
8:20,8:09,9:00,9:05
석남장암,장암석남,석남도봉산,장암온수
8:24,8:12,9:06,9:11
온수도봉산,도봉산온수,온수장암,도봉산석남
8:28,8:15,9:13,9:18
석남도봉산,도봉산온수,석남도봉산,장암온수
8:32,8:18,9:19,9:24
석남장암,도봉산석남,온수장암,도봉산석남
8:36,8:21,9:26,9:31
석남도봉산,장암온수,석남도봉산,도봉산온수
8:40,8:24,9:32,9:37
석남도봉산,도봉산온수,온수장암,장암석남
8:45,8:27,9:39,9:44
석남장암,도봉산석남,석남도봉산,도봉산온수
8:49,8:29,9:45,9:50
석남도봉산,도봉산온수,온수장암,장암석남
8:53,8:32,9:52,9:57
석남도봉산,도봉산온수,석남도봉산,도봉산온수
8:57,8:34,9:58,-
온수장암,장암석남,온수장암,-
-,8:37,10:05,10:03
-,도봉산온수,석남도봉산,장암석남
-,8:40,10:11,10:10
-,도봉산온수,온수장암,도봉산온수
-,8:43,10:18,10:16
-,도봉산석남,석남도봉산,장암석남
-,8:46,10:24,10:23
-,장암온수,온수장암,도봉산온수
-,8:49,10:31,10:29
-,도봉산온수,석남도봉산,장암석남
-,8:53,10:38,10:36
-,도봉산석남,온수장암,도봉산온수
-,8:56,10:44,10:42
-,장암온수,석남도봉산,장암석남
9:01,9:00,10:51,10:49
석남도봉산,도봉산온수,온수장암,도봉산온수
9:04,9:04,10:57,10:55
석남도봉산,도봉산석남,석남도봉산,장암석남
9:08,9:08,11:04,11:02
석남수락산,장암온수,온수장암,도봉산온수
9:11,9:13,11:10,11:08
석남장암,도봉산온수,석남도봉산,장암석남
9:13,9:18,11:17,11:15
석남도봉산,장암석남,온수장암,도봉산온수
9:16,9:23,11:23,11:21
석남도봉산,도봉산온수,석남도봉산,장암석남
9:20,9:28,11:30,11:28
석남도봉산,장암온수,온수장암,도봉산온수
9:24,9:34,11:36,11:35
석남장암,도봉산석남,석남도봉산,장암석남
9:27,9:40,11:43,11:41
석남도봉산,장암온수,온수장암,도봉산온수
9:31,9:46,11:49,11:48
석남도봉산,도봉산석남,석남도봉산,장암석남
9:35,9:52,11:56,11:54
석남도봉산,장암온수,온수장암,도봉산온수
9:39,9:58,12:02,12:01
석남장암,도봉산석남,석남도봉산,장암석남
9:43,-,12:09,12:07
석남도봉산,-,온수장암,도봉산온수
9:47,-,12:15,12:14
석남도봉산,-,석남도봉산,장암석남
9:51,-,12:22,12:20
석남장암,-,온수장암,도봉산온수
9:55,-,12:28,12:27
온수도봉산,-,석남도봉산,장암석남
9:59,-,12:35,12:33
석남도봉산,-,온수장암,도봉산온수
10:03,10:04,12:41,12:40
석남도봉산,장암온수,석남도봉산,장암석남
10:07,10:10,12:48,12:46
석남장암,도봉산석남,온수장암,도봉산온수
10:13,10:16,12:54,12:53
석남도봉산,도봉산온수,석남도봉산,장암석남
10:18,10:22,-,12:59
온수장암,장암석남,-,도봉산온수
10:22,10:28,13:01,13:06
석남도봉산,도봉산온수,온수장암,장암석남
10:27,10:34,13:07,13:12
온수도봉산,장암석남,석남도봉산,도봉산온수
10:32,10:40,13:14,13:19
석남장암,도봉산온수,온수장암,장암석남
10:37,10:46,13:20,13:25
석남도봉산,장암석남,석남도봉산,도봉산온수
10:42,10:52,13:27,13:32
석남장암,도봉산온수,온수장암,장암석남
10:48,10:58,13:34,13:38
석남도봉산,도봉산석남,석남도봉산,도봉산온수
10:54,-,13:40,13:45
석남장암,-,온수장암,장암석남
11:00,11:04,13:47,13:51
석남도봉산,장암온수,석남도봉산,도봉산온수
11:06,11:10,13:53,13:58
온수장암,도봉산석남,온수장암,장암석남
11:12,11:16,14:00,14:04
석남도봉산,장암온수,석남도봉산,도봉산온수
11:18,11:22,14:06,14:11
석남장암,도봉산석남,온수장암,장암석남
11:24,11:28,14:13,14:17
온수도봉산,장암온수,석남도봉산,도봉산온수
11:30,11:34,14:19,14:24
석남장암,도봉산석남,온수장암,장암석남
11:36,11:40,14:26,14:31
석남도봉산,장암온수,석남도봉산,도봉산온수
11:42,11:46,14:32,14:37
온수장암,도봉산석남,온수장암,장암석남
11:48,11:52,14:39,14:44
석남도봉산,장암온수,석남도봉산,도봉산온수
11:54,11:58,14:45,14:50
온수장암,도봉산석남,온수장암,장암석남
12:00,12:04,14:52,14:57
석남도봉산,장암온수,석남도봉산,도봉산온수
12:06,12:10,14:58,-
온수장암,도봉산석남,온수장암,-
12:12,12:16,15:05,15:03
석남도봉산,장암온수,석남도봉산,장암석남
12:18,12:22,15:11,15:10
온수장암,도봉산석남,온수장암,도봉산온수
12:24,12:28,15:18,15:16
석남도봉산,장암온수,석남도봉산,장암석남
12:30,12:34,15:24,15:23
온수장암,도봉산석남,온수장암,도봉산온수
12:36,12:40,15:31,15:29
석남도봉산,장암온수,석남도봉산,장암석남
12:42,12:46,15:37,15:36
온수장암,도봉산석남,온수장암,도봉산온수
12:48,12:52,15:44,15:42
석남도봉산,장암온수,석남도봉산,장암석남
12:54,12:58,15:50,15:49
온수장암,도봉산석남,온수장암,도봉산온수
13:00,13:04,15:57,15:55
석남도봉산,장암온수,석남도봉산,장암석남
13:06,13:10,16:03,16:02
온수장암,도봉산석남,온수장암,도봉산온수
13:12,13:16,16:10,16:08
석남도봉산,장암온수,석남도봉산,장암석남
13:18,13:22,16:16,16:15
온수장암,도봉산석남,온수장암,도봉산온수
13:24,13:28,16:23,16:21
석남도봉산,장암온수,석남도봉산,장암석남
13:30,13:34,16:30,16:28
온수장암,도봉산석남,온수장암,도봉산온수
13:36,13:40,16:36,16:34
석남도봉산,장암온수,석남도봉산,장암석남
13:42,13:46,16:43,16:41
온수장암,도봉산석남,온수장암,도봉산온수
13:48,13:52,16:49,16:47
석남도봉산,장암온수,석남도봉산,장암석남
13:54,13:58,16:56,16:54
온수장암,도봉산석남,온수장암,도봉산온수
14:00,14:04,17:02,17:00
석남도봉산,장암온수,석남도봉산,장암석남
14:06,14:10,17:09,17:07
온수장암,도봉산석남,온수장암,도봉산온수
14:12,14:16,17:15,17:14
석남도봉산,장암온수,석남도봉산,장암석남
14:18,14:22,17:22,17:20
온수장암,도봉산석남,온수장암,도봉산온수
14:24,14:28,17:28,17:27
석남도봉산,장암온수,석남도봉산,장암석남
14:30,14:34,17:35,17:33
온수장암,도봉산석남,온수장암,도봉산온수
14:36,14:40,17:41,17:40
석남도봉산,장암온수,석남도봉산,장암석남
14:42,14:46,17:48,17:46
온수장암,도봉산석남,온수장암,도봉산온수
14:48,14:52,17:54,17:53
석남도봉산,장암온수,석남도봉산,장암석남
14:54,14:58,-,17:59
온수장암,도봉산석남,-,도봉산온수
15:00,15:04,18:01,18:06
석남도봉산,장암온수,온수장암,장암석남
15:06,15:10,18:07,18:12
