용마산방면,군자방면,용마산방면,군자방면
평일,평일,주말,주말
05:35첫,05:44첫,05:35첫,05:44첫
건대입구장암,태릉입구석남,건대입구장암,태릉입구석남
5:49,5:56,5:49,5:56
청담장암,도봉산석남,청담장암,도봉산석남
6:00,6:06,6:02,6:06
내방장암,장암석남,내방장암,장암석남
6:13,6:14,6:13,6:16
신풍장암,도봉산석남,신풍장암,도봉산석남
6:25,6:21,6:25,6:26
온수장암,도봉산석남,온수도봉산,장암온수
6:35,6:28,6:35,6:35
온수장암,장암석남,온수장암,도봉산석남
6:47,6:35,6:46,6:43
석남장암,도봉산석남,석남도봉산,장암석남
6:54,6:41,6:53,6:50
온수도봉산,도봉산석남,온수도봉산,도봉산온수
-,6:47,-,6:57
-,장암석남,-,장암석남
-,6:53,7:02,7:04
-,도봉산석남,석남장암,도봉산온수
-,6:59,7:10,7:11
-,장암석남,석남도봉산,장암석남
7:02,7:05,7:18,7:18
석남장암,도봉산석남,온수도봉산,도봉산온수
7:09,7:11,7:25,7:25
온수장암,장암석남,석남장암,도봉산석남
7:15,7:17,7:32,7:32
석남도봉산,도봉산석남,온수도봉산,장암온수
7:22,7:22,7:39,7:39
온수장암,도봉산석남,석남장암,도봉산석남
7:28,7:27,7:46,7:46
석남도봉산,장암석남,석남도봉산,도봉산온수
7:34,7:31,7:53,7:53
온수장암,도봉산석남,석남장암,도봉산석남
7:40,7:36,8:00,8:00
석남도봉산,장암온수,온수도봉산,장암온수
7:45,7:40,8:06,8:07
온수장암,도봉산석남,석남장암,도봉산석남
7:52,7:44,8:13,8:14
석남도봉산,장암온수,온수도봉산,도봉산온수
7:57,7:48,8:19,8:20
온수장암,도봉산석남,석남도봉산,도봉산석남
-,7:53,8:26,8:27
-,도봉산온수,온수장암,장암온수
-,7:56,8:32,8:34
-,장암석남,석남도봉산,도봉산석남
8:03,8:00,8:39,8:40
석남도봉산,도봉산온수,온수장암,장암온수
8:08,8:04,8:45,8:47
온수장암,도봉산석남,석남도봉산,도봉산석남
8:13,8:06,8:52,8:53
석남도봉산,도봉산온수,온수장암,장암온수
8:18,8:09,8:58,-
