뚝섬유원지방면,강남구청방면,뚝섬유원지방면,강남구청방면
평일,평일,주말,주말
05:39첫,05:31첫,05:39첫,05:31첫
청담장암,청담석남,청담장암,청담석남
5:50,5:42,5:51,5:42
내방장암,건대입구석남,내방장암,건대입구석남
,5:55,,5:55
,태릉입구석남,,태릉입구석남
6:03,6:07,6:03,6:07
신풍장암,도봉산석남,신풍장암,도봉산석남
6:15,6:17,6:15,6:17
온수장암,장암석남,온수도봉산,장암석남
6:25,6:25,6:25,6:27
온수장암,도봉산석남,온수장암,도봉산석남
6:36,6:32,6:36,6:37
석남장암,도봉산석남,석남도봉산,장암온수
6:44,6:39,6:43,6:46
온수도봉산,장암석남,온수도봉산,도봉산석남
6:51,6:46,6:52,6:54
석남장암,도봉산석남,석남장암,장암석남
6:58,6:52,7:00,7:01
온수장암,도봉산석남,석남도봉산,도봉산온수
,6:58,7:08,7:08
,장암석남,온수도봉산,장암석남
7:04,7:04,7:15,7:15
석남도봉산,도봉산석남,석남장암,도봉산온수
7:11,7:10,7:22,7:22
온수장암,장암석남,온수도봉산,장암석남
7:17,7:16,7:29,7:29
석남도봉산,도봉산석남,석남장암,도봉산온수
7:23,7:22,7:36,7:36
온수장암,장암석남,석남도봉산,도봉산석남
7:29,7:28,7:43,7:43
석남도봉산,도봉산석남,석남장암,장암온수
7:35,7:33,7:49,7:50
온수장암,도봉산석남,온수도봉산,도봉산석남
7:41,7:38,7:56,7:57
석남도봉산,장암석남,석남장암,도봉산온수
7:47,7:42,8:02,8:04
온수장암,도봉산석남,온수도봉산,도봉산석남
7:52,7:47,8:09,8:11
석남도봉산,장암온수,석남도봉산,장암온수
7:57,7:51,8:15,8:18
온수장암,도봉산석남,온수장암,도봉산석남
,7:56,8:22,8:25
,장암온수,석남도봉산,도봉산온수
8:02,8:00,8:28,8:31
석남도봉산,도봉산석남,온수장암,도봉산석남
8:07,8:04,8:35,8:38
석남장암,도봉산온수,석남도봉산,장암온수
8:11,8:08,8:41,8:45
온수도봉산,장암석남,온수장암,도봉산석남
8:15,8:11,8:48,8:51
석남도봉산,도봉산온수,석남도봉산,장암온수
8:19,8:15,8:54,8:58
석남장암,도봉산석남,온수장암,도봉산석남
8:23,8:17,9:01,9:04
석남도봉산,도봉산온수,석남도봉산,장암온수
8:27,8:20,9:07,9:11
석남도봉산,도봉산온수,온수장암,도봉산석남
8:32,8:22,9:14,9:17
석남장암,장암석남,석남도봉산,장암온수
8:36,8:26,9:20,9:24
석남도봉산,도봉산온수,온수장암,도봉산석남
8:40,8:28,9:27,9:30
석남도봉산,도봉산온수,석남도봉산,장암온수
8:44,8:31,9:33,9:37
온수장암,도봉산석남,온수장암,도봉산석남
8:48,8:34,9:40,9:43
석남도봉산,장암온수,석남도봉산,도봉산온수
8:51,8:37,9:46,9:50
석남도봉산,도봉산온수,온수장암,장암석남
8:55,8:40,9:53,9:56
석남수락산,도봉산석남,석남도봉산,도봉산온수
8:58,8:42,9:59,
석남장암,도봉산온수,온수장암,
,8:45,10:06,10:03
,도봉산온수,석남도봉산,장암석남
,8:47,10:12,10:09
,장암석남,온수장암,도봉산온수
,8:50,10:19,10:16
,도봉산온수,석남도봉산,장암석남
,8:53,10:26,10:22
,도봉산온수,온수장암,도봉산온수
,8:56,10:32,10:29
,도봉산석남,석남도봉산,장암석남
,8:59,10:39,10:35
,장암온수,온수장암,도봉산온수
9:00,9:02,10:45,10:42
석남도봉산,도봉산온수,석남도봉산,장암석남
9:03,9:06,10:52,10:48
석남도봉산,도봉산석남,온수장암,도봉산온수
9:07,9:09,10:58,10:55
석남도봉산,장암온수,석남도봉산,장암석남
9:11,9:13,11:05,11:01
석남장암,도봉산온수,온수장암,도봉산온수
9:14,9:17,11:11,11:08
석남도봉산,도봉산석남,석남도봉산,장암석남
9:18,9:21,11:18,11:14
석남도봉산,장암온수,온수장암,도봉산온수
9:22,9:26,11:24,11:21
석남도봉산,도봉산온수,석남도봉산,장암석남
9:26,9:31,11:31,11:27
석남장암,장암석남,온수장암,도봉산온수
9:30,9:36,11:37,11:34
석남도봉산,도봉산온수,석남도봉산,장암석남
9:34,9:41,11:44,11:41
석남도봉산,장암온수,온수장암,도봉산온수
9:38,9:46,11:50,11:47
석남장암,도봉산석남,석남도봉산,장암석남
9:42,9:52,11:57,11:54
온수도봉산,장암온수,온수장암,도봉산온수
9:46,9:58,12:03,12:00
석남도봉산,도봉산석남,석남도봉산,장암석남
9:50,,12:10,12:07
석남도봉산,,온수장암,도봉산온수
9:54,,12:16,12:13
석남장암,,석남도봉산,장암석남
10:00,10:04,12:23,12:20
석남도봉산,장암온수,온수장암,도봉산온수
10:05,10:10,12:29,12:26
온수장암,도봉산석남,석남도봉산,장암석남
10:09,10:16,12:36,12:33
석남도봉산,장암온수,온수장암,도봉산온수
10:14,10:22,12:42,12:39
온수도봉산,도봉산석남,석남도봉산,장암석남
10:19,10:28,12:49,12:46
석남장암,도봉산온수,온수장암,도봉산온수
10:25,10:34,12:55,12:52
