강남구청방면,논현방면,강남구청방면,논현방면
평일,평일,주말,주말
05:46첫,05:34첫,05:47첫,05:34첫
내방장암,청담석남,내방장암,청담석남
5:59,5:46,5:59,5:46
신풍장암,건대입구석남,신풍장암,건대입구석남
-,5:58,-,5:58
-,태릉입구석남,-,태릉입구석남
6:11,6:11,6:11,6:11
온수장암,도봉산석남,온수도봉산,도봉산석남
6:21,6:21,6:21,6:21
온수장암,장암석남,온수장암,장암석남
6:32,6:29,6:32,6:31
석남장암,도봉산석남,석남도봉산,도봉산석남
6:40,6:36,6:39,6:41
온수도봉산,도봉산석남,온수도봉산,장암온수
6:47,6:43,6:48,6:50
석남장암,장암석남,석남장암,도봉산석남
6:54,6:49,6:56,6:58
온수장암,도봉산석남,석남도봉산,장암석남
-,6:56,7:04,7:05
-,도봉산석남,온수도봉산,도봉산온수
7:00,7:02,7:11,7:12
석남도봉산,장암석남,석남장암,장암석남
7:07,7:08,7:18,7:19
온수장암,도봉산석남,온수도봉산,도봉산온수
7:14,7:14,7:25,7:26
석남도봉산,장암석남,석남장암,장암석남
7:19,7:20,7:32,7:33
온수장암,도봉산석남,석남도봉산,도봉산온수
7:25,7:26,7:39,7:40
석남도봉산,장암석남,석남장암,도봉산석남
7:31,7:31,7:45,7:47
온수장암,도봉산석남,온수도봉산,장암온수
7:37,7:37,7:52,7:54
석남도봉산,도봉산석남,석남장암,도봉산석남
7:43,7:42,7:58,-
온수장암,장암석남,온수도봉산,-
7:48,7:46,8:05,8:01
석남도봉산,도봉산석남,석남도봉산,도봉산온수
7:53,7:51,8:11,8:08
온수장암,장암온수,온수장암,도봉산석남
7:58,7:55,8:18,8:15
석남도봉산,도봉산석남,석남도봉산,장암온수
-,7:59,8:24,8:22
-,장암온수,온수장암,도봉산석남
8:03,8:03,8:31,8:28
석남장암,도봉산석남,석남도봉산,도봉산온수
8:07,8:08,8:37,8:35
온수도봉산,도봉산온수,온수장암,도봉산석남
8:11,8:11,8:44,8:41
석남도봉산,장암석남,석남도봉산,장암온수
8:15,8:15,8:50,8:48
석남장암,도봉산온수,온수장암,도봉산석남
8:19,8:19,8:57,8:55
석남도봉산,도봉산석남,석남도봉산,장암온수
8:23,8:21,9:03,9:01
석남도봉산,도봉산온수,온수장암,도봉산석남
8:28,8:24,9:10,9:08
석남장암,도봉산온수,석남도봉산,장암온수
8:32,8:26,9:16,9:14
석남도봉산,장암석남,온수장암,도봉산석남
8:36,8:30,9:23,9:21
석남도봉산,도봉산온수,석남도봉산,장암온수
8:40,8:32,9:29,9:27
온수장암,도봉산온수,온수장암,도봉산석남
8:44,8:35,9:36,9:34
석남도봉산,도봉산석남,석남도봉산,장암온수
8:47,8:38,9:42,9:40
석남도봉산,장암온수,온수장암,도봉산석남
8:51,8:41,9:49,9:47
석남수락산,도봉산온수,석남도봉산,도봉산온수
8:54,8:44,9:55,9:53
석남장암,도봉산석남,온수장암,장암석남
8:56,8:46,10:02,10:00
석남도봉산,도봉산온수,석남도봉산,도봉산온수
8:59,8:49,10:08,10:06
석남도봉산,도봉산온수,온수장암,장암석남
-,8:51,10:15,10:13
-,장암석남,석남도봉산,도봉산온수
-,8:54,10:22,10:19
-,도봉산온수,온수장암,장암석남
-,8:57,10:28,10:26
-,도봉산온수,석남도봉산,도봉산온수
9:03,9:00,10:35,10:32
석남도봉산,도봉산석남,온수장암,장암석남
9:07,9:03,10:41,10:39
석남장암,장암온수,석남도봉산,도봉산온수
9:10,9:06,10:48,10:45
석남도봉산,도봉산온수,온수장암,장암석남
9:14,9:10,10:54,10:52
석남도봉산,도봉산석남,석남도봉산,도봉산온수
9:18,9:13,-,10:58
석남도봉산,장암온수,-,장암석남
9:22,9:17,11:01,11:05
석남장암,도봉산온수,온수장암,도봉산온수
9:26,9:21,11:07,11:11
석남도봉산,도봉산석남,석남도봉산,장암석남
9:30,9:25,11:14,11:18
석남도봉산,장암온수,온수장암,도봉산온수
9:34,9:30,11:20,11:24
석남장암,도봉산온수,석남도봉산,장암석남
9:38,9:35,11:27,11:31
온수도봉산,장암석남,온수장암,도봉산온수
9:42,9:40,11:33,11:37
석남도봉산,도봉산온수,석남도봉산,장암석남
9:46,9:44,11:40,11:44
석남도봉산,장암온수,온수장암,도봉산온수
9:50,9:50,11:46,11:51
석남장암,도봉산석남,석남도봉산,장암석남
9:56,9:56,11:53,11:57
석남도봉산,장암온수,온수장암,도봉산온수
10:01,10:02,11:59,-
온수장암,도봉산석남,석남도봉산,-
10:05,10:08,12:06,12:04
석남도봉산,장암온수,온수장암,장암석남
10:10,10:14,12:12,12:10
온수도봉산,도봉산석남,석남도봉산,도봉산온수
10:15,10:20,12:19,12:17
석남장암,장암온수,온수장암,장암석남
10:21,10:26,12:25,12:23
석남도봉산,도봉산석남,석남도봉산,도봉산온수
10:26,10:32,12:32,12:30
석남장암,도봉산온수,온수장암,장암석남
10:32,10:38,12:38,12:36
석남도봉산,장암석남,석남도봉산,도봉산온수
10:38,10:44,12:45,12:43
석남장암,도봉산온수,온수장암,장암석남
10:44,10:50,12:51,12:49
석남도봉산,장암석남,석남도봉산,도봉산온수
10:50,10:56,12:58,12:56
온수장암,도봉산온수,온수장암,장암석남
10:56,-,13:04,13:02
석남도봉산,-,석남도봉산,도봉산온수
11:02,11:02,13:11,13:09
석남장암,장암석남,온수장암,장암석남
11:08,11:08,13:18,13:15
온수도봉산,도봉산온수,석남도봉산,도봉산온수
11:14,11:14,13:24,13:22
석남장암,도봉산석남,온수장암,장암석남
11:20,11:20,13:31,13:28
석남도봉산,장암온수,석남도봉산,도봉산온수
11:26,11:26,13:37,13:35
온수장암,도봉산석남,온수장암,장암석남
11:32,11:32,13:44,13:41
석남도봉산,장암온수,석남도봉산,도봉산온수
11:38,11:38,13:50,13:48
온수장암,도봉산석남,온수장암,장암석남
11:44,11:44,13:57,13:54
석남도봉산,장암온수,석남도봉산,도봉산온수
11:50,11:50,14:03,14:01
온수장암,도봉산석남,온수장암,장암석남
11:56,11:56,14:10,14:07
석남도봉산,장암온수,석남도봉산,도봉산온수
12:02,12:02,14:16,14:14
온수장암,도봉산석남,온수장암,장암석남
12:08,12:08,14:23,14:20
석남도봉산,장암온수,석남도봉산,도봉산온수
12:14,12:14,14:29,14:27
온수장암,도봉산석남,온수장암,장암석남
12:20,12:20,14:36,14:33
석남도봉산,장암온수,석남도봉산,도봉산온수
12:26,12:26,14:42,14:40
온수장암,도봉산석남,온수장암,장암석남
12:32,12:32,14:49,14:47
석남도봉산,장암온수,석남도봉산,도봉산온수
12:38,12:38,14:55,14:53
온수장암,도봉산석남,온수장암,장암석남
12:44,12:44,15:02,15:00
석남도봉산,장암온수,석남도봉산,도봉산온수
12:50,12:50,15:08,15:06
온수장암,도봉산석남,온수장암,장암석남
12:56,12:56,15:15,15:13
석남도봉산,장암온수,석남도봉산,도봉산온수
13:02,13:02,15:21,15:19
온수장암,도봉산석남,온수장암,장암석남
13:08,13:08,15:28,15:26
석남도봉산,장암온수,석남도봉산,도봉산온수
13:14,13:14,15:34,15:32
온수장암,도봉산석남,온수장암,장암석남
13:20,13:20,15:41,15:39
석남도봉산,장암온수,석남도봉산,도봉산온수
13:26,13:26,15:47,15:45
온수장암,도봉산석남,온수장암,장암석남
13:32,13:32,15:54,15:52
석남도봉산,장암온수,석남도봉산,도봉산온수
13:38,13:38,-,15:58
온수장암,도봉산석남,-,장암석남
13:44,13:44,16:00,16:05
석남도봉산,장암온수,온수장암,도봉산온수
13:50,13:50,16:07,16:11
온수장암,도봉산석남,석남도봉산,장암석남
13:56,13:56,16:14,16:18
석남도봉산,장암온수,온수장암,도봉산온수
14:02,14:02,16:20,16:24
온수장암,도봉산석남,석남도봉산,장암석남
14:08,14:08,16:27,16:31
석남도봉산,장암온수,온수장암,도봉산온수
14:14,14:14,16:33,16:37
온수장암,도봉산석남,석남도봉산,장암석남
14:20,14:20,16:40,16:44
석남도봉산,장암온수,온수장암,도봉산온수
14:26,14:26,16:46,16:50
온수장암,도봉산석남,석남도봉산,장암석남
14:32,14:32,16:53,16:57
석남도봉산,장암온수,온수장암,도봉산온수
14:38,14:38,16:59,-
온수장암,도봉산석남,석남도봉산,-
14:44,14:44,17:06,17:03
석남도봉산,장암온수,온수장암,장암석남
14:50,14:50,17:12,17:10
온수장암,도봉산석남,석남도봉산,도봉산온수
14:56,14:56,17:19,17:16
석남도봉산,장암온수,온수장암,장암석남
15:02,15:02,17:25,17:23
온수장암,도봉산석남,석남도봉산,도봉산온수
15:08,15:08,17:32,17:30
석남도봉산,장암온수,온수장암,장암석남
15:14,15:14,17:38,17:36
온수장암,도봉산석남,석남도봉산,도봉산온수
