가락시장방면,장지방면,가락시장방면,장지방면
평일,평일,주말,주말
05:47첫,05:27첫,05:47첫,05:27첫
모란암사,가락시장모란,모란암사,가락시장모란
5:57,5:45,5:57,5:45
모란암사,암사모란,모란암사,암사모란
,5:55,,5:55
,암사모란,,암사모란
6:07,6:05,6:07,6:05
모란암사,암사모란,모란암사,암사모란
6:17,6:15,6:16,6:15
모란암사,암사모란,모란암사,암사모란
6:27,6:25,6:25,6:25
모란암사,암사모란,모란암사,암사모란
6:36,6:35,6:34,6:35
모란암사,암사모란,모란암사,암사모란
6:45,6:45,6:43,6:45
모란암사,암사모란,모란암사,암사모란
6:52,6:55,6:52,6:55
모란암사,암사모란,모란암사,암사모란
6:59,,7:01,7:04
모란암사,,모란암사,암사모란
7:05,7:05,7:10,7:13
모란암사,암사모란,모란암사,암사모란
7:11,7:14,7:19,7:22
모란암사,암사모란,모란암사,암사모란
7:17,7:23,7:28,7:31
모란암사,암사모란,모란암사,암사모란
7:22,7:30,7:37,7:40
모란암사,암사모란,모란암사,암사모란
7:27,7:37,7:46,7:48
모란암사,암사모란,모란암사,암사모란
7:32,7:43,7:55,7:57
모란암사,암사모란,모란암사,암사모란
7:37,7:49,8:04,8:06
모란암사,암사모란,모란암사,암사모란
7:42,7:55,8:13,8:15
모란암사,암사모란,모란암사,암사모란
7:47,,8:22,8:24
모란암사,,모란암사,암사모란
7:52,,8:31,8:33
모란암사,,모란암사,암사모란
7:57,,8:40,8:42
모란암사,,모란암사,암사모란
8:01,8:00,8:49,8:51
모란암사,암사모란,모란암사,암사모란
8:06,8:05,8:58,
모란암사,암사모란,모란암사,
8:10,8:10,9:07,9:00
모란암사,암사모란,모란암사,암사모란
8:15,8:15,9:16,9:09
모란암사,암사모란,모란암사,암사모란
8:19,8:20,9:25,9:18
모란암사,암사모란,모란암사,암사모란
8:24,8:25,9:34,9:27
모란암사,암사모란,모란암사,암사모란
8:29,8:30,9:43,9:36
모란암사,암사모란,모란암사,암사모란
8:35,8:35,9:52,9:45
모란암사,암사모란,모란암사,암사모란
8:41,8:40,,9:54
모란암사,암사모란,,암사모란
8:47,8:44,10:01,10:03
모란암사,암사모란,모란암사,암사모란
8:54,8:49,10:10,10:12
모란암사,암사모란,모란암사,암사모란
,8:53,10:19,10:21
,암사모란,모란암사,암사모란
,8:58,10:28,10:30
,암사모란,모란암사,암사모란
9:02,9:03,10:37,10:39
모란암사,암사모란,모란암사,암사모란
9:09,9:09,10:46,10:48
모란암사,암사모란,모란암사,암사모란
9:17,9:15,10:55,10:57
모란암사,암사모란,모란암사,암사모란
9:25,9:21,11:04,11:06
모란암사,암사모란,모란암사,암사모란
9:33,9:27,11:13,11:15
모란암사,암사모란,모란암사,암사모란
9:41,9:34,11:22,11:24
모란암사,암사모란,모란암사,암사모란
9:49,9:41,11:31,11:33
모란암사,암사모란,모란암사,암사모란
9:57,9:48,11:40,11:42
모란암사,암사모란,모란암사,암사모란
,9:55,11:49,11:51
,암사모란,모란암사,암사모란
10:06,10:03,11:58,
모란암사,암사모란,모란암사,
10:14,10:11,12:07,12:00
모란암사,암사모란,모란암사,암사모란
10:23,10:19,12:16,12:09
모란암사,암사모란,모란암사,암사모란
10:31,10:28,12:25,12:18
모란암사,암사모란,모란암사,암사모란
10:40,10:36,12:34,12:27
모란암사,암사모란,모란암사,암사모란
10:48,10:45,12:43,12:36
모란암사,암사모란,모란암사,암사모란
10:57,10:53,12:52,12:45
모란암사,암사모란,모란암사,암사모란
11:05,11:02,,12:54
모란암사,암사모란,,암사모란
11:14,11:10,13:01,13:03
모란암사,암사모란,모란암사,암사모란
11:22,11:19,13:10,13:12
모란암사,암사모란,모란암사,암사모란
11:31,11:27,13:19,13:21
모란암사,암사모란,모란암사,암사모란
11:39,11:36,13:28,13:30
모란암사,암사모란,모란암사,암사모란
11:48,11:44,13:37,13:39
모란암사,암사모란,모란암사,암사모란
11:56,11:53,13:46,13:48
모란암사,암사모란,모란암사,암사모란
12:05,12:01,13:55,13:57
모란암사,암사모란,모란암사,암사모란
12:13,12:10,14:04,14:06
모란암사,암사모란,모란암사,암사모란
12:22,12:18,14:13,14:15
모란암사,암사모란,모란암사,암사모란
12:30,12:27,14:22,14:24
모란암사,암사모란,모란암사,암사모란
12:39,12:35,14:31,14:33
모란암사,암사모란,모란암사,암사모란
12:47,12:44,14:40,14:42
모란암사,암사모란,모란암사,암사모란
12:56,12:52,14:49,14:51
모란암사,암사모란,모란암사,암사모란
13:04,13:01,14:58,
모란암사,암사모란,모란암사,
13:13,13:09,15:07,15:00
모란암사,암사모란,모란암사,암사모란
13:21,13:18,15:16,15:09
모란암사,암사모란,모란암사,암사모란
13:30,13:26,15:25,15:18
모란암사,암사모란,모란암사,암사모란
13:38,13:35,15:34,15:27
모란암사,암사모란,모란암사,암사모란
13:47,13:43,15:43,15:36
모란암사,암사모란,모란암사,암사모란
13:55,13:52,15:52,15:45
모란암사,암사모란,모란암사,암사모란
14:04,14:00,,15:54
모란암사,암사모란,,암사모란
14:12,14:09,16:01,16:03
모란암사,암사모란,모란암사,암사모란
14:21,14:17,16:10,16:12
모란암사,암사모란,모란암사,암사모란
14:29,14:26,16:19,16:21
모란암사,암사모란,모란암사,암사모란
14:38,14:34,16:28,16:30
