신반포방면,동작방면,신반포방면,동작방면,,,
평일,평일,주말,주말,,,
05:32첫,05:38첫,05:32첫,05:37첫,,,
동작중앙보훈병원,신논현개화,동작중앙보훈병원,신논현개화,,,
5:45,5:51,5:45,5:51,,,
여의도중앙보훈병원,삼전개화,여의도중앙보훈병원,삼전개화,,,
5:59,-,5:57,-,,,
염창중앙보훈병원,-,염창중앙보훈병원,-,,,
6:11,6:06,6:09,6:08,,,
마곡나루중앙보훈병원,중앙보훈병원개화,마곡나루중앙보훈병원,중앙보훈병원개화,,,
6:21,6:21,6:20,6:20,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
6:33,6:34,6:32,6:33,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
6:45,6:47,6:44,6:46,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
6:57,-,6:56,6:58,,,
개화중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화,,,
7:04,7:00,7:08,7:10,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
7:13,7:13,7:20,7:22,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
7:21,7:26,7:32,7:34,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
7:28,7:33,7:44,7:46,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
7:35,7:45,7:56,7:58,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
7:41,7:57,8:08,8:10,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
7:48,-,8:20,8:22,,,
개화중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화,,,
7:55,-,8:32,8:34,,,
개화중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화,,,
8:02,8:05,8:44,8:46,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
8:09,8:13,8:56,8:58,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
8:16,8:22,9:08,9:10,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
8:22,8:31,9:20,9:22,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
8:29,8:39,9:32,9:34,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
