신논현방면,고속터미널방면,신논현방면,고속터미널방면
평일,평일,주말,주말
05:39첫,05:32첫,05:37첫,05:32첫
동작중앙보훈병원,신논현개화,동작중앙보훈병원,신논현개화
5:52,5:45,5:50,5:45
여의도중앙보훈병원,삼전개화,여의도중앙보훈병원,삼전개화
6:06,6:00,6:03,6:03
염창중앙보훈병원,중앙보훈병원개화,염창중앙보훈병원,중앙보훈병원개화
6:17,6:15,6:15,6:14
마곡나루중앙보훈병원,중앙보훈병원개화,마곡나루중앙보훈병원,중앙보훈병원개화
6:27,6:28,6:25,6:27
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
6:39,6:41,6:37,6:40
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
6:51,6:54,6:49,6:52
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
7:04,7:07,7:01,7:04
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
7:13,7:20,7:13,7:16
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
7:22,7:27,7:25,7:28
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
7:29,7:39,7:37,7:40
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
7:36,7:51,7:49,7:52
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
7:43,7:59,8:01,8:04
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
7:50,-,8:13,8:16
개화중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화
7:57,-,8:25,8:28
개화중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화
8:03,8:07,8:37,8:40
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
8:10,8:16,8:49,8:52
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
8:17,8:25,9:01,9:04
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
8:24,8:33,9:13,9:16
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
8:31,8:41,9:25,9:28
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
8:38,8:48,9:37,9:40
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
8:44,8:54,9:49,9:52
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
8:51,-,10:00,10:04
개화중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화
8:58,-,10:11,10:16
개화중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화
9:05,9:01,10:22,10:27
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
9:12,9:08,10:33,10:38
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
9:19,9:15,10:44,10:49
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
9:24,9:22,10:55,-
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,-
9:32,9:29,11:06,11:00
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
9:43,9:35,11:17,11:11
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
9:54,9:42,11:28,11:22
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
-,9:49,11:39,11:33
-,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
-,9:56,11:50,11:44
-,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
10:05,10:03,-,11:55
개화중앙보훈병원,중앙보훈병원개화,-,중앙보훈병원개화
10:16,10:10,12:01,12:06
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
10:27,10:16,12:12,12:17
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
10:38,10:24,12:23,12:28
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
10:49,10:30,12:34,12:39
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
-,10:38,12:45,12:50
-,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
-,10:45,12:56,-
-,중앙보훈병원개화,개화중앙보훈병원,-
-,10:52,13:07,13:01
-,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
11:00,11:03,13:18,13:12
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
11:11,11:14,13:29,13:23
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
11:22,11:25,13:40,13:34
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
11:33,11:36,13:51,13:45
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
11:44,11:47,-,13:56
개화중앙보훈병원,중앙보훈병원개화,-,중앙보훈병원개화
11:55,11:58,14:02,14:07
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
12:07,12:09,14:13,14:18
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
12:19,12:20,14:24,14:29
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
12:30,12:31,14:35,14:40
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
12:41,12:42,14:46,14:51
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
12:52,12:54,14:57,-
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,-
13:03,13:06,15:08,15:02
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
13:14,13:17,15:19,15:13
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
13:25,13:28,15:30,15:24
