선정릉방면,봉은사방면,선정릉방면,봉은사방면
평일,평일,주말,주말
05:37첫,05:35첫,05:37첫,05:35첫
삼전개화,신논현중앙보훈병원,삼전개화,신논현중앙보훈병원
5:52,5:48,5:54,5:46
중앙보훈병원개화,동작중앙보훈병원,중앙보훈병원개화,동작중앙보훈병원
6:05,6:01,-,5:59
중앙보훈병원개화,여의도중앙보훈병원,-,여의도중앙보훈병원
6:18,6:14,6:06,6:11
중앙보훈병원개화,염창중앙보훈병원,중앙보훈병원개화,염창중앙보훈병원
6:31,6:25,6:19,6:22
중앙보훈병원개화,마곡나루중앙보훈병원,중앙보훈병원개화,마곡나루중앙보훈병원
6:44,6:35,6:32,6:33
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
6:57,6:48,6:44,6:45
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
7:10,7:00,6:56,6:57
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
7:18,7:12,7:08,7:09
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
7:30,7:21,7:20,7:21
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
7:42,7:30,7:32,7:33
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
7:50,7:37,7:44,7:45
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
7:57,7:44,7:56,7:57
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
-,7:51,8:08,8:09
-,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
-,7:58,8:20,8:21
-,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
8:05,8:05,8:32,8:33
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
8:14,8:11,8:44,8:45
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
8:22,8:18,8:56,8:57
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
8:30,8:25,9:08,9:09
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
8:37,8:32,9:20,9:21
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
8:44,8:39,9:32,9:33
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
8:51,8:46,9:44,9:45
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
8:57,8:52,9:56,9:57
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
-,8:59,10:08,10:08
-,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
9:04,9:06,10:19,10:19
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
9:11,9:13,10:30,10:30
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
9:18,9:20,10:41,10:41
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
9:25,9:27,10:52,10:52
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
9:32,9:32,11:03,11:03
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
9:38,9:40,11:14,11:14
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
9:45,9:51,11:25,11:25
중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원
9:52,-,11:36,11:36
중앙보훈병원개화,-,중앙보훈병원개화,개화중앙보훈병원
9:59,-,11:47,11:47
중앙보훈병원개화,-,중앙보훈병원개화,개화중앙보훈병원
