삼성중앙방면,언주방면,삼성중앙방면,언주방면,,,
평일,평일,주말,주말,,,
05:33첫,05:39첫,05:33첫,05:39첫,,,
신논현중앙보훈병원,삼전개화,신논현중앙보훈병원,삼전개화,,,
5:45,5:54,5:43,5:56,,,
동작중앙보훈병원,중앙보훈병원개화,동작중앙보훈병원,중앙보훈병원개화,,,
05:51급첫,-,05:50급첫,-,,,
당산중앙보훈병원,-,당산중앙보훈병원,-,,,
5:59,-,5:56,-,,,
여의도중앙보훈병원,-,여의도중앙보훈병원,-,,,
06:06급,6:07,06:02급,6:08,,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원개화,,,
6:12,06:09급첫,6:09,06:15급첫,,,
염창중앙보훈병원,중앙보훈병원김포공항,염창중앙보훈병원,중앙보훈병원김포공항,,,
06:18급,6:20,06:14급,6:21,,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원개화,,,
6:23,06:23급,6:20,06:28급,,,
마곡나루중앙보훈병원,중앙보훈병원김포공항,마곡나루중앙보훈병원,중앙보훈병원김포공항,,,
06:28급,6:33,06:25급,6:34,,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원개화,,,
6:33,06:36급,6:31,06:40급,,,
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원김포공항,,,
06:40급,6:46,06:37급,6:46,,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원개화,,,
6:46,06:49급,6:43,06:52급,,,
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원김포공항,,,
06:52급,6:59,06:49급,6:58,,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원개화,,,
6:58,-,6:55,-,,,
개화중앙보훈병원,-,개화중앙보훈병원,-,,,
07:04급,07:02급,07:01급,07:04급,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
7:10,7:12,7:07,7:10,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
07:16급,07:15급,07:13급,07:16급,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
7:19,7:20,7:19,7:22,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
07:25급,07:27급,07:25급,07:28급,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
7:28,7:32,7:31,7:34,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
07:32급,07:39급,07:37급,07:40급,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
7:35,7:44,7:43,7:46,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
07:39급,07:51급,07:49급,07:52급,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
7:42,7:52,7:55,7:58,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
07:46급,7:59,08:01급,08:04급,,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
7:49,-,8:07,8:10,,,
개화중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화,,,
07:53급,-,08:13급,08:16급,,,
김포공항중앙보훈병원,-,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
7:56,-,8:19,8:22,,,
개화중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화,,,
08:00급,08:02급,08:25급,08:28급,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
8:03,8:07,8:31,8:34,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
08:07급,08:11급,08:37급,08:40급,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
8:09,8:16,8:43,8:46,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
08:14급,08:19급,08:49급,08:52급,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
8:16,8:24,8:55,8:58,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
08:20급,08:27급,09:01급,09:04급,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
8:23,8:32,9:07,9:10,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
08:27급,08:35급,09:13급,09:16급,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
8:30,8:39,9:19,9:22,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
08:34급,08:42급,09:25급,09:28급,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
8:37,8:46,9:31,9:34,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
08:41급,08:48급,09:37급,09:40급,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
8:44,8:53,9:43,9:46,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
08:48급,08:55급,09:49급,09:52급,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
8:50,8:59,9:55,9:58,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
08:55급,-,10:00급,10:04급,,,
김포공항중앙보훈병원,-,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
8:57,-,10:06,10:10,,,
개화중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화,,,
09:01급,09:02급,10:11급,10:16급,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
9:04,9:06,10:17,10:21,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
09:08급,09:09급,10:22급,10:27급,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
9:11,9:13,10:28,10:32,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
09:15급,09:16급,10:33급,10:38급,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
9:18,9:20,10:39,10:43,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
09:22급,09:23급,10:44급,10:49급,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
9:25,9:27,10:50,10:54,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
