언주방면,사평방면,언주방면,사평방면,,
평일,평일,주말,주말,,
05:30첫,05:30첫,05:30첫,05:30첫,,
신논현중앙보훈병원,신논현개화,신논현중앙보훈병원,신논현개화,,
5:41,5:43,5:40,5:43,,
동작중앙보훈병원,삼전개화,동작중앙보훈병원,삼전개화,,
05:49급첫,5:58,05:48급첫,-,,
당산중앙보훈병원,중앙보훈병원개화,당산중앙보훈병원,-,,
5:55,-,5:53,-,,
여의도중앙보훈병원,-,여의도중앙보훈병원,-,,
06:03급,6:11,06:00급,6:00,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원개화,,
6:08,06:12급첫,6:05,6:12,,
염창중앙보훈병원,중앙보훈병원김포공항,염창중앙보훈병원,중앙보훈병원개화,,
06:15급,6:24,06:12급,06:17급첫,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
6:19,06:26급,6:17,6:25,,
마곡나루중앙보훈병원,중앙보훈병원김포공항,마곡나루중앙보훈병원,중앙보훈병원개화,,
06:25급,6:37,06:23급,06:30급,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
6:29,06:39급,6:27,6:38,,
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,
06:37급,6:50,06:35급,06:43급,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
6:42,06:52급,6:39,6:50,,
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,
06:49급,-,06:47급,06:55급,,
김포공항중앙보훈병원,-,김포공항중앙보훈병원,중앙보훈병원김포공항,,
6:54,-,6:51,-,,
개화중앙보훈병원,-,개화중앙보훈병원,-,,
07:01급,7:03,06:59급,-,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,-,,
7:06,07:05급,7:03,7:02,,
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,
07:13급,7:16,07:11급,07:07급,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
7:15,07:18급,7:15,7:14,,
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,
07:22급,7:24,07:23급,07:19급,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
7:24,07:30급,7:27,7:26,,
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,
07:29급,7:36,07:35급,07:31급,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
7:31,07:42급,7:39,7:38,,
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,
07:36급,7:48,07:47급,07:43급,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
7:38,07:54급,7:51,7:50,,
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,
07:43급,7:57,07:59급,07:55급,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
7:45,-,8:03,8:02,,
개화중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화,,
07:50급,-,08:11급,08:07급,,
김포공항중앙보훈병원,-,김포공항중앙보훈병원,중앙보훈병원김포공항,,
7:52,-,8:15,8:14,,
개화중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화,,
07:57급,-,08:23급,08:19급,,
김포공항중앙보훈병원,-,김포공항중앙보훈병원,중앙보훈병원김포공항,,
7:59,-,8:27,8:26,,
개화중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화,,
08:04급,8:03,08:35급,08:31급,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
8:06,08:05급,8:39,8:38,,
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,
08:10급,8:12,08:47급,08:43급,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
8:12,08:13급,8:51,8:50,,
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,
08:17급,8:20,08:59급,08:55급,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
8:19,08:22급,9:03,9:02,,
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,
08:24급,8:29,09:11급,09:07급,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
8:26,08:30급,9:15,9:14,,
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,
08:31급,8:36,09:23급,09:19급,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
8:33,08:38급,9:27,9:26,,
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,
08:38급,8:43,09:35급,09:31급,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
8:40,08:45급,9:39,9:38,,
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,
08:45급,8:50,09:47급,09:43급,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
8:47,08:51급,9:51,9:50,,
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,
08:51급,8:57,09:58급,09:55급,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
8:53,08:58급,10:02,10:02,,
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,
08:58급,-,10:09급,10:07급,,
김포공항중앙보훈병원,-,김포공항중앙보훈병원,중앙보훈병원김포공항,,
9:00,9:04,10:13,10:14,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
09:05급,09:05급,10:20급,10:18급,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,
9:07,9:11,10:24,10:25,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
09:12급,09:12급,10:31급,10:29급,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,
9:14,9:17,10:35,10:36,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
09:19급,09:19급,10:42급,10:40급,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,
9:21,9:24,10:46,10:47,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
9:26,09:26급,10:53급,10:51급,,
개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,
09:30급,9:31,10:57,10:58,,
김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
9:34,09:32급,11:04급,11:02급,,
개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,
09:41급,9:38,11:08,11:09,,
김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
9:45,09:39급,11:15급,11:13급,,
개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,
09:52급,9:45,11:19,11:20,,
김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
9:56,09:46급,11:26급,11:24급,,
개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,
-,9:52,11:30,11:31,,
-,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
-,09:53급,11:37급,11:35급,,
-,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,
-,9:58,11:41,11:42,,
-,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
10:03급,10:00급,11:48급,11:46급,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,
10:07,10:05,11:52,11:53,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
10:14급,10:07급,11:59급,11:57급,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,
10:18,10:12,12:03,12:04,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
10:25급,10:14급,12:10급,12:08급,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,
10:29,10:20,12:14,12:15,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
10:36급,10:22급,12:21급,12:19급,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,
10:40,10:28,12:25,12:26,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
10:47급,10:33급,12:32급,12:30급,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,
10:51,10:36,12:36,12:37,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
10:58급,10:41,12:43급,12:41급,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
-,10:43급,12:47,12:48,,
-,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,
-,10:50,12:54급,12:52급,,
-,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
-,10:55급,12:58,12:59,,
-,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,
11:02,11:01,13:05급,13:03급,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
11:09급,11:06급,13:09,13:10,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,
11:13,11:12,13:16급,13:14급,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
11:20급,11:17급,13:20,13:21,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,
11:24,11:23,13:27급,13:25급,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
11:31급,11:28급,13:31,13:32,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,
11:35,11:34,13:38급,13:36급,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
11:42급,11:39급,13:42,13:43,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,
11:46,11:45,13:49급,13:47급,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
11:53급,11:50급,13:53,13:54,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,
11:58,11:56,-,13:58급,,
개화중앙보훈병원,중앙보훈병원개화,-,중앙보훈병원김포공항,,
12:05급,12:01급,14:00급,14:05,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,,
12:09,12:07,14:04,14:09급,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,,
12:17급,12:12급,14:11급,14:16,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,,
12:21,12:18,14:15,14:20급,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,,
12:28급,12:23급,14:22급,14:27,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,,
12:32,12:29,14:26,14:31급,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,,
12:39급,12:34급,14:33급,14:38,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,,
12:43,12:40,14:37,14:42급,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,,
12:50급,12:45급,14:44급,14:49,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,,
12:54,12:51,14:48,14:53급,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,,
-,12:57급,14:55급,-,,
-,중앙보훈병원김포공항,김포공항중앙보훈병원,-,,
13:01급,13:03,14:59,-,,
김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,-,,
13:05,13:09급,15:06급,15:00,,
개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,,
13:12급,13:15,15:10,15:04급,,
김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,,
13:16,13:20급,15:17급,15:11,,
개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,,
13:23급,13:26,15:21,15:15급,,
김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,,
13:27,13:31급,15:28급,15:22,,
개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,,
13:34급,13:37,15:32,15:26급,,
김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,,
13:38,13:42급,15:39급,15:33,,
개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,,
13:45급,13:48,15:43,15:37급,,
김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,,
13:49,13:53급,15:50급,15:44,,
개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,,
13:56급,13:59,15:54,15:48급,,
김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,,
14:00,14:04급,-,15:55,,
개화중앙보훈병원,중앙보훈병원김포공항,-,중앙보훈병원개화,,
14:07급,14:10,-,15:59급,,
김포공항중앙보훈병원,중앙보훈병원개화,-,중앙보훈병원김포공항,,
14:11,14:15급,16:01급,16:06,,
개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,,
14:18급,14:21,16:05,16:10급,,
김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,,
14:22,14:26급,16:12급,16:17,,
개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,,
14:29급,14:32,16:16,16:21급,,
김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,,
14:33,14:37급,16:23급,16:28,,
개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,,
14:40급,14:43,16:27,16:32급,,
김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,,
14:45,14:48급,16:34급,16:39,,
개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,,
14:52급,14:54,16:38,16:43급,,
김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,,
14:56,14:59급,16:45급,16:50,,
개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,,
15:04급,15:05,16:49,16:54급,,
김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,,
15:08,15:10급,16:56급,-,,
개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,-,,
15:15급,15:16,17:00,17:01,,
김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
15:19,15:21급,17:07급,17:05급,,
개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,
15:26급,15:27,17:11,17:12,,
김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
15:30,15:32급,17:18급,17:16급,,
개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,
15:37급,15:38,17:22,17:23,,
김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
15:41,15:44급,17:29급,17:27급,,
개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,
15:48급,15:50,17:33,17:34,,
김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
15:52,15:56급,17:40급,17:38급,,
개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,
15:59급,-,17:44,17:45,,
김포공항중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화,,
16:03,16:02,17:51급,17:49급,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
16:10급,16:07급,17:55,17:56,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,
16:14,16:13,18:02급,18:00급,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
16:21급,16:18급,18:06,18:07,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,
16:25,16:24,18:13급,18:11급,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,
16:32급,16:29급,18:17,18:18,,
