선정릉방면,신논현방면,선정릉방면,신논현방면,,
평일,평일,주말,주말,,
05:31첫,05:40첫,05:31첫,05:41첫,,
신논현중앙보훈병원,삼전개화,신논현중앙보훈병원,삼전개화,,
5:43,5:56,5:42,5:58,,
동작중앙보훈병원,중앙보훈병원개화,동작중앙보훈병원,중앙보훈병원개화,,
5:57,-,5:54,-,,
여의도중앙보훈병원,-,여의도중앙보훈병원,-,,
6:10,6:09,6:07,6:09,,
염창중앙보훈병원,중앙보훈병원개화,염창중앙보훈병원,중앙보훈병원개화,,
6:21,6:22,6:19,6:22,,
마곡나루중앙보훈병원,중앙보훈병원개화,마곡나루중앙보훈병원,중앙보훈병원개화,,
6:31,6:35,6:29,6:35,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
6:44,6:48,6:41,6:47,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
6:56,-,6:53,6:59,,
개화중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화,,
7:08,7:01,7:05,7:11,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
7:17,7:14,7:17,7:23,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
7:26,7:22,7:29,7:35,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
7:33,7:34,7:41,7:47,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
7:40,7:46,7:53,7:59,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
7:47,7:54,8:05,8:11,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
7:54,-,8:17,8:23,,
개화중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화,,
8:01,8:01,8:29,8:35,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
8:07,8:09,8:41,8:47,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
8:14,8:18,8:53,8:59,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
8:21,8:26,9:05,9:11,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
8:28,8:34,9:17,9:23,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
8:35,8:41,9:29,9:35,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
8:42,8:48,9:41,9:47,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
8:48,8:55,9:53,9:59,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
8:55,-,10:04,10:11,,
개화중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화,,
9:02,9:01,10:15,10:22,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
9:09,9:08,10:26,10:33,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
9:16,9:15,10:37,10:44,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
9:23,9:22,10:48,10:55,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
9:28,9:29,10:59,-,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,-,,
9:36,9:36,11:10,11:06,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
9:47,9:42,11:21,11:17,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
9:58,9:49,11:32,11:28,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
-,9:56,11:43,11:39,,
-,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
10:09,10:03,11:54,11:50,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
10:20,10:10,12:05,12:01,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
10:31,10:18,12:16,12:12,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
10:42,10:26,12:27,12:23,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
10:53,10:34,12:38,12:34,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
-,10:38,12:49,12:45,,
-,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
-,10:47,-,12:56,,
-,중앙보훈병원개화,-,중앙보훈병원개화,,
-,10:59,13:00,13:07,,
-,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
11:04,11:10,13:11,13:18,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
11:15,11:21,13:22,13:29,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
11:26,11:32,13:33,13:40,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
11:37,11:43,13:44,13:51,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
11:48,11:54,13:55,-,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,-,,
11:59,-,14:06,14:02,,
개화중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화,,
12:11,12:05,14:17,14:13,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
12:23,12:16,14:28,14:24,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,
