샛강방면,국회의사당방면,샛강방면,국회의사당방면,,,
평일,평일,주말,주말,,,
05:30첫,05:40첫,05:30첫,05:40첫,,,
여의도중앙보훈병원,동작개화,여의도중앙보훈병원,동작개화,,,
05:33급첫,5:51,05:33급첫,5:50,,,
당산중앙보훈병원,신논현개화,당산중앙보훈병원,신논현개화,,,
5:42,-,5:41,-,,,
염창중앙보훈병원,-,염창중앙보훈병원,-,,,
05:49급,-,05:47급,-,,,
김포공항중앙보훈병원,-,김포공항중앙보훈병원,-,,,
5:55,-,5:54,-,,,
마곡나루중앙보훈병원,-,마곡나루중앙보훈병원,-,,,
06:00급,6:04,05:59급,-,,,
김포공항중앙보훈병원,삼전개화,김포공항중앙보훈병원,-,,,
6:06,6:20,6:05,6:04,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,삼전개화,,,
06:11급,06:27급첫,06:10급,6:22,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,,,
6:18,6:35,6:17,06:30급첫,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,,,
06:23급,06:41급,06:22급,6:35,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,,,
6:30,6:48,6:29,06:43급,,,
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항,,,
06:35급,06:54급,06:34급,6:48,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화,,,
6:42,-,6:41,06:56급,,,
개화중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원김포공항,,,
06:47급,-,06:46급,-,,,
김포공항중앙보훈병원,-,김포공항중앙보훈병원,-,,,
6:50,-,6:53,-,,,
개화중앙보훈병원,-,개화중앙보훈병원,-,,,
6:58,-,06:58급,-,,,
개화중앙보훈병원,-,김포공항중앙보훈병원,-,,,
06:59급,-,7:05,7:01,,,
김포공항중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화,,,
7:05,7:01,07:10급,07:08급,,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
07:07급,07:07급,7:17,7:13,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,,
7:12,7:14,07:22급,07:20급,,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
07:14급,07:20급,7:29,7:25,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,,
7:19,7:27,07:34급,07:32급,,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
07:20급,07:33급,7:41,7:37,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,,
7:26,7:40,07:46급,07:44급,,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
07:27급,07:45급,7:53,7:49,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,,
7:33,7:48,07:58급,07:56급,,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
07:34급,07:56급,8:05,8:01,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,,
7:40,-,08:10급,08:08급,,,
개화중앙보훈병원,-,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
07:41급,-,8:17,8:13,,,
김포공항중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화,,,
7:46,-,08:22급,08:20급,,,
개화중앙보훈병원,-,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
07:48급,-,8:29,8:25,,,
김포공항중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화,,,
7:53,-,08:34급,08:32급,,,
개화중앙보훈병원,-,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
07:55급,-,8:41,8:37,,,
김포공항중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화,,,
8:00,8:00,08:46급,08:44급,,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
08:01급,08:08급,8:53,8:49,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,,
8:07,8:12,08:58급,08:56급,,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
08:08급,08:19급,9:05,9:01,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,,
8:14,8:20,09:10급,09:08급,,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
08:15급,08:27급,9:17,9:13,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,,
8:21,8:29,09:22급,09:20급,,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
08:22급,08:36급,9:29,9:25,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,,
8:27,8:38,09:33급,09:32급,,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
08:29급,08:45급,9:40,9:37,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,,
8:34,8:46,09:44급,09:44급,,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
08:36급,08:53급,9:51,9:49,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,,
8:41,8:55,09:55급,09:56급,,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
08:42급,-,10:02,10:01,,,
김포공항중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화,,,
8:48,-,10:06급,10:08급,,,
개화중앙보훈병원,-,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
08:49급,-,10:13,10:13,,,
김포공항중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화,,,
8:55,-,10:17급,10:20급,,,
개화중앙보훈병원,-,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
08:56급,-,10:24,10:25,,,
김포공항중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화,,,
