삼전방면,봉은사방면,삼전방면,봉은사방면
평일,평일,주말,주말
05:40첫,05:32첫,05:40첫,05:32첫
신논현중앙보훈병원,삼전개화,신논현중앙보훈병원,삼전개화
5:52,5:48,5:50,5:49
동작중앙보훈병원,중앙보훈병원개화,동작중앙보훈병원,중앙보훈병원개화
05:57급첫,-,05:55급첫,-
당산중앙보훈병원,-,당산중앙보훈병원,-
6:06,6:01,6:03,6:01
여의도중앙보훈병원,중앙보훈병원개화,여의도중앙보훈병원,중앙보훈병원개화
06:11급,06:04급첫,06:07급,06:10급첫
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항
6:19,6:14,6:15,6:14
염창중앙보훈병원,중앙보훈병원개화,염창중앙보훈병원,중앙보훈병원개화
06:23급,06:18급,06:20급,06:23급
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항
6:30,6:27,6:27,6:27
마곡나루중앙보훈병원,중앙보훈병원개화,마곡나루중앙보훈병원,중앙보훈병원개화
06:34급,06:31급,06:31급,06:35급
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항
6:40,6:40,6:38,6:39
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
06:45급,06:44급,06:42급,06:47급
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항
6:52,6:53,6:50,6:51
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
06:57급,06:57급,06:54급,06:59급
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항
7:04,7:06,7:02,7:03
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
07:09급,07:10급,07:06급,07:11급
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항
7:17,7:14,7:14,7:15
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
07:22급,07:22급,07:18급,07:23급
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항
7:26,7:26,7:26,7:27
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
07:30급,07:34급,07:30급,07:35급
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항
7:34,7:38,7:38,7:39
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
07:38급,7:44,07:42급,07:47급
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항
7:42,07:46급,7:50,7:51
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화
07:45급,7:53,07:54급,07:59급
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항
7:49,07:57급,8:02,8:03
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화
07:52급,-,08:06급,08:11급
김포공항중앙보훈병원,-,김포공항중앙보훈병원,중앙보훈병원김포공항
7:56,-,8:14,8:15
개화중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화
07:59급,-,08:18급,08:23급
김포공항중앙보훈병원,-,김포공항중앙보훈병원,중앙보훈병원김포공항
8:02,8:01,8:26,8:27
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
08:06급,08:06급,08:30급,08:35급
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항
8:09,8:10,8:38,8:39
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
08:13급,08:14급,08:42급,08:47급
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항
8:16,8:18,8:50,8:51
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
08:20급,08:22급,08:54급,08:59급
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항
8:23,8:26,9:02,9:03
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
08:26급,08:29급,09:06급,09:11급
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항
8:30,8:33,9:14,9:15
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
08:33급,08:36급,09:18급,09:23급
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항
8:37,8:40,9:26,9:27
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
08:40급,08:43급,09:30급,09:35급
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항
8:43,8:46,9:38,9:39
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
08:47급,08:50급,09:42급,09:47급
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항
8:50,8:53,9:50,9:51
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화
08:54급,08:57급,09:54급,09:59급
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항
8:57,-,10:02,10:03
개화중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화
09:01급,9:00,10:05급,10:10급
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항
9:04,09:03급,10:13,10:14
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화
09:07급,9:07,10:16급,10:22급
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항
9:11,09:10급,10:24,10:25
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화
09:14급,9:14,10:27급,10:33급
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항
9:18,09:17급,10:35,10:36
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화
09:21급,9:21,10:38급,10:44급
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항
9:24,09:24급,10:46,10:47
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화
09:28급,9:27,10:49급,10:55급
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항
9:31,09:31급,10:57,10:58
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화
9:36,9:34,11:00급,11:06급
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항
09:38급,09:38급,11:08,11:09
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화
9:45,9:41,11:11급,11:17급
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항
09:49급,09:44급,11:19,11:20
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화
9:56,9:48,11:22급,11:28급
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항
-,09:51급,11:30,11:31
-,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화
-,9:55,11:33급,11:39급
-,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항
-,09:58급,11:41,11:42
-,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화
10:00급,10:02,11:44급,11:50급
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항
10:07,10:05급,11:52,11:53
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화
10:11급,10:09,11:55급,-
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,-
10:18,10:14급,12:03,12:01급
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원김포공항
10:22급,10:18,12:06급,12:04
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원개화
10:29,10:24,12:14,12:12급
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항
10:33급,10:25급,12:17급,12:15
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화
10:40,10:29,12:25,12:23급
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항
10:44급,10:35급,12:28급,12:26
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화
10:51,10:39,12:36,12:34급
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항
10:55급,10:47급,12:39급,12:37
김포공항중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화
-,10:51,12:47,12:45급
-,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항
-,10:58급,12:50급,12:48
-,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화
11:02,11:02,12:58,12:56급
개화중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항
11:06급,11:09급,-,12:59
김포공항중앙보훈병원,중앙보훈병원김포공항,-,중앙보훈병원개화
11:13,11:13,13:01급,13:07급
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항
11:17급,11:20급,13:09,13:10
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화
11:24,11:24,13:12급,13:18급
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항
11:28급,11:31급,13:20,13:21
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화
11:35,11:35,13:23급,13:29급
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항
11:39급,11:42급,13:31,13:32
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화
11:46,11:46,13:34급,13:40급
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항
11:50급,11:53급,13:42,13:43
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화
11:57,11:57,13:45급,13:51급
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항
12:01급,12:04급,13:53,13:54
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화
12:08,12:08,13:56급,-
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,-
12:13급,12:15급,14:04,14:02급
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원김포공항
12:20,12:19,14:07급,14:05
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원개화
12:25급,12:26급,14:15,14:13급
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원김포공항
12:32,12:30,14:18급,14:16
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원개화
12:36급,12:37급,14:26,14:24급
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원김포공항
12:43,12:41,14:29급,14:27
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원개화
12:47급,12:49급,14:37,14:35급
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원김포공항
12:54,12:53,14:40급,14:38
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원개화
12:58급,-,14:48,14:46급
김포공항중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원김포공항
13:05,13:01급,14:51급,14:49
개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화
13:09급,13:05,14:59,14:57급
김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항
13:16,13:12급,15:02급,15:00
개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화
13:20급,13:16,15:10,15:08급
김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항
13:27,13:23급,15:13급,15:11
개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화
13:31급,13:27,15:21,15:19급
김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항
13:38,13:34급,15:24급,15:22
개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화
13:42급,13:38,15:32,15:30급
김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항
13:49,13:45급,15:35급,15:33
개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원개화
13:53급,13:49,15:43,15:41급
김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원김포공항
-,13:56급,15:46급,15:44
